created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-22T23:15:40.000Z,1570041582044200960,['1595194331433996290'],ja,RT @PlusPlus_Pony: ポニコちゃん練習〜 https://t.co/L3dEgqZQZu,1595194331433996290
2022-11-22T20:35:50.000Z,1570041582044200960,['1595154109916930048'],en,RT @SKETCHIIX3: Tempest white and grey sketch. https://t.co/djkywpl4ga,1595154109916930048
2022-11-22T20:25:46.000Z,1570041582044200960,['1595151575517134848'],en,"RT @Gouransion: Made a cool Zip with cool glasses 😎🦇
#MyLittlePony  #mlpg5 #mlpgen5 https://t.co/M0FaBehatB",1595151575517134848
2022-11-22T20:25:39.000Z,1570041582044200960,['1595151544898682881'],en,"RT @LegionsUnite: Made this 9 months ago, just wanted to say onyx is cute, I’m glad that we got to see more of her in the winter special 💕…",1595151544898682881
2022-11-22T19:16:11.000Z,1570041582044200960,['1595134061445382145'],en,"@ThothPenswell I like ANG, but I choose Rainbow Rocks, it has a special place in my heart not only because of the Dazzlings but also for the year when it was released, so many good memories.",1595134061445382145
2022-11-22T18:47:38.000Z,1570041582044200960,['1595126878620483584'],en,@Letupita725HD Sunny the holiday queen,1595126878620483584
2022-11-22T16:42:46.000Z,1570041582044200960,['1595095453833502720'],en,"RT @AdagioStringMLP: Another drawing that I made to order for  the G5!
#mlp #pony #Hitch https://t.co/Bp1jCxB8cH",1595095453833502720
2022-11-22T16:33:29.000Z,1570041582044200960,['1595093119959437312'],en,"Winter Wishday summary

Everyone: Sunny, how many holidays you want to celebrate?

Sunny: Yes",1595093119959437312
2022-11-22T14:54:06.000Z,1570041582044200960,['1595068108913659906'],en,RT @AnnnaM_Art: Another sketch with markers 💛 https://t.co/8zoO6yicsT,1595068108913659906
2022-11-22T14:36:57.000Z,1570041582044200960,['1595063790760083457'],en,@Letupita725HD Not even Sunny's cookie cottage has that level of accuracy 🤣,1595063790760083457
2022-11-22T14:18:33.000Z,1570041582044200960,['1595059161527906305'],und,@Letupita725HD 😂😂,1595059161527906305
2022-11-22T13:09:54.000Z,1570041582044200960,['1595041887001448453'],en,"@Letupita725HD Pipp's definitely, she added lots of details even a cookie Jazz with no ears.",1595041887001448453
2022-11-22T04:23:47.000Z,1570041582044200960,['1594909482773012481'],en,@Marenlicious Totally!!,1594909482773012481
