created_at,text,author_id,lang,edit_history_tweet_ids,geo,id
2022-11-22T23:18:00.000Z,This is what I said in a tweet to @CointelegraphMT when their senior editor compared #FTX  to JP Morgan/Chase. Do your own due diligence before choosing any exchange/wallet. Don’t let #FOMO drive you.     https://t.co/v6rA3yM6GG,1474514473599836170,en,['1595194919580221441'],{'place_id': '0c91bb4d5296b000'},1595194919580221441
2022-11-22T19:15:47.000Z,"#Heaven is not some far off location in the Universe. Heaven is right here, right where you are. We all long for the Lord to do away with the old &amp; usher in the New. Rev21:1 -Take care of this earth as a steward. Ignore the siren’s call of “we’re killing the planet”. #OhLordCome",1474514473599836170,en,['1595133963827556352'],{'place_id': '07d9dbf536087000'},1595133963827556352
2022-11-22T18:27:49.000Z,"@coraliecowan I haven’t played wordle yet. Before the game, was ‘wordle’ even a word? 🤓",1474514473599836170,en,['1595121891576270849'],{'place_id': '0c91bb4d5296b000'},1595121891576270849
2022-11-22T18:26:23.000Z,Yesterday I told my daughter: “I’m getting low on bibble. I need Bibble.” — She said “No Dad! That’s my Show!” (re: either #iCarly or #SamAndKat ) https://t.co/Y7sIYOVyKv,1474514473599836170,en,['1595121532267028480'],{'place_id': '0c91bb4d5296b000'},1595121532267028480
2022-11-22T01:44:54.000Z,@ChrisCuomo The @USSupremeCourt has ruled many times that #FreeSpeech has boundaries. Twitter is no exception. There should be (as there are) consequences &amp; accountability for our words. Social Media should not be the exception. #TheGreatDebate,1474514473599836170,en,['1594869497323732992'],{'place_id': '11dc5067ab147000'},1594869497323732992
2022-11-22T00:08:30.000Z,"@gidget_fuentes Having said that, the internet is akin to heroin, and we, are the addicted users 🤓😅",1474514473599836170,en,['1594845238258208768'],{'place_id': '0fc27b799115b000'},1594845238258208768
2022-11-21T23:39:38.000Z,(2/2) @gidget_fuentes #PostInternetDays re news: We now live in an “instant message &amp; news” hitting us with not just local &amp; state; we get bombarded by events happening Nationally &amp; Globally.  I believe that 24/7 news coverage can be too much for humans sometimes.,1474514473599836170,en,['1594837976126832641'],{'place_id': '94965b2c45386f87'},1594837976126832641
2022-11-21T23:36:06.000Z,"(1/2) @gidget_fuentes #PreInternetdays in regards to the News (or 4th Estate) : We lived our lives, watched local news for 30 minutes, then we would watch national news, and we got the local newspaper.",1474514473599836170,en,['1594837086640934916'],{'place_id': '07d9e6c3e8c82000'},1594837086640934916
2022-11-21T20:32:37.000Z,@coraliecowan Kim laughted &amp; stated: “I know the feeling” — here she’s smiling for you 👍 https://t.co/gzkExgKE8W,1474514473599836170,en,['1594790908926500866'],{'place_id': '0c91bb4d5296b000'},1594790908926500866
2022-11-21T18:40:22.000Z,"@KrisHudson_WX Ouch! Happens every year, &amp; here along the #River we feel it first 🌬️🌬️🌊🌊— I guess that’s why we’re called #RiverRats",1474514473599836170,en,['1594762663774535716'],{'place_id': '11dc5067ab147000'},1594762663774535716
2022-11-21T18:34:57.000Z,RT @Melanchthon61: https://t.co/ixq5T9YPk9,1474514473599836170,zxx,['1594761299300601856'],,1594761299300601856
2022-11-21T18:34:06.000Z,"Our Fathers Creative pattern: The Earth, Heavens, the Environment (trees, plants, et al), the animals, &amp; then Mankind is so beautiful in its unfolding. It’s so sad this world cannot see the sheer beauty of His “poiema ποίημα’ (creative works). All that He’s entrusted to us. 2/2",1474514473599836170,en,['1594761085055287313'],{'place_id': '0c91bb4d5296b000'},1594761085055287313
2022-11-21T18:26:47.000Z,Has any one ever stopped to think of how personal pets can teach us so many things about life &amp; death. Yet they’re still not equipped or lack the ability to be a suitable ‘helper’ for man. Our Creator knew that Man needed a ‘helper’. Going forward man needed Woman (re: birth) 1/2 https://t.co/BhfnIY88Eu,1474514473599836170,en,"['1594759025513611423', '1594759244082987010']",{'place_id': '0c91bb4d5296b000'},1594759244082987010
2022-11-21T16:59:09.000Z,@P_M_Cu Take my “reasoning” on algorithms &amp; add your Vocation into the mix. That’s a double ringer algorithm-wise.,1474514473599836170,en,['1594737188289363968'],{'place_id': '0c91e67801560001'},1594737188289363968
2022-11-21T16:57:17.000Z,"@P_M_Cu In that tweet: 0.5 ETH for non-holders = $560 buy in. || Non Fungibles are, in my eyes, still a risky play.",1474514473599836170,en,['1594736718728527872'],{'place_id': '0c91e67801560001'},1594736718728527872
2022-11-21T16:54:56.000Z,"@P_M_Cu But you may have #ME to blame Bud; because I occasionally tweet on matters related to CC. Perhaps in Twitters Algorithms that’s how you see them (or maybe if 2+&gt; of your followers interact the topic of CC, = then you get targeted??). If so - my deepest apologies",1474514473599836170,en,['1594736130569773056'],{'place_id': '07d9dbf536087000'},1594736130569773056
2022-11-21T16:51:37.000Z,@P_M_Cu 🤯YES🤯,1474514473599836170,und,['1594735294561112066'],{'place_id': '07d9dbf536087000'},1594735294561112066
2022-11-21T16:50:59.000Z,"@CointelegraphMT No it wasn’t because it didn’t have longevity. It amassed funds too quickly (IMO), it had flashy, fancy marketing with A-List stars. First rule of CC : Do your Due Diligence &amp; ignore #FOMO - There are/were more stable exchanges to choose from #FTXScam https://t.co/9lcC05Q9U9",1474514473599836170,en,['1594735134707695617'],{'place_id': '07d9dbf536087000'},1594735134707695617
2022-11-20T23:36:29.000Z,"@PresbyXian ..in reality, that involves daily change of our being μετανοέω , nightly, as Dad used to say, “keep short lists”, daily following Jesus in faith, daily fighting the reality of Rom 7:21-24 and so thankful for the conclusion of Rom 7:25.",1474514473599836170,en,['1594474794090733571'],{'place_id': '0c91e67801560001'},1594474794090733571
