author_id,lang,id,created_at,edit_history_tweet_ids,text,withheld
1327988253840920576,en,1595134024217137153,2022-11-22T19:16:02.000Z,['1595134024217137153'],"RT @robisramiress: On the street    // on the building's stairs

😮‍💨💙🎯 https://t.co/8tqypuHRvv",
1327988253840920576,en,1595066465233047552,2022-11-22T14:47:34.000Z,['1595066465233047552'],"RT @then3rdf4gg0t: Get in the car, fªggºt. https://t.co/GUkzTYbvZB",
1327988253840920576,en,1594560325067493377,2022-11-21T05:16:21.000Z,['1594560325067493377'],"RT @x9x26x_: ⭐️ NEW EPISODE ⭐️
 🎃 S3 E3 NOW AVAILABLE 🎃

 🥼DOCTOR VS PATIENTS 🥼

#POV: @x9x26x_ Went For An Anal Exam W/ DR. @onlyfansx9x26…",
1327988253840920576,en,1594292969955561472,2022-11-20T11:33:59.000Z,['1594292969955561472'],RT @PissingBoys: Source: @joeyyotterscotx https://t.co/INQtgOOY3i,
1327988253840920576,en,1594290310045380608,2022-11-20T11:23:25.000Z,['1594290310045380608'],"RT @SyanAryan: I want such a nice dominating Top 
Courtesy gayporn love❤️ https://t.co/4m7ManbjtO",
1327988253840920576,en,1592188338072846336,2022-11-14T16:10:55.000Z,['1592188338072846336'],RT @FelipinhoSouzao: Piscou https://t.co/3CKRgoN01C,
1327988253840920576,en,1589269756708028416,2022-11-06T14:53:31.000Z,['1589269756708028416'],RT @HairyGowtham92: Top Guy expression 🤩🤩🤩 https://t.co/ZoopONEvkH,
1327988253840920576,en,1587064583889424384,2022-10-31T12:50:57.000Z,['1587064583889424384'],"RT @BigDaddyforall: Desi maal forever 
Guys I m back follow me
@brocock_69 @Jaggu00012083 @Aj24788381 @RahulShidh @Joseph52168134 @IDicktat…",
1327988253840920576,en,1586780324284858368,2022-10-30T18:01:24.000Z,['1586780324284858368'],RT @Vamil18: Sexy https://t.co/KnJ6y17Hof,
1327988253840920576,en,1586063237115965440,2022-10-28T18:31:58.000Z,['1586063237115965440'],"RT @mrbigcockxxx: OMG 😱 WOULD YOU BE ABLE TO TAKE SUCH A BIG DICK? 🍆🔥😍 Join Us and watch Real XXXL men in action💦😈🍆
.
.
Full Video on👇🏻
htt…",
1327988253840920576,en,1586061959568715776,2022-10-28T18:26:53.000Z,['1586061959568715776'],"RT @vincenzosellit5: CUMpilation 💦🔥💦🔥💦💦💦💦

See this and more at:
https://t.co/lK6lMSVO5g   
https://t.co/M1jGWK3eiy https://t.co/jVzZoPDQaJ",
1327988253840920576,zxx,1580983193120825344,2022-10-14T18:05:41.000Z,['1580983193120825344'],RT @roy35981439: https://t.co/3hReea8Y53,
1327988253840920576,zxx,1580982726840049664,2022-10-14T18:03:49.000Z,['1580982726840049664'],RT @roy35981439: https://t.co/C48lboGKgx,
1327988253840920576,en,1580872458319855616,2022-10-14T10:45:39.000Z,['1580872458319855616'],"RT @AceSqualorXXX: My favorite kind of dick - smelly, uncut, cheesy 🤤 https://t.co/G8KaO9Fq9U",
1327988253840920576,zxx,1580814230961258496,2022-10-14T06:54:17.000Z,['1580814230961258496'],RT @samucafap: https://t.co/t1gOjT5Wxp,
1327988253840920576,en,1580812836913106944,2022-10-14T06:48:45.000Z,['1580812836913106944'],RT @scat_era: This is what Jesus would look like if he was a shiteater! 💩 #gayscat #shiteating #pigs https://t.co/DAwLlrOQK5,
1327988253840920576,hi,1579853785677320193,2022-10-11T15:17:49.000Z,['1579853785677320193'],RT @Nitinup52: Hardik pandiya 🍌🍌🍌 @hardikpandya7 @MasterJennyX @Akash34456 @Akash11891874 @_Hudsoneva https://t.co/0ikgt2iTml,
1327988253840920576,hi,1579840353016107009,2022-10-11T14:24:26.000Z,['1579840353016107009'],RT @Nitinup52: जिसको यह पानी पीना है plz कॉमेंट करे @JohnHandsomeX @Rudrax22 @143Rishank @00ANKIT0 @MasterJennyXXX https://t.co/tdV2OH85iC,
1327988253840920576,hi,1579840214565933057,2022-10-11T14:23:53.000Z,['1579840214565933057'],"RT @LGBTQofficeal: देशी मर्द कार में बैठ के मार रहा था मुठ,लण्ड से निकलते प्रिकम को देख मेरी जीभ चटकारे लेने लगी और गांड़ कुलबुलाने लगी।मु…",
1327988253840920576,en,1579838256308400129,2022-10-11T14:16:06.000Z,['1579838256308400129'],RT @PeterGermanyXXX: I miss you @RAFAELALENCAR 🥰 @jrteft1919 @hiker2121 @copia_u @1PacoFL @FrenchGaymer @Aq2Country @SportNW32 @purelygaypo…,
1327988253840920576,en,1579837730757832705,2022-10-11T14:14:01.000Z,['1579837730757832705'],RT @demonicgays: Eat sin https://t.co/ECGUOw6voh,"{'copyright': False, 'country_codes': ['ID']}"
1327988253840920576,zxx,1579786220301058048,2022-10-11T10:49:20.000Z,['1579786220301058048'],RT @Javier22656295: https://t.co/hA9shszE1k,
1327988253840920576,en,1579421227873374208,2022-10-10T10:38:59.000Z,['1579421227873374208'],"RT @iam_sunny1: Dream Boy 😻❤️ , Perfect Man. https://t.co/jHZqjuPQX6",
1327988253840920576,en,1578620151087652864,2022-10-08T05:35:48.000Z,['1578620151087652864'],RT @andyy_ook: I love kneeling down to suck @andrewfitness1 so he can fuck me very hard afterwards https://t.co/rUZmUphwzn,
1327988253840920576,fr,1578568004342026240,2022-10-08T02:08:35.000Z,['1578568004342026240'],RT @twinkillian: Quand tu fais tourner ton mec en cruising 😏 https://t.co/UJmNpA0KUa,
1327988253840920576,zxx,1578402020133785600,2022-10-07T15:09:01.000Z,['1578402020133785600'],RT @bikas_biswas: https://t.co/68VV2teIHs,
1327988253840920576,hu,1578396828747169792,2022-10-07T14:48:23.000Z,['1578396828747169792'],RT @thakur_ka_chora: Madhos javani @DomAlpha27 @desiversfun @DIVESH76817177 @Aakash_96lad @jaatlandlord3 @RishiRa50279405 @_top_boy25 @adit…,
1327988253840920576,en,1578276969250455552,2022-10-07T06:52:07.000Z,['1578276969250455552'],"RT @Sumit77339265: Wassup daddies and sons?

#daddysonincest #daddyboy #daddywhore #daddyslittleboy #daddy #hairybush #hairymuscledaddy #ha…",
1327988253840920576,en,1574073644677857284,2022-09-25T16:29:36.000Z,['1574073644677857284'],RT @MrYuvii18: How's it 😁 https://t.co/sOsJMSR8xO https://t.co/s5fn6QsabI,
1327988253840920576,en,1573285363606556672,2022-09-23T12:17:15.000Z,['1573285363606556672'],"RT @theFilthyDemon: Fuck, man, I was thirsty 💦💦💦🐽 https://t.co/twPKaO2Kgq",
1327988253840920576,es,1571818636104593413,2022-09-19T11:09:00.000Z,['1571818636104593413'],"RT @kriokrio22: A survivor @LockedboyEli
@RealFarleyX @Teddybllack  @Eyeofaesthetics @ograndesimoes @wolfmarkin @lucasdiasxxx @Alex_x2402 @…",
1327988253840920576,zxx,1571352110574501888,2022-09-18T04:15:12.000Z,['1571352110574501888'],RT @vijay31753982: https://t.co/BhK2WH2Ai7,
1327988253840920576,zxx,1571063395205652482,2022-09-17T09:07:57.000Z,['1571063395205652482'],RT @p3rv3rts2: https://t.co/JZ7cLxwyG4,
1327988253840920576,en,1570279331280326656,2022-09-15T05:12:21.000Z,['1570279331280326656'],RT @papikocic: He said “Bi men fuck more passionately”… @aospinad https://t.co/PUMRKLIgV6 https://t.co/kwptVmUxqT,
1327988253840920576,en,1570063449899823112,2022-09-14T14:54:31.000Z,['1570063449899823112'],"RT @Romiyolove6: Bro was deep af
 https://t.co/RbfPtz7IAZ",
1327988253840920576,pt,1570063241426128896,2022-09-14T14:53:41.000Z,['1570063241426128896'],RT @Romiyolove6: Cheirosinho pra vc😅 https://t.co/Tzh37ugeWz,
1327988253840920576,en,1569207884411727875,2022-09-12T06:14:48.000Z,['1569207884411727875'],RT @leQbymultivia: Favorite😍‼️https://t.co/ADUnOZFgLX,
1327988253840920576,fr,1568968341687275522,2022-09-11T14:22:57.000Z,['1568968341687275522'],RT @leQbymultivia: Déjà vu. Mais ça baigne‼️👉 @Lucas41053240 https://t.co/c9KPREZYKY,
1327988253840920576,en,1568298917401612290,2022-09-09T18:02:54.000Z,['1568298917401612290'],The last session with my top friend https://t.co/0w2jW8u9hj,
1327988253840920576,en,1568187579471921152,2022-09-09T10:40:29.000Z,['1568187579471921152'],RT @killerf4gz: oh that’s - https://t.co/SlWDSTrEp1,
1327988253840920576,en,1567233741575323648,2022-09-06T19:30:16.000Z,['1567233741575323648'],"RT @DepthVortex: He said, ‘take a knee!’ So I did. Or at least I tried... https://t.co/grSAEzGTXR",
1327988253840920576,en,1567130573411594240,2022-09-06T12:40:19.000Z,['1567130573411594240'],"RT @webseries_lover: Michele Morrone 🔥

From : 365days This Day

just look at him,he is so Hot 🔥🔥

#Michele
#365daysThisDay
#michelemorrone…",
