edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595133908810870784'],369632971,en,RT @CAStAlbans: Want to #Volunteer in your local community?  Use your #skills? We're looking for Advisors &amp; Receptionists. Our volunteer in…,1595133908810870784,2022-11-22T19:15:34.000Z
['1594729622121447432'],369632971,en,RT @CAStAlbans: #volunteering Are you looking to volunteer?  Come along to our information session WED 23 NOV 1pm The Civic Centre and find…,1594729622121447432,2022-11-21T16:29:05.000Z
['1594729192767328258'],369632971,und,RT @joelycett: 🏳️‍🌈 https://t.co/YuPYSQ2M6u,1594729192767328258,2022-11-21T16:27:22.000Z
['1590318839543533568'],369632971,en,"I just took part in @FreefromTorture's action, demanding that @hifly_airline &amp; @iberojetair_es rule themselves out of the cruel Rwanda scheme

We need to act as quickly as possible, before another flight is scheduled. Will you join me?
#StopTheFlights https://t.co/A1P13hJBgF",1590318839543533568,2022-11-09T12:22:12.000Z
['1589626964192595968'],369632971,en,"RT @ByDonkeys: The Daily Mail backed the libertarian ideologues who crashed our economy
(Location: Wakefield) https://t.co/jDSkRwh9Jj",1589626964192595968,2022-11-07T14:32:56.000Z
['1589526230617186305'],369632971,und,@SocialistNHS 💙,1589526230617186305,2022-11-07T07:52:40.000Z
['1589525147786280960'],369632971,en,"RT @theRCN: Over six million people are waiting for care. 

Patients are stuck in the back of queuing ambulances.

All because we do not ha…",1589525147786280960,2022-11-07T07:48:21.000Z
['1589028457702658048'],369632971,en,"RT @eiecampaign: 🚨 BREAKING: Nurses across the UK have voted for strike action. 

RT if you will stand with every single nurse that takes s…",1589028457702658048,2022-11-05T22:54:41.000Z
['1588949764464574464'],369632971,en,"RT @AlbansBank: We do what it says on the tin.
Loans and savings.
Savings and loans.
Local people save.
Local people borrow.

Not for profi…",1588949764464574464,2022-11-05T17:41:59.000Z
['1588869339167731713'],369632971,en,@harrydotcom_ Bad behaviour? Murray I don’t believe a word he says.,1588869339167731713,2022-11-05T12:22:24.000Z
['1588869180815593473'],369632971,en,"@rishisunak, why have you given an anti abortion MP the power to close abortion clinics? https://t.co/pJmNha6mvV",1588869180815593473,2022-11-05T12:21:47.000Z
['1588853585252864001'],369632971,en,"RT @Stalbansdistfb: We’re facing our most challenging winter yet.  
At the Foodbank, we’re doing everything we can to help people, but the…",1588853585252864001,2022-11-05T11:19:48.000Z
['1588840597649227776'],369632971,en,"RT @FreefromTorture: BREAKING: Holocaust survivors send powerful message to Suella Braverman: ""the words we use have consequences""

https:/…",1588840597649227776,2022-11-05T10:28:12.000Z
['1588437868070195203'],369632971,en,"RT @ByDonkeys: General election now
(Location: Dagenham) https://t.co/hAO9sRBbF6",1588437868070195203,2022-11-04T07:47:54.000Z
['1588435174836273152'],369632971,en,@chrisgedavies I’m surprised that this is the first post I have seen saying this. I hope more people speak out. Maybe bc I’m not a football fan I’m not seeing people speak out? #BoycottQatar2022,1588435174836273152,2022-11-04T07:37:12.000Z
['1588299214903455746'],369632971,en,"RT @eiecampaign: Why are NHS workers voting to strike?

Since 2010:

- Nurses real pay down £4,300

- Paramedics real pay down £5,600

- Ma…",1588299214903455746,2022-11-03T22:36:56.000Z
['1587186870852767749'],369632971,und,@skandab 🙄,1587186870852767749,2022-10-31T20:56:53.000Z
['1586802521426874369'],369632971,en,"Dad. You had one job 🤦‍♀️
#IrishLifeDublinMarathon https://t.co/3h70dqnZ3D",1586802521426874369,2022-10-30T19:29:37.000Z
['1586647109775810563'],369632971,art,😳😦💩 https://t.co/Fq4HGKivBp,1586647109775810563,2022-10-30T09:12:04.000Z
['1586272297639235585'],369632971,en,"RT @ReviveTheNHS: 🚨 Alarming testimony from a doctor in the South of England🧵[1]

“I’m a proud NHS physician. 30+ years qualified, 20+ year…",1586272297639235585,2022-10-29T08:22:41.000Z
['1585647640716660741'],369632971,en,"RT @ReviveTheNHS: 🚨 An A&amp;E doctor in Yorkshire speaks up 🚨

""The last 2 weeks we have had to ration the plug sockets for patients receiving…",1585647640716660741,2022-10-27T15:00:32.000Z
['1585292669944840193'],369632971,en,"RT @JujuliaGrace: If you are worried about the NHS, RT this and follow @ReviveTheNHS. We are the doctors raising the alarm 🚨",1585292669944840193,2022-10-26T15:30:00.000Z
['1584626827024158720'],369632971,en,RT @ByDonkeys: Tunbridge Wells 1 - United Kingdom 0 https://t.co/GYwIATjSWH,1584626827024158720,2022-10-24T19:24:11.000Z
['1584625682700566528'],369632971,art,😳😳😳😳😳😳 https://t.co/BYm33dMdGB,1584625682700566528,2022-10-24T19:19:38.000Z
['1584296060620455937'],369632971,en,RT @ByDonkeys: “I have cleared the very high hurdle of 102 nominations” https://t.co/hzImFuHwG7,1584296060620455937,2022-10-23T21:29:50.000Z
['1583513710886150145'],369632971,en,"RT @JujuliaGrace: If you want MPs to start focussing on the absolute crisis in the NHS, RT 🚨",1583513710886150145,2022-10-21T17:41:03.000Z
['1583164668239319040'],369632971,en,"RT @TechnicallyRon: Braverman lost to tofu, Truss lost to a lettuce, vegans having an amazing week tbf",1583164668239319040,2022-10-20T18:34:05.000Z
['1583076472767807488'],369632971,en,"RT @JujuliaGrace: General Election NOW. 
RT if you agree 👍",1583076472767807488,2022-10-20T12:43:37.000Z
['1582353881664999425'],369632971,en,RT @ByDonkeys: A historic failure https://t.co/wZiQKaf8MR,1582353881664999425,2022-10-18T12:52:18.000Z
['1582117411578576896'],369632971,en,"RT @doctor_oxford: So because a bunch of unelected right wing zealots trashed the economy, we’re back to austerity &amp; all its miseries? Plea…",1582117411578576896,2022-10-17T21:12:39.000Z
['1582086049550909440'],369632971,en,"RT @38degrees: As Govt rips up its budget but rows back on energy help, we’re focusing on the real impact on people’s lives.

Our new #Cost…",1582086049550909440,2022-10-17T19:08:02.000Z
['1582083234686697473'],369632971,zxx,RT @ChrisWhite_SADC: https://t.co/YE1nNz65yN,1582083234686697473,2022-10-17T18:56:51.000Z
['1578355197654355968'],369632971,en,"@JNavas An airline your team has used in the past is involved in a cruel cash for humans scheme taking refugees on forced flights. Will you commit not to use Privilege Style again? 
#StoptheFlights",1578355197654355968,2022-10-07T12:02:58.000Z
['1578355107443638272'],369632971,en,"@Benzema
 An airline your team has used in the past is involved in a cruel cash for humans scheme taking refugees on forced flights. Will you commit not to use Privilege Style again? 
#StoptheFlights",1578355107443638272,2022-10-07T12:02:36.000Z
['1578354980213301250'],369632971,en,"@JoanLaportaFCB An airline your team has used in the past is involved in a cruel cash for humans scheme taking refugees on forced flights. Will you commit not to use Privilege Style again? 
#StoptheFlights",1578354980213301250,2022-10-07T12:02:06.000Z
['1575832615290118144'],369632971,en,"RT @libdemdaisy: ⚡ It's #MeterReading day - ahead of the energy price cap increase tomorrow, please remember to take &amp; submit your meter re…",1575832615290118144,2022-09-30T12:59:07.000Z
['1574832055787163654'],369632971,en,"RT @JujuliaGrace: Can you please fill this in and then RT it so we can see lots of peoples’ opinions about this? Thanks!

“I think that all…",1574832055787163654,2022-09-27T18:43:15.000Z
['1574287799838441472'],369632971,en,RT @JujuliaGrace: I’m telling you this because I’m very concerned. I considered staying quiet but I think everyone needs to know. As you kn…,1574287799838441472,2022-09-26T06:40:34.000Z
['1573430057456001033'],369632971,en,"RT @JujuliaGrace: This government has put out an NHS plan which seems to pit NHS patients against staff, despite the fact that NHS staff ha…",1573430057456001033,2022-09-23T21:52:13.000Z
['1572939126412038145'],369632971,en,RT @CAStAlbans: Want to #volunteer? We are looking for Receptionists and Trainee Advisors. Comprehensive training and support provided. THU…,1572939126412038145,2022-09-22T13:21:26.000Z
['1570685123720540162'],369632971,en,RT @CAStAlbans: Want to #volunteer? We are looking for Receptionists and Trainee Advisors. Comprehensive training and support provided. THU…,1570685123720540162,2022-09-16T08:04:50.000Z
['1569313238277361665'],369632971,en,RT @CAStAlbans: SAVE THE DATE: Have you thought about #volunteering? THURS 29th SEPTEMBER We are looking for Receptionists and Trainee Advi…,1569313238277361665,2022-09-12T13:13:27.000Z
