author_id,text,created_at,lang,edit_history_tweet_ids,id,geo
395646798,"RT @HeroesInColor00: My successful internet friends living their lives and running their social media
              /    Me living my life…",2022-11-22T21:49:33.000Z,en,['1595172658366320669'],1595172658366320669,
395646798,@PiercingByJohn That’s the way.,2022-11-22T21:43:22.000Z,en,['1595171103269392392'],1595171103269392392,{'place_id': '8193d87541f11dfb'}
395646798,RT @mikegolicjr: this is where we peaked as a nation https://t.co/sXomtRhR2L,2022-11-22T19:17:34.000Z,en,['1595134412999774209'],1595134412999774209,
395646798,"@poppunksucks Lmao I appreciate it baby, I’ll try calling in a couple days",2022-11-22T18:32:52.000Z,en,['1595123160701349890'],1595123160701349890,{'place_id': '8193d87541f11dfb'}
395646798,@1goldslut Appreciate it! I forget it a lot but when I hear or read it I’m like “oh yea”,2022-11-22T18:05:10.000Z,en,['1595116192603459585'],1595116192603459585,{'place_id': '8193d87541f11dfb'}
395646798,"Maybe this is my sign to never talk again, only tweet :o)",2022-11-22T18:04:00.000Z,en,['1595115896007032836'],1595115896007032836,{'place_id': '8193d87541f11dfb'}
395646798,"Like I feel fine otherwise, it just sounds like I ate hot asphalt last night.",2022-11-22T18:03:18.000Z,en,['1595115721184288769'],1595115721184288769,{'place_id': '8193d87541f11dfb'}
395646798,Idk why but hearing the robot gps voice say “drop off douglas on the right” just feels like a knife in my ribs every time.,2022-11-22T17:54:15.000Z,en,['1595113445716029440'],1595113445716029440,{'place_id': '8193d87541f11dfb'}
395646798,I tried to fix my name on the uber app so I stop getting deadnamed every time I use it. I have to call apparently but I can’t right now because my voice sucks.,2022-11-22T17:52:54.000Z,en,['1595113103796338689'],1595113103796338689,{'place_id': '8193d87541f11dfb'}
395646798,I’m so mad I had to take the last day of my guest spot off I had a really cute outfit planned 😭,2022-11-22T17:37:36.000Z,en,['1595109254452899841'],1595109254452899841,{'place_id': '8193d87541f11dfb'}
395646798,I woke up with a frog in my throat 🐸☹️,2022-11-22T13:51:59.000Z,en,['1595052475089932288'],1595052475089932288,{'place_id': '8193d87541f11dfb'}
395646798,RT @lowkeyalbert: yeah sex is cool but has anyone ever hugged you so tight that you feel genuinely loved,2022-11-22T04:52:02.000Z,en,['1594916590801522688'],1594916590801522688,
395646798,@hvyghst Is your new color darker or lighter?,2022-11-20T15:50:46.000Z,en,['1594357591571931141'],1594357591571931141,{'place_id': '8193d87541f11dfb'}
395646798,@poppunksucks Click it or ticket,2022-11-19T17:56:24.000Z,en,['1594026821313769474'],1594026821313769474,{'place_id': '7948fec74f58e8cd'}
395646798,Who uses seat belts on buses?,2022-11-19T17:35:52.000Z,en,['1594021653528330243'],1594021653528330243,{'place_id': '67b98f17fdcf20be'}
395646798,RT @Maladroithe: This is still the most hardcore thing Arnold Schwarzenegger has ever said https://t.co/2js4gs6qYj,2022-11-19T15:31:25.000Z,en,['1593990335381868550'],1593990335381868550,
395646798,RT @SexAndHorror: https://t.co/eeh2og2vMw,2022-11-19T15:14:22.000Z,zxx,['1593986045124788225'],1593986045124788225,
395646798,RT @numetal_moment: Chino Moreno prepares to engage naked nu-metal warrior in combat (2013) https://t.co/EBcXHr9VDR,2022-11-19T15:11:52.000Z,en,['1593985413517041666'],1593985413517041666,
395646798,"I saw a rabbit while I was sitting by the river eating lunch 🙂🐇, I should’ve followed him",2022-11-18T22:19:08.000Z,en,['1593730554666573824'],1593730554666573824,{'place_id': '8193d87541f11dfb'}
395646798,RT @ecto_fun: more movies should be like this. i’m sick of knowing what the fuck is going on https://t.co/GWGtLRbrUC,2022-11-18T22:13:31.000Z,en,['1593729141131591680'],1593729141131591680,
395646798,RT @CATBRAINCELL: It's that time of year again! https://t.co/9P7g4DhZ2E,2022-11-18T22:12:44.000Z,en,['1593728943256903680'],1593728943256903680,
395646798,The sanctuary tender and so frail https://t.co/QNqhO6L7uA,2022-11-18T21:51:44.000Z,en,['1593723656248725504'],1593723656248725504,{'place_id': '8193d87541f11dfb'}
395646798,@mrskitten @poppunksucks I’m always givin her guff!,2022-11-18T17:15:45.000Z,en,['1593654201816580096'],1593654201816580096,{'place_id': '8193d87541f11dfb'}
395646798,"RT @wolfpupy: Mr. Gorbachev, let the bodies hit the floor",2022-11-18T14:45:51.000Z,en,['1593616481861918722'],1593616481861918722,
395646798,I miss my wife and skyrim.,2022-11-17T23:34:16.000Z,en,['1593387072529776647'],1593387072529776647,{'place_id': '8193d87541f11dfb'}
395646798,@yayduh I laffd,2022-11-17T14:55:21.000Z,en,['1593256482501701632'],1593256482501701632,{'place_id': '8193d87541f11dfb'}
395646798,RT @weirdlilguys: wheeeeeeeeee https://t.co/gv4ql79b1K,2022-11-17T14:46:45.000Z,und,['1593254316764454913'],1593254316764454913,
395646798,@yayduh Ok smarty pants,2022-11-17T14:46:24.000Z,en,['1593254230613438464'],1593254230613438464,{'place_id': '8193d87541f11dfb'}
395646798,How do get a peanut to laugh???,2022-11-17T14:38:00.000Z,en,['1593252115513716736'],1593252115513716736,{'place_id': '8193d87541f11dfb'}
395646798,How to potatoes resolve fights????,2022-11-17T04:32:38.000Z,en,['1593099772571025408'],1593099772571025408,{'place_id': '8193d87541f11dfb'}
395646798,@poppunksucks She’s on my shit list,2022-11-16T14:11:38.000Z,en,['1592883091630170112'],1592883091630170112,{'place_id': '8193d87541f11dfb'}
395646798,My cat chewed on my laptop charger wire and it worked fine for a while but yesterday it finally pooped out. I should have ordered a new one a long time ago but I didn’t until yesterday and now having it delivered to my airbnb tomorrow 😅,2022-11-16T04:36:39.000Z,en,['1592738396216365056'],1592738396216365056,{'place_id': '8193d87541f11dfb'}
395646798,@stabbymoth Slay,2022-11-16T04:18:27.000Z,en,['1592733813410791426'],1592733813410791426,{'place_id': '8193d87541f11dfb'}
395646798,@Lylli I just tried holding my breath until I pass out in this random persons back seat. Always does the trick.,2022-11-16T04:17:59.000Z,en,['1592733695290769409'],1592733695290769409,{'place_id': '8193d87541f11dfb'}
395646798,Couldn’t stop hiccuping in my uber It was so embarrassing.,2022-11-16T02:57:04.000Z,en,['1592713331986829313'],1592713331986829313,{'place_id': '8193d87541f11dfb'}
395646798,I had a really nice day today and I’m excited for tomorrow 🥹,2022-11-15T05:16:10.000Z,en,['1592385950264733698'],1592385950264733698,{'place_id': '8193d87541f11dfb'}
