created_at,text,edit_history_tweet_ids,author_id,lang,id
2022-11-22T19:15:15.000Z,"As Atiku and Okowa dodged Town Hall meeting today and am sure BAT won't attend too. Any presidential debate/Town Hall meeting putting up HE Peter Obi first should be declined. Because they are using it to copy from Obi and it has to stop.
#Tinubu and Atiku",['1595133830436122624'],882401831367962624,en,1595133830436122624
2022-11-22T17:05:04.000Z,"RT @AndSilipanah: This is the first time I'm spending my money on a politician. Tomorrow,as Peter Obi lands in lbadan,I'm providing 4 buses…",['1595101067528007680'],882401831367962624,en,1595101067528007680
2022-11-22T17:04:10.000Z,"RT @PeterObi: This evening, I will be on Twitter Spaces to discuss topical political issues and other issues germane to nation-building and…",['1595100839206858754'],882401831367962624,en,1595100839206858754
2022-11-22T17:03:24.000Z,@BwalaDaniel Did you think that HE Peter Obi is Baba Dubai (Atiku) who after every election cycle goes back to Dubai? If you remember during the tribunal to reclaim their mandate Baba Dubai was absent all through. Accusing people what you're known for. Hypocrisy. Obi is for the masses.,['1595100648764309504'],882401831367962624,en,1595100648764309504
2022-11-22T11:47:46.000Z,@renoomokri @Reno you can help yourself check the number of poor people in Lagos and Anambra released by NBS yesterday. You can also compare to Adamawa too. https://t.co/U3p2HdknXe,['1595021215097581573'],882401831367962624,en,1595021215097581573
2022-11-21T12:37:25.000Z,"@VictorIsrael_ That was why he is always angry with HE Peter Obi because they have opposite ideology. He likes owning salaries, borrowing and squandering of money. People like him should be voted out of power.",['1594671320603807748'],882401831367962624,en,1594671320603807748
2022-11-20T18:07:32.000Z,@DrOkaforEmmanu1 Hold your strategic slave mentality to yourself.  People like you their stomach is their Chi( God) who will never try to do anything rather than eat from crumbles. He is winning already and your are looking in vain who to join you. Do it yourself and eat all from the crumbles.,['1594392012157251584'],882401831367962624,en,1594392012157251584
2022-11-19T13:05:42.000Z,@hooddudu @ColinChidiogo @StatiSense Look at this one. Come to Lagos check many booming Businesses and enterprises and many mansions there and ask who own them. Then you will understand that the statistics is right. Igbos are enterprising in nature and very hardworking. They don't like free things,['1593953663000756225'],882401831367962624,en,1593953663000756225
2022-11-17T11:53:30.000Z,@ADAMUBASHIR5 @HAHayatu Very myopic thinking and analysis. If you want I will send thousands of SE names in many states of federation. 2023 will surprise many people like you,['1593210718316208132'],882401831367962624,en,1593210718316208132
2022-11-17T00:07:11.000Z,"RT @prexidor: Dear @PeterObi and @doyinokupe, we created this Hausa Video Jingle and our aim is to broadcast it on Arewa24; a TV station wh…",['1593032970323251200'],882401831367962624,en,1593032970323251200
2022-11-16T22:34:28.000Z,@adamugarba This very stupid Adamu and low IQ Adamu who is a scammer that needs to be in jail is here spewing rubbish.Southeast has been in forefront of Nigeria development. @Adamu have you ever ask yourself why all the bad indices of development has been in the North with all the power?,['1593009635841126400'],882401831367962624,en,1593009635841126400
2022-11-16T20:09:14.000Z,@Qdpaper2 Tribalism has becloud this Qudus he thinks that everyone supporting Peter Obi is Igbo. What a shame. Tinubu is not well and is very clear by his staggering and limping whenever he's was. Coupled with dementia. Is this kind of man we will hand over Nigeria to cripple it. No.,['1592973085669756930'],882401831367962624,en,1592973085669756930
2022-11-15T20:58:14.000Z,@BashirAhmaad @Bashir after the hide hide he still came out and fumbled . The journey is too far to hand over 200M Nigerians to a man that already has dementia! Nigeria needs a man that is mentally and physically fit. Nigerians have suffered a lot from ineptitude leaders who are sick.,['1592623029028524032'],882401831367962624,en,1592623029028524032
2022-11-15T19:30:23.000Z,There is no day that BAT speaks extempore without making a serious gaffe. Is this kind of person we want to lead over 200m Nigerians? No. Nigeria is very precious to us and is seriously sick and we don't want it to die in hand of BAT. Dementia has set in. #PeterObi4President2023,['1592600922974466049'],882401831367962624,en,1592600922974466049
2022-11-15T19:19:46.000Z,@Qdpaper2 We told you that dementia has set in for BAT you disagreed but it has happened to your eyes and your are blabbing there  is no problem. I saw in a dream where he failed on campaign ground and many people ran away from him. Make sure someone held him always to avoid calamity.,['1592598248724008960'],882401831367962624,en,1592598248724008960
2022-11-15T11:15:54.000Z,@CCSoludo @CCSoludo remember Rochas wen others were hailing him &amp;telling him he is different from others from the SE politicians and hubris didn't allow him to think twice but want to be recognized by others by hook or crook but wen he tried to contest they frustrated. Don't toe same path!,['1592476481376374784'],882401831367962624,en,1592476481376374784
2022-11-14T11:01:41.000Z,"RT @PeterObi: To have corruption eat so deeply into the fabric of our public life, such that over 80% of our common wealth is devoured by a…",['1592110513542074369'],882401831367962624,en,1592110513542074369
2022-11-12T18:10:03.000Z,@renoomokri @Reno nobody praised you because your are inconsequential to Obidient movement. I hope you heard it loud and clear yesterday in accient Kingdom of Benin upon all the bottle necks? Learn to respect a man with grace @ HE Peter Obi because God will disgrace you.,['1591493541913661441'],882401831367962624,en,1591493541913661441
2022-11-12T17:16:35.000Z,@AbdulMahmud01 Nothing will come out of it.Inec is being used to kill the case &amp; say it didn't constitute electoral offence &amp; u will see the hysteria that will follow it by his followers! Why did inec in the first place publish his name as APC candidate without any certificate to back it up?,['1591480087689715714'],882401831367962624,en,1591480087689715714
2022-11-11T18:06:22.000Z,@YeleSowore Pro max of Adamu Garba who stole the money of citizens in the name fundraising to procure APC nomination form. @Sowore what are you doing you are raising fund for?  People should careful with him to avoid had I known.,['1591130228579266560'],882401831367962624,en,1591130228579266560
2022-11-11T17:43:22.000Z,"RT @PeterObi: I am in the palace of the Oba of Benin; greeted by a humongous crowd, wonderful reception and warm hospitality... I am gratef…",['1591124438526853147'],882401831367962624,en,1591124438526853147
2022-11-10T22:50:35.000Z,@YeleSowore @CCSoludo @PeterObi @channelstv @takeitback Sowore is useless and have not be invited for any meaningful debate because they know he is SUG presidential candidate.,['1590839363264733184'],882401831367962624,en,1590839363264733184
