created_at,id,text,author_id,edit_history_tweet_ids,lang,withheld
2022-11-22T21:56:16.000Z,1595174350805733399,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,983613072785813505,['1595174350805733399'],en,
2022-11-22T20:30:21.000Z,1595152726605922305,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",983613072785813505,['1595152726605922305'],en,
2022-11-22T19:14:01.000Z,1595133517469749248,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",983613072785813505,['1595133517469749248'],en,
2022-11-22T16:55:00.000Z,1595098532448538625,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",983613072785813505,['1595098532448538625'],tr,
2022-11-22T15:06:55.000Z,1595071332684808192,"RT @NFT_SalesRoom: The four mining consensus mechanisms of global blockchain will officially launch the online voting activities (POW, POS,…",983613072785813505,['1595071332684808192'],en,
2022-11-22T14:02:55.000Z,1595055225433473024,RT @Naifmm777: 💚🇸🇦💚🇸🇦💚🇸🇦💚 #SaudiArabia #Argentina #FIFAWorldCup https://t.co/qkWvLwRUAN https://t.co/mDBQfgTwop,983613072785813505,['1595055225433473024'],und,
2022-11-22T13:11:11.000Z,1595042206238261248,RT @kaiyun830: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐   Just because someone doesn‘t love you the way you want them to， doesn’t mean they don‘t lo…,983613072785813505,['1595042206238261248'],en,
2022-11-22T12:15:32.000Z,1595028204326035456,RT @AlanJoh06708383: Wasting time is robbing oneself.            #裸聊 #意淫 #红绿灯 #寸止 #磕炮 https://t.co/ym04vpSyXA,983613072785813505,['1595028204326035456'],en,
2022-11-22T11:29:41.000Z,1595016663778603008,RT @daPang70456438: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票 Friendship is a sheltering tree。 https://t.c…,983613072785813505,['1595016663778603008'],en,
2022-11-22T10:24:45.000Z,1595000322379784194,"RT @CryptoWhalEth: Don't waste time and secure your slot. Become a $C4E Premium #Validator! 

Buy now $C4E tokens with the lowest price eve…",983613072785813505,['1595000322379784194'],en,
