author_id,text,created_at,lang,edit_history_tweet_ids,id,withheld
931361748719824897,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,2022-11-22T21:56:27.000Z,en,['1595174394946813954'],1595174394946813954,
931361748719824897,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",2022-11-22T20:31:39.000Z,en,['1595153056299159559'],1595153056299159559,
931361748719824897,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",2022-11-22T19:14:07.000Z,en,['1595133541528272897'],1595133541528272897,
931361748719824897,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",2022-11-22T16:56:13.000Z,tr,['1595098839026999296'],1595098839026999296,
931361748719824897,"RT @NFT_SalesRoom: The four mining consensus mechanisms of global blockchain will officially launch the online voting activities (POW, POS,…",2022-11-22T15:06:56.000Z,en,['1595071338523213824'],1595071338523213824,
931361748719824897,"RT @icbexchange: Scheme administrators want as many individuals as possible to participate and invest as much money as possible. 
To encour…",2022-11-22T14:02:59.000Z,en,['1595055245951893508'],1595055245951893508,
931361748719824897,"RT @TheshopNFT: Happy Holidays Creams🍦
ThanksGiving is about giving back to the community and society.
#TheShopNFT is giving #FreeMints to…",2022-11-22T13:11:11.000Z,en,['1595042206704078849'],1595042206704078849,
931361748719824897,"RT @KhangNg19107272: I want to see you, not far from Wan Li.＼(`Δ’)／
🐧：3039442071
#昆山
#昆山线下 https://t.co/0ylZjZLcjs",2022-11-22T12:19:06.000Z,en,['1595029100103696385'],1595029100103696385,
931361748719824897,RT @daPang70456438: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票 Friendship is a sheltering tree。 https://t.c…,2022-11-22T11:33:36.000Z,en,['1595017652442914816'],1595017652442914816,
931361748719824897,RT @daPang70456438: #足球 #盘口 #开云体育 #2022塔卡尔世界杯  #NBA #真人百家乐 #棋牌 #PG电子  #五大联赛 #捕鱼  #双赢棋牌 #彩票计划  When falling in love， some lose their head， o…,2022-11-22T10:44:11.000Z,en,['1595005214524076037'],1595005214524076037,
931361748719824897,"RT @ATMrank: The power of good friction also works when it comes to saving and growing your network.

Thanks for the inspiration!

#Connect…",2022-11-22T09:25:51.000Z,en,['1594985501865709569'],1594985501865709569,
931361748719824897,"RT @THENFTSTAR: You have been selected! Congrats Neymar Jr. NFT cheerleader winners!
@2OOvbBatWkEXCuW @LorieB233 @x0chihiro https://t.co/ta…",2022-11-22T06:58:20.000Z,en,['1594948375975268352'],1594948375975268352,
931361748719824897,"RT @Desire04540897: you want to play with water
 💦💦💦💦💦💦💦💦
#无锡线下 #无锡 https://t.co/sLXdGMijoJ",2022-11-22T05:44:03.000Z,en,['1594929684193705984'],1594929684193705984,
931361748719824897,"RT @_paiverse: 81'  | 🇺🇸 1-1 🏴󠁧󠁢󠁷󠁬󠁳󠁿

GOAL!!!! Gareth Bale u beauty!!

#ArBenYByd | #FIFAWorldCup | #TogetherStronger https://t.co/9PBPVpfd…",2022-11-22T04:52:57.000Z,en,['1594916822171754497'],1594916822171754497,
