created_at,id,author_id,lang,text,edit_history_tweet_ids
2022-11-22T22:20:59.000Z,1595180568123154433,15260722,en,"@Theo_TJ_Jordan Socialist realism. Again. 

This is why I’m itching to talk.",['1595180568123154433']
2022-11-22T22:20:31.000Z,1595180452968632320,15260722,zxx,https://t.co/spipfygtwb https://t.co/j8LaaEMWHb,['1595180452968632320']
2022-11-22T22:19:48.000Z,1595180272554852353,15260722,en,Because stadiums being built in cities always benefits the city.  😂 https://t.co/AoA7yGs645,['1595180272554852353']
2022-11-22T22:18:11.000Z,1595179864646197248,15260722,en,@johnrobb @adamscrabble For those of us unfamiliar could you define bow-tie control systems please?,['1595179864646197248']
2022-11-22T22:17:22.000Z,1595179658571571201,15260722,en,@albert1776 I mean if we really wanna imagine it it would be the NHL.  😉 (bad joke. But a joke.),['1595179658571571201']
2022-11-22T22:16:56.000Z,1595179549507162112,15260722,en,RT @albert1776: Never did I anticipate the NHL going full blown cultural Marxist.,['1595179549507162112']
2022-11-22T22:16:23.000Z,1595179411342499844,15260722,en,RT @justin_hart: Why would Dr. Fauci want to alert the FBI &amp; MI5?,['1595179411342499844']
2022-11-22T22:16:10.000Z,1595179359190585347,15260722,en,RT @ooana: @LardDragonEzra @chadfelixg Apparently my inability to go to a restaurant or movie or have my medical condition respected never…,['1595179359190585347']
2022-11-22T22:16:03.000Z,1595179330161745923,15260722,en,@LardDragonEzra @chadfelixg Apparently my inability to go to a restaurant or movie or have my medical condition respected never happened cause - I’m heterosexual.,['1595179330161745923']
2022-11-22T22:15:02.000Z,1595179071553605633,15260722,en,"RT @AlexBerenson: What the scientists behind The Science  REALLY thought about a lab leak

ANTHONY FAUCI, Feb. 4, 2020: Surely that [gain o…",['1595179071553605633']
2022-11-22T22:14:51.000Z,1595179024527097857,15260722,en,😂😂😂😂😂 says every member of “the pandemic of the unvaccinated.” https://t.co/hG074K3z7D,['1595179024527097857']
2022-11-22T22:14:03.000Z,1595178824169410560,15260722,en,"Another example of Socialist realism.  Sport and art have always been intertwined (not just via media.)

The Hero is toil. Not athletes. And the toiler is unthinkable outside the collective. https://t.co/LsECFKG2Zo",['1595178824169410560']
2022-11-22T22:12:13.000Z,1595178364054257679,15260722,en,"RT @LibertyLockPod: Russian collusion
Two weeks
Social distance
Lockdown
Vitamin D
IVM
Lab leak
Safe and effective
Hunter's laptop
J6 insur…",['1595178364054257679']
2022-11-22T22:12:08.000Z,1595178344425082880,15260722,en,Our patience is wearing thin. https://t.co/yyOI86fEXj,['1595178344425082880']
