created_at,geo,id,author_id,lang,text,edit_history_tweet_ids
2022-11-22T22:46:27.000Z,{'place_id': 'd66ca907ceb62690'},1595186980689793024,58628774,en,@JCStrachan876 @SimonKuepper Traffic bottlenecks cause the cars to slow; potholes cause the traffic to swerve.,['1595186980689793024']
2022-11-22T19:50:54.000Z,{'place_id': 'd66ca907ceb62690'},1595142801368395777,58628774,en,@SimonKuepper But it is the micro GPS data -- braking and swerving -- that will reveal the location and size of the potholes. Would Google Maps traffic data have that?,['1595142801368395777']
2022-11-22T19:17:45.000Z,{'place_id': 'd66ca907ceb62690'},1595134457484578816,58628774,en,"@islandsurveyor @taychin Everyone has an incentive to install the app since, by providing the data for the roads that you drive on, you are in effect ""voting"" for the prioritizing of the roads relevant to your commutes.",['1595134457484578816']
2022-11-22T19:15:30.000Z,{'place_id': 'd66ca907ceb62690'},1595133890233917440,58628774,en,"No. Under my system, users don't have to do anything after installing the app. Everything else happens automatically. Moreover, by tracking the number of vehicles that drive past any particular pothole, the algorithim knows which potholes are affecting the most traffic. https://t.co/UtywcmWE0o",['1595133890233917440']
2022-11-22T12:31:00.000Z,,1595032094819975171,58628774,en,"App idea.

App detects when you're in a moving vehicle and tracks its movements.

In wifi, data uploaded to a server. An algorithim analyses all the tracked data (braking, swerves) to work out where the potholes are and how many vehicles affected.

Result? priority potholes.",['1595032094819975171']
2022-11-21T12:32:00.000Z,,1594669958394429440,58628774,en,"The central bank's benchmark interest rate (that influences all other lending rates) has been pushed up again, now to 7%. This means further dampening of spending power.

Rising mortgage rates, with so much residential construction underway, should be, ahm, ""interesting"". https://t.co/X3oa95nziu",['1594669958394429440']
2022-11-19T14:33:00.000Z,,1593975633356488704,58628774,en,Elon #Musk must have seen something in Liz #Truss that he liked.,['1593975633356488704']
2022-11-18T20:47:07.000Z,{'place_id': 'd66ca907ceb62690'},1593707394479144960,58628774,en,Dry cleaning was invented by Paul Bogle?!?! https://t.co/tkhHr4l0Pu,['1593707394479144960']
2022-11-18T19:26:55.000Z,{'place_id': 'd66ca907ceb62690'},1593687214025736193,58628774,en,"Gave out my garment to DryCleanUSA. It wasn't ready after a week. It still wasn't there yesterday after 2 weeks. Today they said they could not check if it was at the plant because, ""the man wasn't at work."" So if a bus lick down ""the man"", my garment will never be located?",['1593687214025736193']
2022-11-18T12:34:00.000Z,,1593583298206318592,58628774,en,Organized crime. https://t.co/SH2Ae9jK3C,['1593583298206318592']
2022-11-17T14:56:31.000Z,{'place_id': 'd66ca907ceb62690'},1593256774689501184,58628774,en,"@RasBenjiMassop1 To clarify, I was not questioning his comeuppance at all. I was questioning whether that comeppance was an example of the rule of law, as the Minister had claimed. The law is always a weapon against the weak.",['1593256774689501184']
2022-11-17T14:03:11.000Z,{'place_id': 'd66ca907ceb62690'},1593243356054040577,58628774,en,"So let me get this straight. A man intimidates and threatens to assault innocent women and children with a stick, and Zip-fm's response to this is, ""oh, here is a bigger stick"". With a bow!!! How come no one at this dunce media company saw a problem with this? https://t.co/bURJYgJBfb",['1593243356054040577']
2022-11-17T13:56:22.000Z,{'place_id': 'd66ca907ceb62690'},1593241639530598400,58628774,en,"So Zip-fm has essentially established a competition, with no ethical boundary apparently, for people to try to outdo each other with outrage to win an award (giggle, giggle, joke, joke) for viral spread. Can they not see where this will go? Who are the real clowns? https://t.co/HYMPDR5RgX",['1593241639530598400']
2022-11-16T17:50:56.000Z,,1592938281079300096,58628774,en,RT @dmccaulay: Just returned from risking life and limb on the Hope Road Taxi Speedway..,['1592938281079300096']
2022-11-16T12:35:00.000Z,,1592858774150164480,58628774,en,"The evidence of the ""rule of law"" is not when the little man is hauled up before the authorities. That is merely evidence of the rule of power. What proves the rule of law is when it is applied equally to the rich and powerful. Give me some examples of those, Minister. https://t.co/Xy4y5RpfWZ",['1592858774150164480']
2022-11-15T13:55:04.000Z,{'place_id': 'd66ca907ceb62690'},1592516536174280707,58628774,en,"Contemplating my own transgressions, I'm the least of those who should make judgements. And, you know, I'm okay with judging a man who beats a woman with a piece of furniture. https://t.co/czfoiMcgON",['1592516536174280707']
2022-11-14T22:26:13.000Z,{'place_id': 'd66ca907ceb62690'},1592282782767935490,58628774,en,"In response to the field labelled ""Sex"", an applicant to a friend's company wrote, ""not with [company name] girls."" https://t.co/X0RKiFtIHY",['1592282782767935490']
2022-11-14T16:46:47.000Z,,1592197361207758848,58628774,art,RT @Trev_iBeMe: 🤐🤐,['1592197361207758848']
2022-11-14T16:45:59.000Z,,1592197162502598656,58628774,en,"RT @Trev_iBeMe: DK has been chanting this for years! 

Amnesties reward lawbreakers…, for what exactly? One off revenue?",['1592197162502598656']
2022-11-13T02:08:51.000Z,{'place_id': 'd66ca907ceb62690'},1591614035933687808,58628774,en,"Wow! What skill! You just barely managed to fit into that tight space, eh? Well done. [Sovereign North, Kingston] https://t.co/6sCVyzb0rO",['1591614035933687808']
2022-11-11T22:23:38.000Z,{'place_id': 'd66ca907ceb62690'},1591194971964846082,58628774,en,So the switch on the left is for the room on the right and vice versa. That would be the last job that electrician did for me. https://t.co/BVtOTt7ZfR,['1591194971964846082']
2022-11-10T13:42:32.000Z,{'place_id': 'd66ca907ceb62690'},1590701441794342914,58628774,en,And the government says its concerned about the country's low labour productivity. That's at least half a day that labour (including highly skilled labour) has to spend not producing. https://t.co/tbSO9XF4OC,['1590701441794342914']
2022-11-09T02:24:30.000Z,,1590168423593521154,58628774,en,"I'm an optimist. Whenever I wash my hands in a public restroom in this country, I keep trying the paper towel dispenser in the hope that one day one of them might actually have paper towels. [Norman Manley Airport] https://t.co/NIsTYyrEh1",['1590168423593521154']
