text,author_id,lang,created_at,id,edit_history_tweet_ids
I don tire 😩😩😩 I need to sleep,896345658,en,2022-11-22T21:57:59.000Z,1595174780663173137,['1595174780663173137']
"RT @rachaelbereba: Infidelity is bad 🚩🚩🚩

So why do men find it difficult to forgive and forget, even if they do forgive, they can’t forget…",896345658,en,2022-11-22T20:25:42.000Z,1595151558689558528,['1595151558689558528']
"RT @weirdomamba: You dey abroad, your girlfriend Dey Naija 
Is that not car parked at Owner’s risk",896345658,en,2022-11-22T20:19:20.000Z,1595149954099867649,['1595149954099867649']
"RT @demi_spd: If Ronaldo scores a pk, we'd call him Penaldo
If Messi scores a pk, we'd call him Pessi
What if Dennis scores a pk??",896345658,en,2022-11-22T20:19:12.000Z,1595149921602392072,['1595149921602392072']
RT @MartinsAdedayo2: I’m at a point where I need to pick between a good semester and the world cup😩,896345658,en,2022-11-22T20:17:39.000Z,1595149532597170176,['1595149532597170176']
RT @RayMuham: This Sodiq or nothing😂😂💔 https://t.co/SuAKMR5M24,896345658,en,2022-11-22T20:17:32.000Z,1595149503182827520,['1595149503182827520']
RT @Dazzleeee_: At the early stages of birth babies are ugly let be honest 😭😭👍🏾,896345658,en,2022-11-22T20:17:27.000Z,1595149480269004805,['1595149480269004805']
"RT @Pegasus_szn: This December go gbaski gan o, if you dull ontop AfroBeats this festive season na you know. We party hard with legends lik…",896345658,en,2022-11-22T20:17:12.000Z,1595149420546654208,['1595149420546654208']
RT @D_RitchopsWarri: Like serious Fever 🤒 go Dey do me up n down🙄 https://t.co/DghsQD9L5B,896345658,en,2022-11-22T20:11:24.000Z,1595147958013816832,['1595147958013816832']
RT @Bad_since_90s: When you finish a 2 hours Mathematics exam in 30 minutes😎 https://t.co/iGxFC3nNBM,896345658,en,2022-11-22T20:11:20.000Z,1595147942184497153,['1595147942184497153']
RT @Shegoluv_: Just incase u want a Christmas/ New year greeting card. U can dm me. I am Ur ryt plug. https://t.co/jrt9oJxcZX,896345658,en,2022-11-22T20:10:31.000Z,1595147737133363201,['1595147737133363201']
"RT @D_RitchopsWarri: Are you in Warri and environs and you need a Baker or a Chops plug or you want to surprise someone special, look no fu…",896345658,en,2022-11-22T20:10:24.000Z,1595147707458650113,['1595147707458650113']
RT @ukange_davidx: Make sure you are not the weapon fashioned against yourself that’s causing you to not prosper,896345658,en,2022-11-22T20:10:02.000Z,1595147617075281920,['1595147617075281920']
"RT @_bigbankz: It’s only in NIGERIA people will knock on your door and still uses their mouth to do “ko-ko-ko oo”

Nigerians😩…. But Y?",896345658,en,2022-11-22T20:09:56.000Z,1595147590697644032,['1595147590697644032']
"RT @_iamtolulope: Even steppers dey dance to Konji,now tell me why you never jam Konji , click link below to jam Konji speed up version

 h…",896345658,en,2022-11-22T20:09:45.000Z,1595147543750795264,['1595147543750795264']
@kings_spicy No give up oo,896345658,en,2022-11-22T20:09:37.000Z,1595147511869886464,['1595147511869886464']
RT @kings_spicy: Abeg who get motivational speech make him help me e be like say I want give up.,896345658,en,2022-11-22T20:09:27.000Z,1595147466466525184,['1595147466466525184']
"RT @realaspirine: You've known your parents your entire life but they've only known you for part of theirs. 
#PoffPoffPass https://t.co/6YU…",896345658,en,2022-11-22T20:09:19.000Z,1595147436401766402,['1595147436401766402']
"RT @Designer_G_: Manipulation is when they blame you for your reaction to their toxic behaviour, but never discuss their disrespect that tr…",896345658,en,2022-11-22T20:09:10.000Z,1595147396232916993,['1595147396232916993']
RT @_tayoinabuja: God forbids poverty 🤲🤲😂😂😂😂 https://t.co/zQG2KavRZG,896345658,en,2022-11-22T20:08:55.000Z,1595147333821689858,['1595147333821689858']
@Okoliemeka7 At all 😂,896345658,en,2022-11-22T20:08:46.000Z,1595147298216226816,['1595147298216226816']
RT @sammist_23: Egbon jalamia con dey blend with en skin,896345658,cy,2022-11-22T20:08:24.000Z,1595147202665807874,['1595147202665807874']
RT @Abudris: It’s so difficult to see a musician that doesn’t drink and smoke but have a good record label and has really excel in the musi…,896345658,en,2022-11-22T20:08:19.000Z,1595147183061602306,['1595147183061602306']
"RT @Rahmallahh: PRICE :9,000 https://t.co/DGlbl0zTFs",896345658,en,2022-11-22T20:08:03.000Z,1595147113859805184,['1595147113859805184']
"RT @KraysWurld: You can ball like Mayor of ekiti and Mr Bayo too.
Join Easy Win telegram channel now
I make 10k everyday from them
ALL THE…",896345658,en,2022-11-22T20:07:57.000Z,1595147089490890752,['1595147089490890752']
"RT @Ra_hee_mah_baby: Praying is a must.
Ignoring negativity is a must.
Staying happy and focus is a must.
Remaining humble and grateful is…",896345658,en,2022-11-22T20:07:18.000Z,1595146926990962689,['1595146926990962689']
"RT @imaginextra: Flyer design for ""tee's cuisine, Pink Sugar Logistics &amp; Sweetonz "" 

Kindly contact us for your unique Flyer designs 📥

Se…",896345658,en,2022-11-22T20:07:08.000Z,1595146884645261312,['1595146884645261312']
"RT @Topson__: Original player version 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

Price :20k https://t.co/9gA0oj05Og",896345658,en,2022-11-22T20:07:01.000Z,1595146854882488322,['1595146854882488322']
RT @Fari_dah5: Heyyy💕😁 https://t.co/PtxJmcg7GW,896345658,und,2022-11-22T20:06:58.000Z,1595146842148589568,['1595146842148589568']
RT @dammyboyyy: What is that food you used to hate but you like now?,896345658,en,2022-11-22T20:06:53.000Z,1595146822728953858,['1595146822728953858']
"RT @badboyIreanus: If you did not sit down you won't be given food 
Me and my guys: https://t.co/Ap8B565Hmh",896345658,en,2022-11-22T20:06:37.000Z,1595146756186001409,['1595146756186001409']
RT @insolitary_: Ronaldo let’s see where you go next,896345658,en,2022-11-22T20:06:33.000Z,1595146740466089986,['1595146740466089986']
RT @ddoktashittu: I only asked her if Ronaldo to Chelsea is a very lucrative idea? https://t.co/B57fAZml9I,896345658,en,2022-11-22T20:06:28.000Z,1595146716206215169,['1595146716206215169']
RT @Okoliemeka7: Don't ever fry plantain before you cook rice.,896345658,en,2022-11-22T20:06:21.000Z,1595146686749626368,['1595146686749626368']
"RT @SouthcarNg: CALL IT BRAND NEW!!!
Foreign Used Full option Lexus Is250 2012 FSPORT (Extra Luxury Edition) fully Pimped to 2021(TotalAcci…",896345658,en,2022-11-22T20:05:25.000Z,1595146453848297472,['1595146453848297472']
"RT @Bigthelmz: *JORDAN 1 LOW  “LIGHT SMOKE GREY/GYM RED”* NOW AVAILABLE IN STORE ‼️

Size : *40 - 45*

Price : 32K

https://t.co/EabjPoyNsb…",896345658,en,2022-11-22T20:05:15.000Z,1595146411901079552,['1595146411901079552']
"RT @Ampellzy: Hating plantain is enough reason to cut people off. 

Yes it is",896345658,en,2022-11-22T20:04:49.000Z,1595146300697481218,['1595146300697481218']
RT @wiz_walexy17: Which one do you want ? https://t.co/p6X7iJhTT8,896345658,en,2022-11-22T20:04:44.000Z,1595146281604640770,['1595146281604640770']
"RT @Sleemzy_avil: Which kind of Reason do you have, is it a flat reason or a gigantic reason? Read in Yoruba 😋 https://t.co/RxQAX6nJ0t",896345658,en,2022-11-22T20:04:40.000Z,1595146263976382464,['1595146263976382464']
RT @babyjhum: Put on your hotspot for android users and their phone will automatically start downloading different things🤦‍♀️,896345658,en,2022-11-22T20:04:24.000Z,1595146199321161729,['1595146199321161729']
"RT @____Abike: Any weapon fashion against me abeg make e be correct IRON so dat I fit sell am for aluminum condemn 

I dey hungry die",896345658,en,2022-11-22T20:04:20.000Z,1595146179461144577,['1595146179461144577']
RT @thebabieegirl: I hate my own attitude sometimes like wtf are you mad about now😂,896345658,en,2022-11-22T19:49:30.000Z,1595142446614482944,['1595142446614482944']
RT @lauurell2: The fake dislike for light skinned guys by women on the internet 😂,896345658,en,2022-11-22T19:49:21.000Z,1595142410182356994,['1595142410182356994']
"RT @MubarakAlao: FACT..
A Woman can stay with you while she already dumped you in her mind.
Fear those Gender!",896345658,en,2022-11-22T19:49:10.000Z,1595142363131056128,['1595142363131056128']
RT @Chief_Konfam: Who did this to Odogwu 😭😭😭 https://t.co/o8VEfDwp6Y,896345658,en,2022-11-22T19:48:58.000Z,1595142315534094337,['1595142315534094337']
RT @sparkybwoi: Sometimes you just have to stop your car and change it for some of these bus drivers for their reckles driving😒. Their were…,896345658,en,2022-11-22T19:48:47.000Z,1595142265873498112,['1595142265873498112']
RT @praiseoghre: Someone is out there realising why we all left our ex.,896345658,en,2022-11-22T19:43:44.000Z,1595140998191255552,['1595140998191255552']
RT @AkunneChinyere4: Anyone can be a father but it takes a special man to be a dad.,896345658,en,2022-11-22T19:41:00.000Z,1595140309125853184,['1595140309125853184']
"RT @Ingswayszn: Na here influencers dey chop. You sef na comrade you be, join make you sef chop small👍. Check channel media👇
https://t.co/7…",896345658,en,2022-11-22T19:40:54.000Z,1595140282043232256,['1595140282043232256']
"RT @_temioflagos: Naso person snatch my Agbado from my hand today in traffic, I just had to eat my coconut and water in silent anger 🥹",896345658,en,2022-11-22T19:40:43.000Z,1595140237344509952,['1595140237344509952']
"RT @Bassey_Ita_: As a girl if you no get up to 7 wigs of your own ,

You be BOY",896345658,en,2022-11-22T19:40:35.000Z,1595140203467149313,['1595140203467149313']
"RT @Israelgharee: 1 bone straight, 10 users 😂💔",896345658,en,2022-11-22T19:40:27.000Z,1595140170105647104,['1595140170105647104']
"RT @thornerveli: if babe give me attitude con dey tell me say "" i woke up at the wrong side of the bed "" 
I no go talk anything..the day we…",896345658,en,2022-11-22T19:40:22.000Z,1595140150266572800,['1595140150266572800']
"RT @Apiwe_Phelix: With our cutting-edge blockchain-based algorithm, the @SkaflicOfficial platform can give a new concept of investing that…",896345658,en,2022-11-22T19:40:19.000Z,1595140135729102848,['1595140135729102848']
"RT @adeewunmi: If I say ""leave me alone"" and you leave, that means you've always wanted to leave.🌝",896345658,en,2022-11-22T19:40:12.000Z,1595140106452873217,['1595140106452873217']
"RT @gifylicious: When I hear people say, all I want is a good person, someone that is caring, gives me peace etc. The question I ask is, ar…",896345658,en,2022-11-22T19:40:03.000Z,1595140067731079170,['1595140067731079170']
RT @ezzikingxx: Your account balance can't buy knife &amp; you wanna cut people off,896345658,en,2022-11-22T19:39:59.000Z,1595140052098912257,['1595140052098912257']
RT @Kenamiofficial: I say make I try am if something go come outside🥲 https://t.co/d5Y97suqmK,896345658,en,2022-11-22T19:39:54.000Z,1595140033161629696,['1595140033161629696']
RT @anetorial_: I no see the 90 billion dollars way I put for my Jean pocket last night.,896345658,en,2022-11-22T19:39:39.000Z,1595139970423197696,['1595139970423197696']
"RT @balzayo_: All gadgets available at EXPRESSGADGETS for pickup/nationwide delivery✅🛍️💯

Send a DM to BUY | SELL | SWAP today. https://t.c…",896345658,en,2022-11-22T19:39:25.000Z,1595139908330754048,['1595139908330754048']
"RT @shinmoma1: Am the type that of you hate me for no reason, I will give you more reasons to hate me .",896345658,en,2022-11-22T19:39:08.000Z,1595139837262462978,['1595139837262462978']
"RT @ossaivictor1_: She took advantage of me crushing on her and made me buy dinner for her and her boyfriend.
This is how w!cked some ladie…",896345658,en,2022-11-22T19:39:02.000Z,1595139815460458496,['1595139815460458496']
