lang,id,author_id,edit_history_tweet_ids,created_at,text,geo
en,1595183579734106112,1288101195693936642,['1595183579734106112'],2022-11-22T22:32:57.000Z,"RT @Ifedun1: Cz ear cuffs available as seen
Price:#3500
Send a dm to order 
Location:Lagos
Nationwide delivery 
Pls RT https://t.co/gFxIR56…",
en,1595183507499794432,1288101195693936642,['1595183507499794432'],2022-11-22T22:32:39.000Z,"RT @Ifedun1: Mini hoops😍
Non-tarnish,hypoallergenic 
Price:#2500
Send a dm to order
Location:Lagos
Nationwide delivery https://t.co/Nz1Wp5o…",
en,1595183490731048961,1288101195693936642,['1595183490731048961'],2022-11-22T22:32:35.000Z,"RT @Ifedun1: Who wants?😍
Price:#2000
Send a dm to order 
Location:Lagos
Nationwide delivery 
Kindly RT https://t.co/PUjOmVvOjz",
en,1595183055450284032,1288101195693936642,['1595183055450284032'],2022-11-22T22:30:52.000Z,RT @AjokeOnifaari: Pinterest is the goat for everything sha,
en,1595182863074627584,1288101195693936642,['1595182863074627584'],2022-11-22T22:30:06.000Z,"RT @Kitchenatease: Kindly retweet if this pops on your TL, dash us a retweet 😊

If you need this wooden engraved keyholder for your company…",
en,1595182735378845696,1288101195693936642,['1595182735378845696'],2022-11-22T22:29:35.000Z,@zaynab__hamzat It was good🤗,
en,1595182262517121027,1288101195693936642,['1595182262517121027'],2022-11-22T22:27:43.000Z,"RT @UnclebeeOla: That you still wake up everyday to work towards your dream, i am proud of you!",
en,1595182253814026241,1288101195693936642,['1595182253814026241'],2022-11-22T22:27:41.000Z,Thank you🤗 https://t.co/wpanhJh3yQ,{'place_id': '00817d75276a95cf'}
en,1595180980217708545,1288101195693936642,['1595180980217708545'],2022-11-22T22:22:37.000Z,"RT @Humairah2728: Buy for your love one's 😍🛍️
🏷️4500
Nationwide delivery
Pls RT https://t.co/czqsEgapP6",
eu,1595180238979342339,1288101195693936642,['1595180238979342339'],2022-11-22T22:19:40.000Z,@xaynabnasir Ehn Ehn😹😹😹 sorry,
en,1595149476976812032,1288101195693936642,['1595149476976812032'],2022-11-22T20:17:26.000Z,@xaynabnasir The fish goes perfectly nah😩,
en,1595149116593819648,1288101195693936642,['1595149116593819648'],2022-11-22T20:16:00.000Z,RT @UnclebeeOla: I just took time to think about the fact that all the financial projections I helped set and worked towards with this busi…,
en,1595144167646449665,1288101195693936642,['1595144167646449665'],2022-11-22T19:56:20.000Z,@lizchops Ouuuuu❤️‍🔥❤️‍🔥🤗. I’m so happy to hear that😩😩😩,{'place_id': '00817d75276a95cf'}
en,1595142978854866945,1288101195693936642,['1595142978854866945'],2022-11-22T19:51:37.000Z,@lizchops This is amazing!!!!,
en,1595142890212454400,1288101195693936642,['1595142890212454400'],2022-11-22T19:51:16.000Z,"RT @lizchops: I planned a surprise wedding proposal on Sunday,it was such a beautiful moment, I can’t wait for professional pictures and vi…",
en,1595142742203854848,1288101195693936642,['1595142742203854848'],2022-11-22T19:50:40.000Z,"@xaynabnasir E fit be network, na why she no text😹😹😹",{'place_id': '00817d75276a95cf'}
und,1595136128256208897,1288101195693936642,['1595136128256208897'],2022-11-22T19:24:23.000Z,RT @HafeezAkanni_: @aimi_thebrand 😂😂😂,
en,1595136051911471105,1288101195693936642,['1595136051911471105'],2022-11-22T19:24:05.000Z,RT @usmanomolara3: We can work with your budget 💯 https://t.co/XVBFNCrJSN,
en,1595136023700606976,1288101195693936642,['1595136023700606976'],2022-11-22T19:23:58.000Z,RT @xaynabnasir: Please help me re tweet 🧎🏻‍♀,
en,1595135984165093376,1288101195693936642,['1595135984165093376'],2022-11-22T19:23:49.000Z,"Sorry, wipe am cord🌚 https://t.co/6oIpdY3aGH",{'place_id': '00817d75276a95cf'}
en,1595135683580268545,1288101195693936642,['1595135683580268545'],2022-11-22T19:22:37.000Z,RT @Houseofkhairat_: This or that https://t.co/TQyzQsmeYg,
pl,1595135470739955712,1288101195693936642,['1595135470739955712'],2022-11-22T19:21:47.000Z,RT @usmanomolara3: Cold zobo https://t.co/kWujkDVG5V,
en,1595135434065342465,1288101195693936642,['1595135434065342465'],2022-11-22T19:21:38.000Z,Google sef dey search😩😩😹😹😹 https://t.co/JqU71Uly2c,{'place_id': '00817d75276a95cf'}
en,1595135119706435584,1288101195693936642,['1595135119706435584'],2022-11-22T19:20:23.000Z,"RT @DefreshKitchen1: Appreciation post to individuals (that I do not know or have met) that has supported my business on twitter 

@Unclebe…",
en,1595135003532238848,1288101195693936642,['1595135003532238848'],2022-11-22T19:19:55.000Z,"RT @peng_writer: Today, I spoke in a class for https://t.co/RDgQEpHd7K where I discussed 'Maximising opportunities on Social media'.
Some t…",
en,1595134915913609217,1288101195693936642,['1595134915913609217'],2022-11-22T19:19:34.000Z,RT @anike_akoriola: How does press-on nails work?,
en,1595134863941996545,1288101195693936642,['1595134863941996545'],2022-11-22T19:19:22.000Z,"RT @Aaanke: @anike_akoriola Press on set takes not more than 5-10mins to fix on your finger nails

I sell and make handmade press on nails…",
en,1595134807541174272,1288101195693936642,['1595134807541174272'],2022-11-22T19:19:08.000Z,"RT @Ketas_Perfumery: @anike_akoriola Very easy, you clean your nails, then file them if necessary. Apply the glue in and fix the nail, hold…",
und,1595134668147302401,1288101195693936642,['1595134668147302401'],2022-11-22T19:18:35.000Z,RT @GoodnessAdeosun: ☀️ https://t.co/YagjW9WMYC,
en,1595134488040058880,1288101195693936642,['1595134488040058880'],2022-11-22T19:17:52.000Z,"Don’t you see her all the time😹.
….what if she not get data😩😩😩 https://t.co/89ZOmznwoM",{'place_id': '00817d75276a95cf'}
en,1595134139573112832,1288101195693936642,['1595134139573112832'],2022-11-22T19:16:29.000Z,RT @GoodnessAdeosun: God did it. 😩🙏🏽,
en,1595134066340163589,1288101195693936642,['1595134066340163589'],2022-11-22T19:16:12.000Z,"RT @cakesdiet: Product: Fruit Cake &amp; Yogurt
Status: Available 
Location: Ibadan 
Price: N4,300

https://t.co/3vq25Tlgwd

@UnclebeeOla @_Dam…",
en,1595134049211023360,1288101195693936642,['1595134049211023360'],2022-11-22T19:16:08.000Z,"RT @cheryl_clothier: Weirdly,the person is right 😂",
en,1595133978520195072,1288101195693936642,['1595133978520195072'],2022-11-22T19:15:51.000Z,"RT @HafeezAkanni_: You can call me Adire Ambassador 😂😂😂
@cheryl_clothier let's do more 🥂 https://t.co/FOHoRlaZLx",
en,1595133725674983424,1288101195693936642,['1595133725674983424'],2022-11-22T19:14:51.000Z,"RT @Kitchenatease: The Order vs The Feedback 🥰🥰🥰

Delivered to Agungi https://t.co/hityQMNYcY",
en,1595133217023348737,1288101195693936642,['1595133217023348737'],2022-11-22T19:12:49.000Z,@GoodnessAdeosun This is really amazing!!!! Your growth is so beautiful. Well done Goody🤗🤍,
