created_at,id,author_id,lang,text,edit_history_tweet_ids,geo
2022-11-22T19:17:42.000Z,1595134443265863680,3010712156,en,@methodmode he looks like a king of the hill character,['1595134443265863680'],
2022-11-20T02:19:30.000Z,1594153430985150464,3010712156,en,RT @methodmode: Midwest be like... brr,['1594153430985150464'],
2022-11-18T06:57:07.000Z,1593498521214255104,3010712156,en,@methodmode the embiggenment of the subject is auto-cromulent,['1593498521214255104'],
2022-11-11T23:21:47.000Z,1591209602552827904,3010712156,en,I’VE HAD IT! I’VE HAD ENOUGH!! https://t.co/UrRFk6AwVb,['1591209602552827904'],
2022-11-11T21:55:03.000Z,1591187777747832834,3010712156,en,the weird thing about the band Muse is that they only make spooky music. they’re like a halloween band.,['1591187777747832834'],
2022-11-09T21:15:04.000Z,1590452938664996864,3010712156,en,a little known fact about nerds rope is that they are blown by actual nerds,['1590452938664996864'],
2022-11-04T06:09:45.000Z,1588413171039027200,3010712156,en,@bad_takes love the tiny floppy disk,['1588413171039027200'],
2022-11-03T00:24:28.000Z,1587963887340736512,3010712156,en,i’m mad that the new richest guy in the world is posting dumb wojak memes https://t.co/Kdsj62irfN,['1587963887340736512'],
2022-11-01T03:41:27.000Z,1587288684495355911,3010712156,en,this year’s pumpkin https://t.co/2l1xne8gl9,['1587288684495355911'],
2022-10-31T22:00:22.000Z,1587202848495902728,3010712156,en,some kid threw an egg at my car on my way home today,['1587202848495902728'],
2022-10-31T21:59:53.000Z,1587202726114598913,3010712156,en,it’s wild to me that something like this exists https://t.co/xQx1IH0dLZ,['1587202726114598913'],
2022-10-31T02:03:01.000Z,1586901524038516736,3010712156,zxx,RT @limitlessjest: https://t.co/24NVA692YE,['1586901524038516736'],
2022-10-28T21:27:24.000Z,1586107388477984768,3010712156,en,(me any time i see an italian guy) gods he’s dornish,['1586107388477984768'],
2022-10-26T21:13:43.000Z,1585379168296267777,3010712156,en,the whole rest of the movie was good too,['1585379168296267777'],
2022-10-26T21:04:08.000Z,1585376757339033600,3010712156,en,@methodmode just in general? agree,['1585376757339033600'],
2022-10-26T21:03:09.000Z,1585376510696775680,3010712156,en,@r_giroir @methodmode damn alvin the chipmunk sounds fucking pissed,['1585376510696775680'],
