lang,edit_history_tweet_ids,author_id,created_at,text,id,geo
en,['1595133929442676736'],2883015027,2022-11-22T19:15:39.000Z,"RT @RingwoodPublish: In Cuddies Strip and Barossa Street, detective Bob Kelty finds murderers and exposes the pitfalls of society in the 19…",1595133929442676736,
en,['1594790386072944642'],2883015027,2022-11-21T20:30:32.000Z,"RT @FionaSkillen: Day 5 #Fitba150

World War One 1914-18 sees women’s teams flourish like never before across Scotland. Teams develop out o…",1594790386072944642,
qme,['1594057285990596608'],2883015027,2022-11-19T19:57:27.000Z,#SCOvARG https://t.co/GcCHHyDfHc,1594057285990596608,{'place_id': '07d9db1fadc86001'}
en,['1593689149416038400'],2883015027,2022-11-18T19:34:37.000Z,"Just watched the final episode of #ReturntoUist and I'm pining. We'll be there in 8 months. Lovely series, hope we revisit them in a year or two. https://t.co/wnwpMMJxol",1593689149416038400,
en,['1593514984369258496'],2883015027,2022-11-18T08:02:33.000Z,I'm @florajowriter on instagram and facebook too.,1593514984369258496,
en,['1592966171783200768'],2883015027,2022-11-16T19:41:45.000Z,RT @BT0731: Baby elephant disrupting a TV reporter is the best part of today. https://t.co/DseqitxoG9,1592966171783200768,
en,['1592552835266531328'],2883015027,2022-11-15T16:19:18.000Z,"RT @moniackmhor: +++ The @thebridgeawards Emerging Writer Award is now open for submissions +++

📬 Open until 13th December

More details o…",1592552835266531328,
en,['1592148076487401473'],2883015027,2022-11-14T13:30:56.000Z,I hope someone somewhere is making note of all the weird and wonderful book titles created in the course of solving #HiddenBooksGame! (Two to go 🍎🐝) https://t.co/Cynhus3RYk,1592148076487401473,
en,['1591788142859882499'],2883015027,2022-11-13T13:40:41.000Z,Fantastic day for it! #SCOvNZ #AsOne https://t.co/sOTmRmDF0C,1591788142859882499,{'place_id': '07d9db1fadc86001'}
en,['1591065821668773888'],2883015027,2022-11-11T13:50:27.000Z,"RT @MarkPalmerST: Interesting wee tale for Armistice Day: @OllieSmith__ @Ollie_Smiffy's family link to Eric Milroy, Scotland captain in the…",1591065821668773888,
en,['1590765449859723264'],2883015027,2022-11-10T17:56:52.000Z,"RT @kirstiw: Would be great to see you there, retweets much appreciated! @scottishproduct @Writers_Bloc_UK @Scottiesnbooks @PublishScotland",1590765449859723264,
en,['1590731348993773568'],2883015027,2022-11-10T15:41:22.000Z,"RT @TheRSC: 🦢✨ Exciting news ✨🦢

💥 The Swan Theatre is BACK in 2023 – opening in April with the world stage premiere of Maggie O’Farrell’s…",1590731348993773568,
en,['1589552001385664513'],2883015027,2022-11-07T09:35:04.000Z,"RT @wrugbymuseum: Rugby hasn't always used a numbering system, as can be seen from this 1922 programme.

King George V asked @scotlandteam’…",1589552001385664513,
en,['1589017718770241536'],2883015027,2022-11-05T22:12:01.000Z,RT @uoedivinity: And with that #NCFestival is over. We've loved welcoming you into New College over these last three days as we explored th…,1589017718770241536,
en,['1587924950844784640'],2883015027,2022-11-02T21:49:45.000Z,"There's still time to get tickets to hear James Robertson speak about belief, truth and myth in #NewsoftheDead at the @uoedivinity Festival of Books and Belief on Saturday:

Flora Johnston in Conversation with James Robertson https://t.co/CYohem5UzV",1587924950844784640,
en,['1587748626561990657'],2883015027,2022-11-02T10:09:06.000Z,RT @RuralUnease: Very exciting to see the sackcloth that was the inspiration for @florajowriter's #WhatYouCallFree during my recent visit t…,1587748626561990657,
en,['1587489232704208896'],2883015027,2022-11-01T16:58:21.000Z,"RT @caledoniaaward: 📢 7 hours till @caledoniaaward 2023 closes to entries!

2 years ago today @EmiliaHartBooks entered @caledoniaaward 2021…",1587489232704208896,
en,['1586388450667790337'],2883015027,2022-10-29T16:04:14.000Z,International rugby's back 😍🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/OzuTDoDyeR,1586388450667790337,
en,['1585386021994496000'],2883015027,2022-10-26T21:40:57.000Z,"Terrible photo but fabulous evening with this group of writers, more than 3 years after we first met at @moniackmhor. https://t.co/SmbJOZxLIO",1585386021994496000,{'place_id': '7ae9e2f2ff7a87cd'}
