author_id,text,created_at,lang,edit_history_tweet_ids,geo,id
26079047,"I need like one month to go by where no expenses completely drain my bank account. I feel like august until now has been a complete disaster. HELP ME, UNIVERSE.",2022-11-22T19:45:33.000Z,en,['1595141455177166848'],{'place_id': '00f751614d8ce37b'},1595141455177166848
26079047,"@teevirus We left the country for thanksgiving last year and I came back to a towed car and $200+ worth of fees. FWIW, our street cleaning was yesterday and they didn’t tow anyone this time around. I was shocked.",2022-11-22T19:15:45.000Z,en,['1595133953832554496'],{'place_id': '00f751614d8ce37b'},1595133953832554496
26079047,"@alixbryan Lmao @jackgoesforth found this softball card of me in the basement this morning and I was just thinking I have a grown up version of these glasses now that I get complimented on all the time!

(Obviously I did not end up with a lucrative sports career 🤣) https://t.co/yHUFVDSABQ",2022-11-22T19:07:00.000Z,en,['1595131753512828928'],{'place_id': '00f751614d8ce37b'},1595131753512828928
26079047,Dropped my baby off for a much needed tune up at Re-Cycles. I hope she enjoys her bike spa long weekend and comes back better than ever.,2022-11-22T19:03:12.000Z,en,['1595130797845262336'],{'place_id': '00f751614d8ce37b'},1595130797845262336
26079047,"@TupeloHoney72 @hiimmallory @adhdjesse The travel kit is so key. I always, ALWAYS forget toothpaste and am then hounding the front desk around 9pm, hoping they have extra. Keeping two of everything  with one half pre-packed for trips is the only way.",2022-11-22T00:49:56.000Z,en,['1594855667998900224'],{'place_id': '00f751614d8ce37b'},1594855667998900224
26079047,My attempt to even out the downstairs and upstairs temperature by keeping the downstairs windows open so the radiators run long enough to get the heat an appropriate temp upstairs has been thwarted.,2022-11-21T22:17:45.000Z,en,['1594817366461915141'],{'place_id': '00f751614d8ce37b'},1594817366461915141
26079047,"@kujo1017 @3StripeStrife @POTUS @CDCDirector Thank you. So many people saying this it’s getting insane. Variants aren’t registering anymore. 

🗣 IT’S COVID",2022-11-20T22:43:30.000Z,en,['1594461461719691264'],{'place_id': '00f751614d8ce37b'},1594461461719691264
26079047,"@BossRVA Yes, and also code for “I hate poor people and they should suffer” because half the time when people say it’s bad for the economy, it’s really not",2022-11-20T14:27:11.000Z,en,['1594336557669965825'],{'place_id': '00f751614d8ce37b'},1594336557669965825
26079047,@curlycomedy Over mixing and looks like you need to add baking powder,2022-11-20T14:25:14.000Z,en,['1594336067901349888'],{'place_id': '00f751614d8ce37b'},1594336067901349888
26079047,@Michelada_25 https://t.co/vjlAjntUfr,2022-11-19T22:47:26.000Z,qme,['1594100063222919169'],,1594100063222919169
