lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1595142128543621120'],1464872771222224904,2022-11-22T19:48:14.000Z,@pfxx59 waao how i would like to lick you all that beautiful pussy you have is wonderful 💋 💦 💋 💦 💋 💦,1595142128543621120
en,['1595140514629963776'],1464872771222224904,2022-11-22T19:41:49.000Z,@fq2mn9 waao what a show you are you drive me crazy 💋 💦 💋 💦 💋 💦 💋,1595140514629963776
en,['1595136583635959808'],1464872771222224904,2022-11-22T19:26:12.000Z,@namning_69 waao what a show you are you drive me crazy but for me nothing pussy 💋💦💋💦💋💦💦,1595136583635959808
en,['1595136253984649218'],1464872771222224904,2022-11-22T19:24:53.000Z,@ML_dao @nxngdei2001 waao how i would like to lick you all that beautiful pussy you have is wonderful 💋 💦 💋 💦 💋 💦,1595136253984649218
en,['1595136066859565056'],1464872771222224904,2022-11-22T19:24:09.000Z,@Christie_bewi waao what a show you are you drive me crazy I want you I want your boobs 💋 💦 💋 💦 💋 💦,1595136066859565056
en,['1595135577586012160'],1464872771222224904,2022-11-22T19:22:12.000Z,@Jasminegiegie what a splendor you are you drive me crazy I want you 💋💦💋💦💦💋💋 https://t.co/3Rf4WuTuGu,1595135577586012160
en,['1595135008909688832'],1464872771222224904,2022-11-22T19:19:56.000Z,@yinyosita12 waao how sexy you are more more more more more you drive me crazy 💋 💦 💋 💦 💋 💦 💋,1595135008909688832
en,['1595134842764922881'],1464872771222224904,2022-11-22T19:19:17.000Z,@Waraphon1002 waao how i would like to lick you all that beautiful pussy you have is wonderful you drive me crazy 💋 💦 💋 💦 💋 💦 💋,1595134842764922881
en,['1595134557572907009'],1464872771222224904,2022-11-22T19:18:09.000Z,@minyada97900011 waao how sexy you are more more more more more 💋💦💋💦💋💋,1595134557572907009
en,['1595134417940656128'],1464872771222224904,2022-11-22T19:17:36.000Z,@Qanan6969 waao what a show you are you drive me crazy I want you I want your boobs 💋 💦 💋 💦 💋,1595134417940656128
en,['1595134268862500864'],1464872771222224904,2022-11-22T19:17:00.000Z,@toFszGk6B3sTzi8 waao how sexy you are more more more more more you drive me crazy 💋 💦 💋 💦 💋 💦,1595134268862500864
en,['1595133723434885121'],1464872771222224904,2022-11-22T19:14:50.000Z,@nitnoynoy2 maybe maybe you drive me crazy i'd like to be  behind you 💋💦💋💦💋💦,1595133723434885121
en,['1595133117609615361'],1464872771222224904,2022-11-22T19:12:26.000Z,@LadyPinkchannel waao what a show you are you drive me crazy 💋 💦 💋 💦 💋 💦,1595133117609615361
en,['1595132788880986112'],1464872771222224904,2022-11-22T19:11:07.000Z,@Mon44906834 waao how i would like to lick you all that beautiful pussy you have is wonderful 💋💦💋💦💋💦💋,1595132788880986112
