edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595155624027115521'],1417842142882435078,fr,"RT @equipedefrance: 71' Le doublé de Girouuuuuuuuuud !!! 🔥

Avec ce but, @_OlivierGiroud_ égale le record du nombre de buts en Bleu de Thie…",1595155624027115521,2022-11-22T20:41:51.000Z
['1595148512588881920'],1417842142882435078,en,RT @playboygasly: pierre’s at a big football match and is still thinking about alpine he’s like a little kid excited for his first day of s…,1595148512588881920,2022-11-22T20:13:36.000Z
['1595148451980845057'],1417842142882435078,en,"RT @gaslyleclerc: Watching frances football match is important but posting about testing the Alpine is more important, priorities. https://…",1595148451980845057,2022-11-22T20:13:22.000Z
['1595148238822477824'],1417842142882435078,en,RT @jenhunt_: I just love it https://t.co/FMYHawP0z5,1595148238822477824,2022-11-22T20:12:31.000Z
['1595148217217585153'],1417842142882435078,en,RT @playboygasly: pierre gasly has to be the most attractive french man ever https://t.co/EFdhpkiHtq,1595148217217585153,2022-11-22T20:12:26.000Z
['1595148006424444928'],1417842142882435078,en,RT @formulachlo: Daniel has a £6k camera and has no idea how to use it 😭 https://t.co/QKAHF9AcOJ,1595148006424444928,2022-11-22T20:11:35.000Z
['1595147969787219969'],1417842142882435078,fr,RT @leclercgasIy: olivier giroud je t’aime ptn,1595147969787219969,2022-11-22T20:11:27.000Z
['1595147869178462208'],1417842142882435078,fr,"RT @Secteur_F1: La réaction de Pierre Gasly après sa première journée d’essais avec Alpine : 

🎙️ « C'était une sensation fantastique de co…",1595147869178462208,2022-11-22T20:11:03.000Z
['1595147825188569088'],1417842142882435078,fr,"RT @AlpineF1Team_fr: Plus de 240 tours parcourus par Gasly et Doohan aujourd’hui, j’espère que vous vous habituez au numéro 10 sur cette vo…",1595147825188569088,2022-11-22T20:10:52.000Z
['1595147755835756544'],1417842142882435078,en,RT @leclercgasIy: 🕯️they’re gonna win bc pierre is here🕯️ https://t.co/7kTOgaZI7Q,1595147755835756544,2022-11-22T20:10:36.000Z
