author_id,text,created_at,lang,edit_history_tweet_ids,id,geo
1331061149417107456,"RT @steveolivas: I'm from a bygone era where the phrase, ""Gag me with a spoon"" actually made perfect sense.",2022-11-22T22:02:27.000Z,en,['1595175904560304128'],1595175904560304128,
1331061149417107456,RT @joncoopertweets: Describe Jenna Ellis in one word.,2022-11-22T22:02:20.000Z,en,['1595175874646548481'],1595175874646548481,
1331061149417107456,RT @Logically_JC: It’s sad that it required SCOTUS to gain access to tax records that we were promised over six years ago.,2022-11-22T22:02:12.000Z,en,['1595175841750609920'],1595175841750609920,
1331061149417107456,"RT @sandiegozoo: It's a puggle party 🎉 Earlier this year, the Safari Park welcomed two tiny short-beaked echidna puggles nicknamed OJ and P…",2022-11-22T22:02:05.000Z,en,['1595175811618811905'],1595175811618811905,
1331061149417107456,@caribelli 👀🔭,2022-11-22T22:01:53.000Z,und,['1595175764248301569'],1595175764248301569,{'place_id': '80eb17ffe368fc9a'}
1331061149417107456,Where I look? https://t.co/S5bNm3Ldn1,2022-11-22T22:01:27.000Z,en,['1595175654755999744'],1595175654755999744,{'place_id': '80eb17ffe368fc9a'}
1331061149417107456,"RT @RonFilipkowski: Imagine making a big show out of reinstating the guy, then he says he’s not interested, doesn’t come back on, then he s…",2022-11-22T22:01:08.000Z,en,['1595175574812512256'],1595175574812512256,
1331061149417107456,RT @joncoopertweets: BOOM: A second woman who claimed Herschel Walker (R) pressured her to have an abortion will hold a press conference an…,2022-11-22T22:00:54.000Z,en,['1595175517044428800'],1595175517044428800,
1331061149417107456,"RT @lecanardnoir: Hi @BBCWomansHour. You have just made the claim that the Brain of Britain final was ""all female"". That is not true. One c…",2022-11-22T22:00:45.000Z,en,['1595175478112841728'],1595175478112841728,
1331061149417107456,RT @Clantastic: @joncoopertweets Inconsistent https://t.co/8NsDA5Et9f,2022-11-22T22:00:20.000Z,ca,['1595175374735822848'],1595175374735822848,
1331061149417107456,"RT @TucsonStar: “I’ll let other people judge the value or not of my accomplishments,” said Dr. Fauci. https://t.co/3svQ1mw33h",2022-11-22T21:59:55.000Z,en,['1595175266984206336'],1595175266984206336,
1331061149417107456,"RT @fasc1nate: Reindeer under the northern lights.
https://t.co/zsOQ6SsJUR",2022-11-22T21:59:42.000Z,en,['1595175215650119680'],1595175215650119680,
1331061149417107456,"RT @carrieunderwood: ICYMI Sunday night, watch Carrie fly high over the @AMAs during her performance of #CrazyAngels! #AMAs https://t.co/cc…",2022-11-22T21:59:33.000Z,en,['1595175174235508736'],1595175174235508736,
1331061149417107456,"RT @caribelli: Two turkeys, cause one Turkey is just not enough turkey. https://t.co/WlGy1VEdKC",2022-11-22T21:59:13.000Z,en,['1595175090802417664'],1595175090802417664,
1331061149417107456,"RT @Urusai_naaa: 1. Trans instagram vs reality.

A thread 

https://t.co/eFjDmDAwbN",2022-11-22T21:59:06.000Z,en,['1595175064525492224'],1595175064525492224,
1331061149417107456,RT @TheAngryEpi: These are thoughts that rob me of my sleep some nights. Are we now actually exiting a golden age of protection from infect…,2022-11-22T21:58:38.000Z,en,['1595174943917953024'],1595174943917953024,
1331061149417107456,RT @godblesstoby: Looking forward to tomorrow’s Trans Day of Violently Screaming at Lesbians and Telling Them to Suck Our Big Fat Girl Cock…,2022-11-22T21:58:00.000Z,en,['1595174786379882496'],1595174786379882496,
1331061149417107456,"RT @NAChristakis: “Once it becomes clear that attention and praise can be garnered from organizing an attack on someone’s reputation, plent…",2022-11-22T21:57:32.000Z,en,['1595174670239571969'],1595174670239571969,
