text,lang,id,author_id,edit_history_tweet_ids,created_at
"#NowPlaying Nightmare by @halsey #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/JkIovNv8c4 https://t.co/OKU3bvmD39",en,1595196307433562113,1710909410,['1595196307433562113'],2022-11-22T23:23:31.000Z
"#NowPlaying Feeling You by @therealsona #listen at https://t.co/VpnQNUqWo9 &amp; https://t.co/O2PeOx00pg @TuneIn
 Buy song https://t.co/v0lVRUlla7 https://t.co/YfhSSdAO7I",en,1595195797812846592,1710909410,['1595195797812846592'],2022-11-22T23:21:30.000Z
"#NowPlaying Gossip by @NadineCoyleNow #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/zyCjf9AVd0 https://t.co/6QrhBwEUYJ",en,1595194792874594306,1710909410,['1595194792874594306'],2022-11-22T23:17:30.000Z
"#NowPlaying Let's Go Deeper by Ross Couch #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/nRaNiJ1IqV https://t.co/930ZSLYG3R",en,1595193782659579905,1710909410,['1595193782659579905'],2022-11-22T23:13:29.000Z
"#NowPlaying U Sure Do (Strike 7 Mix) by Strike #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/bxsyCPIbBz https://t.co/0stNqKtLYv",en,1595192941022248963,1710909410,['1595192941022248963'],2022-11-22T23:10:09.000Z
"#NowPlaying 100% Pure Love by @yearsandyears #listen at https://t.co/VpnQNUqWo9 &amp; https://t.co/O2PeOx00pg @TuneIn
 Buy song https://t.co/VqtpnZSfLr https://t.co/i36SzwVJxe",en,1595192275440611328,1710909410,['1595192275440611328'],2022-11-22T23:07:30.000Z
"#NowPlaying 2 Be Loved (Am I Ready) (PNAU Remix) by @lizzo #listen at https://t.co/VpnQNUqWo9 &amp; https://t.co/O2PeOx00pg @TuneIn
 Buy song https://t.co/I27tvL7PUK https://t.co/isAmNVK2qZ",en,1595191425901031425,1710909410,['1595191425901031425'],2022-11-22T23:04:07.000Z
"#NowPlaying Living Without You by Sigala, David Guetta and Sam Ryder #listen at https://t.co/VpnQNUJ5Ch &amp; https://t.co/O2PeOxi9Do @TuneIn
 Buy song https://t.co/VERCiZSnCl https://t.co/tGod6kI5P4",en,1595190765516648448,1710909410,['1595190765516648448'],2022-11-22T23:01:30.000Z
"#NowPlaying Dinner For Two by @jonasuofficial #listen at https://t.co/VpnQNUJ5Ch &amp; https://t.co/O2PeOxi9Do @TuneIn
 Buy song https://t.co/ukmaQcMjQj https://t.co/BlZK8tDtNe",en,1595189654994976771,1710909410,['1595189654994976771'],2022-11-22T22:57:05.000Z
"#NowPlaying Falling by Chris Malinchak and KOLIDESCOPES #listen at https://t.co/VpnQNUqWo9 &amp; https://t.co/O2PeOx00pg @TuneIn
 Buy song https://t.co/ZX61RXMkww https://t.co/BnuDFbtpXm",en,1595188748592984064,1710909410,['1595188748592984064'],2022-11-22T22:53:29.000Z
