text,created_at,lang,id,edit_history_tweet_ids,author_id
RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,2022-11-22T21:56:29.000Z,en,1595174403670740996,['1595174403670740996'],923185206680461312
"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",2022-11-22T20:30:28.000Z,en,1595152758339936258,['1595152758339936258'],923185206680461312
"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",2022-11-22T19:14:05.000Z,en,1595133532933963780,['1595133532933963780'],923185206680461312
"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",2022-11-22T16:54:47.000Z,tr,1595098477628792832,['1595098477628792832'],923185206680461312
"RT @UtilityNet_: The Rules for the First Test Mining of UtilityNet https://t.co/4hJuOKd1WG 

#utility #utilitynet #BigData #Analytics #Data…",2022-11-22T15:05:33.000Z,en,1595070987392978945,['1595070987392978945'],923185206680461312
RT @mikeverdish: We have been working on network security for a long time in the crypto community. This new blockchain will change the worl…,2022-11-22T14:01:14.000Z,en,1595054805315211267,['1595054805315211267'],923185206680461312
"RT @nj_ayuk: The situation for rural Africans is even more dismal in other parts of the continent. In the #DRC , for example, only about 19…",2022-11-22T13:09:44.000Z,en,1595041844806787072,['1595041844806787072'],923185206680461312
"RT @NakamotoGames: #NAKAFam, the results are in! 🎉

The winners of the $NAKA #FIFAWorldCup campaign have been determined ⚽️

Each lucky vic…",2022-11-22T12:17:23.000Z,en,1595028667805089792,['1595028667805089792'],923185206680461312
RT @kaiyun830: #2022世界杯预测冠军 #开云体育 #世界杯 #足球 #亚博 #游戏 Happiness is good health and a bad memory。 https://t.co/RQ2OYU1OUj,2022-11-22T11:31:39.000Z,en,1595017161197510656,['1595017161197510656'],923185206680461312
"RT @0orkd: رامي الاسطورة 

مشاهدة مباراة السعوديه والارجنتين بث مباشر 

البث المباشر هنا : https://t.co/m5tWkVZQk9

البث المباشر هنا : http…",2022-11-22T10:42:01.000Z,ar,1595004670266613760,['1595004670266613760'],923185206680461312
RT @NOSAFunder: The NOSA Funder European Community is discussing the launch of PancakeSwap https://t.co/EvfrtIfbSM via @YouTube,2022-11-22T09:18:40.000Z,en,1594983691817988096,['1594983691817988096'],923185206680461312
RT @_paiverse: Paiverse collaborates with trustworthy and reputable shipping partners. All assets are delivered to your destination fully i…,2022-11-22T06:55:10.000Z,en,1594947579875246084,['1594947579875246084'],923185206680461312
RT @yule886: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  Don‘t cry because it is over， smile because it happened。 https://t.co/XmlMCbyJOj,2022-11-22T05:41:37.000Z,en,1594929069866586112,['1594929069866586112'],923185206680461312
"RT @thekubieth: 🎁 AMAZING WL GIVEAWAY 🎁

🏆 20x Winner WL

Own your football museum ⚽️ 

To Enter🎫

1️⃣ RT + Like
2️⃣ Follow me &amp; @GolGoals…",2022-11-22T04:47:46.000Z,en,1594915520616157185,['1594915520616157185'],923185206680461312
RT @enid_becher: All things in their being are good for something.         #裸聊 #意淫 #红绿灯 #寸止 #磕炮 https://t.co/xuwGlHw1WZ,2022-11-22T03:47:35.000Z,en,1594900371738075136,['1594900371738075136'],923185206680461312
"RT @PortiaAntonia: My timeline doesn’t work correctly anymore. I’ve been noticing random issues with Twitter since post Musk. 

I only see…",2022-11-22T02:08:07.000Z,en,1594875343718187009,['1594875343718187009'],923185206680461312
RT @Brazy617: Roddy Ricch &amp; Lil Durk | Twin @JerryPHD https://t.co/LgYzLvkZDT,2022-11-22T01:09:33.000Z,en,1594860603830685698,['1594860603830685698'],923185206680461312
"RT @ATMrank: And we are ready to power the social economy with our consensus algorithm 💪

#Connect2Earn 
#blockchain 
#DeFi 
#SocialFi http…",2022-11-21T22:25:28.000Z,en,1594819311260114945,['1594819311260114945'],923185206680461312
"RT @MYSTFinance: Today, we have begun our journey to change the DeFi industry as we know it 💪

""MYST IS A BUSINESS, NOT A TOKEN.""
👉🏻👉🏻 Find…",2022-11-21T20:15:31.000Z,en,1594786607730917376,['1594786607730917376'],923185206680461312
RT @enid_becher: Love you again #文爱 #视频裸聊     #裸聊 #母狗 #反差 https://t.co/XuLAVXUPRM,2022-11-21T17:27:25.000Z,en,1594744304509255681,['1594744304509255681'],923185206680461312
RT @TheFelixKay: Four-second clip goes viral that proves exactly why YouTube boxing needs to be stopped https://t.co/FNkUnrju9h,2022-11-21T16:14:10.000Z,en,1594725869808926721,['1594725869808926721'],923185206680461312
"RT @ChrisHassanAhm2: #西安

💋🍓 Don't ask me how, during the day standing up, night lying in bed together? 🎈 🎈 🎈 ❤  🍓 🍓 🍓 🍓 https://t.co/Evq1I…",2022-11-21T13:45:46.000Z,en,1594688523134803969,['1594688523134803969'],923185206680461312
