created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-22T20:17:49.000Z,23020850,['1595149574838325248'],en,"Rule of thumb: if a bank is ever pushing hard for you to use a service, it’s probably not in your best interest. No, I don’t want to open a debit card for my 2 year old kid.",1595149574838325248
2022-11-22T20:06:31.000Z,23020850,['1595146728164163585'],en,Best of luck this #thanksgiving #crypto friends as you field 1000 #FTX questions.,1595146728164163585
2022-11-22T19:30:04.000Z,23020850,['1595137555715874818'],en,@NEWSMAX they are teflon! Nothing ever sticks!,1595137555715874818
2022-11-22T19:28:14.000Z,23020850,['1595137097014575104'],en,@unusual_whales There is an algorithm software where you can invest the exact opposite of what Jim Cramer says... this algorithm is very profitable for investors!,1595137097014575104
2022-11-22T19:26:30.000Z,23020850,['1595136658915356673'],en,@GRDecter Don't forget about the US tax payer dollars sent to Ukraine that went to FTX too!,1595136658915356673
2022-11-22T19:23:22.000Z,23020850,['1595135872596594689'],en,"Since FTX is done, will Ukraine put this money into $Tether next? That should be the next ponzi scheme to fall. https://t.co/WoN43TvS01",1595135872596594689
2022-11-22T19:17:52.000Z,23020850,['1595134485557018624'],en,Had a good run! $Meta Stocks should jump back with this news. I bet @Twitter was part of that conversation. https://t.co/zxi8I2JauQ,1595134485557018624
2022-11-22T18:03:38.000Z,23020850,['1595115803925704704'],en,"@andersnew2 @Twitter @Tesla @elonmusk was frustrated about the inflated value of @Tesla stock. Looks more like market correction than driving into the ground. To see a stock driven into the ground by its owner, look at Meta.",1595115803925704704
2022-11-22T17:06:46.000Z,23020850,['1595101495036448769'],en,"This is a great practice for all software owners, regardless how big or small. https://t.co/2ROWeXwpsu",1595101495036448769
2022-11-21T21:38:33.000Z,23020850,['1594807504227147779'],en,The richest man in the world is running @Twitter customer service. That should put your ego in check business owners.,1594807504227147779
2022-11-21T05:11:22.000Z,23020850,['1594559072329760768'],en,"If you don’t understand the $usdt bubble, you shouldn’t invest in crypto.",1594559072329760768
