created_at,id,author_id,lang,text,edit_history_tweet_ids
2022-11-22T19:41:44.000Z,1595140492014280704,1227926837470298112,en,RT @snx7x: this is killing me😂😂😂😂😂😂😂😂😂 https://t.co/EhafeftCsU,['1595140492014280704']
2022-11-22T19:38:29.000Z,1595139674686693376,1227926837470298112,en,RT @Akshay__1509: Signing Ronaldo again was a success 👍🏿,['1595139674686693376']
2022-11-22T19:36:03.000Z,1595139061018423296,1227926837470298112,en,RT @dondatimes: And I feel freeeeeeeeeee 🤣🤣 https://t.co/hmAvHqzx5x,['1595139061018423296']
2022-11-22T19:35:43.000Z,1595138980416475136,1227926837470298112,en,RT @InternetH0F: that was out of pocket.. https://t.co/sp9Hd6dkOr,['1595138980416475136']
2022-11-22T19:35:12.000Z,1595138850065895424,1227926837470298112,en,RT @TanishaMilton: Giroud is just too good man.,['1595138850065895424']
2022-11-22T19:34:22.000Z,1595138640773906432,1227926837470298112,en,"RT @dondatimes: ""I went from being a multi billionaire to not being able to use my ApplePay ""
""it can happen to all Americans for saying th…",['1595138640773906432']
2022-11-22T19:33:08.000Z,1595138330009960449,1227926837470298112,en,RT @sunrise_ss: they make it look so easy,['1595138330009960449']
2022-11-22T19:27:25.000Z,1595136889702748160,1227926837470298112,fr,RT @FIFAWorldCup: FRANCE ARE LEVEL!!!,['1595136889702748160']
2022-11-22T19:17:33.000Z,1595134407282946048,1227926837470298112,en,RT @TanishaMilton: Australia scored? A World Cup of surprises fr.😳,['1595134407282946048']
2022-11-22T19:15:09.000Z,1595133804615958529,1227926837470298112,en,RT @Prashiv8: What is this world cup 🤣,['1595133804615958529']
2022-11-22T19:12:06.000Z,1595133037121261568,1227926837470298112,en,RT @SimplyNate_: Socceroos are soccering,['1595133037121261568']
2022-11-22T19:11:29.000Z,1595132880954757121,1227926837470298112,en,RT @lvnarboymusic: just me n my spotify playlist against the world,['1595132880954757121']
2022-11-22T19:11:04.000Z,1595132773916114944,1227926837470298112,en,RT @achmatkamaar: @tehillahmaharaj slay 💚 https://t.co/ZpUZrm1wLN,['1595132773916114944']
2022-11-22T19:11:02.000Z,1595132767888879616,1227926837470298112,en,@achmatkamaar love it!,['1595132767888879616']
2022-11-22T19:09:46.000Z,1595132446885830656,1227926837470298112,en,Holy shit,['1595132446885830656']
2022-11-22T19:03:27.000Z,1595130858490712065,1227926837470298112,en,Robin Williams https://t.co/n1bkd20pWO,['1595130858490712065']
2022-11-22T19:00:50.000Z,1595130201239072768,1227926837470298112,en,RT @lunakimm: id watch the world cup with you,['1595130201239072768']
2022-11-22T19:00:25.000Z,1595130094368215040,1227926837470298112,en,RT @lovelyy_am: the power of lashes is crazyyy,['1595130094368215040']
2022-11-22T19:00:19.000Z,1595130068514533377,1227926837470298112,en,RT @zaheerah_raja: my favourite thing about strawberries is that they kinda turn into little hearts when you cut them,['1595130068514533377']
2022-11-22T19:00:12.000Z,1595130040366559232,1227926837470298112,en,RT @swifterous: “let’s listen to taylor swift” A LOVE LANGUAGE,['1595130040366559232']
2022-11-22T18:53:05.000Z,1595128252024369153,1227926837470298112,en,"RT @zeenat_saiyed: The Taj Mahal, built for love. 
Surah Yaseen is engraved on the walls. 

It's truly a wonder, absolutely breathtaking wh…",['1595128252024369153']
2022-11-22T18:52:35.000Z,1595128123799916545,1227926837470298112,en,RT @qglezzz: i have a heart full of love and a head full of dumb,['1595128123799916545']
2022-11-22T18:52:15.000Z,1595128038206803969,1227926837470298112,en,"RT @aasif_essack: My kitten at 12am: I must run, I must run now",['1595128038206803969']
2022-11-22T18:52:09.000Z,1595128016472248320,1227926837470298112,en,"RT @_tiaragov: anyways, Ronaldo deserves better",['1595128016472248320']
2022-11-22T18:43:03.000Z,1595125724650045440,1227926837470298112,en,"RT @luvinflix: Lil Wayne: you had a lot of crooks try to steal your heart...

9 year old me: https://t.co/EUSpsi5tDW",['1595125724650045440']
2022-11-22T18:43:00.000Z,1595125714126508033,1227926837470298112,en,RT @outdoorsymood: seeing christmas lights makes my heart so happy,['1595125714126508033']
2022-11-22T18:42:47.000Z,1595125656022503424,1227926837470298112,zxx,RT @1concepcional: https://t.co/APxO3bGZ16,['1595125656022503424']
2022-11-22T18:41:37.000Z,1595125364480954368,1227926837470298112,en,@achmatkamaar tehillah - mint green x,['1595125364480954368']
2022-11-22T18:12:23.000Z,1595118008812597248,1227926837470298112,en,@kovsss13 I agree,['1595118008812597248']
2022-11-22T18:12:05.000Z,1595117931058573314,1227926837470298112,en,RT @itsnotjazminn: if she’s the most annoying person she’s the one,['1595117931058573314']
2022-11-22T18:07:53.000Z,1595116874131714048,1227926837470298112,en,RT @g_sofm: Itching to go to Disneyland,['1595116874131714048']
