text,created_at,author_id,edit_history_tweet_ids,id,lang
"RT @MinagrisEU: New study finds that although #compost is major contributor of #plastic to #agricultural #soils, roadside field edges can h…",2022-11-22T19:16:40.000Z,2282270222,['1595134185370288128'],1595134185370288128,en
RT @UA_BioEd: We need to bring @DrMrsKellyHogan and @vijisathy to @UofAlabama https://t.co/q7aVQBKGFj,2022-11-22T18:52:27.000Z,2282270222,['1595128088928870400'],1595128088928870400,en
RT @ethanblinck: this guy owns a brewery and the next time I am in colorado springs I am going to buy several hundred dollars worth of his…,2022-11-22T14:27:41.000Z,2282270222,['1595061461813960706'],1595061461813960706,en
RT @vadosezonej: New paper in @vadosezonej @wileyearthspace - Exploring the feasibility of using the soil temperature to identify preferent…,2022-11-22T13:42:00.000Z,2282270222,['1595049965340053504'],1595049965340053504,en
"RT @WaterlooSci: Dr. Nandita Basu, jointly appointed to the Faculties of Engineering and #UWaterlooSci, was named the Canada Research Chair…",2022-11-21T23:50:52.000Z,2282270222,['1594840801854488578'],1594840801854488578,en
@adampricehydro @adampricehydro Clicked on the link and realized its $350.  Maybe a fun craft project for the break though....,2022-11-21T18:18:34.000Z,2282270222,['1594757176031166466'],1594757176031166466,en
RT @DymondLab: Don't forget! AGU Ecohydro Tiny Grant applications due tomorrow!  https://t.co/g4RQeMjLkE https://t.co/GrEvCfrTUO,2022-11-21T17:22:05.000Z,2282270222,['1594742961912299531'],1594742961912299531,en
@adampricehydro OMG. THIS. IS. EVERYTHING.,2022-11-21T16:26:40.000Z,2282270222,['1594729015973187584'],1594729015973187584,en
"RT @riversfromabove: Starting afresh today, with only photos focusing exclusively on rivers from an aerial perspective. Hope you enjoy. Fir…",2022-11-21T01:06:01.000Z,2282270222,['1594497325694476288'],1594497325694476288,en
@jacob_dybiec @thats_me_del_p @kacizarek @zwfoley https://t.co/T4w344mfow,2022-11-21T00:38:51.000Z,2282270222,['1594490489012723713'],1594490489012723713,qme
@thats_me_del_p @kacizarek https://t.co/qPD8EvmEuN,2022-11-21T00:18:56.000Z,2282270222,['1594485477473603584'],1594485477473603584,qme
"@paigeinabook94 @waterbarnes Ohhh...don't worry... I've got plenty of 'Bama gear too!

As for cold,my body adjusted back to southern temps after a few summers of field work down here.  I break out my down jacket when we drop below 50*!!!",2022-11-20T23:45:57.000Z,2282270222,['1594477178250530816'],1594477178250530816,en
"@RiverChem What you can't see in the photo is duplicates are stratified by thickness.  You know...thin brown flannel for cool days (60s), medium brown for colder days (40s), and then thick brown flannel for the rare occasion it drops below freezing!",2022-11-20T23:43:20.000Z,2282270222,['1594476516372402177'],1594476516372402177,en
@paigeinabook94 Agreed 💯,2022-11-20T23:40:15.000Z,2282270222,['1594475742603141122'],1594475742603141122,en
@waterbarnes This is a solid point. I've never noticed the lack of green..must be an emergent property of a chaotic system!,2022-11-20T23:28:30.000Z,2282270222,['1594472783311880193'],1594472783311880193,en
"@tanyaofmars What can you say, kids these days.... https://t.co/SyaUn7qWo6",2022-11-20T23:26:51.000Z,2282270222,['1594472370227400705'],1594472370227400705,en
@thats_me_del_p @kacizarek @zwfoley I should use this as the basis of a color palette for plots....,2022-11-20T23:25:36.000Z,2282270222,['1594472056439046144'],1594472056439046144,en
@kacizarek Maybe I do have a rotation and y'all just haven't caught on yet... https://t.co/Gkkfv6pCeT,2022-11-20T23:03:49.000Z,2282270222,['1594466572508483584'],1594466572508483584,en
@thats_me_del_p @kacizarek @zwfoley,2022-11-20T22:51:55.000Z,2282270222,['1594463578610098179'],1594463578610098179,qam
