edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595191524538687488'],1327243603018735617,en,RT @Lebedos86: “WWE SmackDown!” 🐱 https://t.co/j6hRERFsva,1595191524538687488,2022-11-22T23:04:31.000Z
['1595189667103752194'],1327243603018735617,en,RT @buitengebieden: Worked out.. 🥱 https://t.co/fEFJJkEJbt,1595189667103752194,2022-11-22T22:57:08.000Z
['1595188295134478336'],1327243603018735617,en,"Billy Connolly - Wildebeest - Two Night Stand 1997 https://t.co/LV7AXYui5e via @YouTube 

I know I'm just jumping on a bandwagon, but its just such a damn funny bandwagon! Treat yourself 😆😂",1595188295134478336,2022-11-22T22:51:41.000Z
['1595186959592325123'],1327243603018735617,en,RT @BikuWandering: @beingkarmin @SariyeB_18 @IsaNahilaS @minnie_pickles @elizabethk1985 @ThomasBrooks007 @lx989 @PD3s1gn @JTHEpisodes @fred…,1595186959592325123,2022-11-22T22:46:22.000Z
['1595186933168328705'],1327243603018735617,en,RT @BikuWandering: @beingkarmin @SariyeB_18 @IsaNahilaS @minnie_pickles @elizabethk1985 @ThomasBrooks007 @lx989 @PD3s1gn @JTHEpisodes @fred…,1595186933168328705,2022-11-22T22:46:16.000Z
['1595186898162565124'],1327243603018735617,en,RT @BikuWandering: @beingkarmin @quickbear @misskristinruth @MissScarlet72 @HowlinMad3 @RDill74 @_ILikeFastCars @RichardFrady1 @The_Savage1…,1595186898162565124,2022-11-22T22:46:08.000Z
['1595186873189761024'],1327243603018735617,en,RT @BikuWandering: @beingkarmin @JanGilson @McAmberdawn @ithrah69 @RoyalCityRauco1 @cocozl2 @Mikethewander1 @MarkFreeMyMind @pinktights1969…,1595186873189761024,2022-11-22T22:46:02.000Z
['1595186783171612673'],1327243603018735617,en,RT @BikuWandering: @fredforthemets @JTHEpisodes @beingkarmin @SariyeB_18 @IsaNahilaS @minnie_pickles @elizabethk1985 @ThomasBrooks007 @lx98…,1595186783171612673,2022-11-22T22:45:40.000Z
['1595183450876690433'],1327243603018735617,en,"RT @hungryghostpoet: They seek her here 🧐 @ReadMeSpeakMe…they seek her there 🤔 @FromOneLine …

The elusive @megwaf is a powerhouse of creat…",1595183450876690433,2022-11-22T22:32:26.000Z
['1595156196352462848'],1327243603018735617,en,"@lemnsissay 

Please excuse the @ but a while ago you posted about a scheme to give those in YOIs books for christmas. Could you please re-post as I'd like to donate. 
Many thanks ☮️",1595156196352462848,2022-11-22T20:44:08.000Z
['1595155317595451392'],1327243603018735617,en,"RT @RevRichardColes: My friend, @paulineblackOBE 
being honoured by the King yesterday. She gave me my first job forty years ago, playing t…",1595155317595451392,2022-11-22T20:40:38.000Z
['1595154959343177729'],1327243603018735617,en,"RT @lemnsissay: ""HMRC is aware of an automated phone call scam which will tell you HMRC is filing a lawsuit against you, and to press 1 to…",1595154959343177729,2022-11-22T20:39:13.000Z
