created_at,text,edit_history_tweet_ids,author_id,lang,id
2022-11-22T23:20:12.000Z,"RT @ghgirl_s: @BaddCompani 

Lol, thought this was funny.  @GOP is in big trouble &amp; are squealing like stuck pigs...",['1595195473945858048'],56813667,en,1595195473945858048
2022-11-22T23:17:02.000Z,RT @itsJeffTiedrich: a decorated war hero disarmed a mass shooter in Colorado Springs and saved countless lives. Republicans responded by c…,['1595194673123196928'],56813667,en,1595194673123196928
2022-11-22T23:12:17.000Z,@joshsteimle The AZ GOP ruled that NO votes could be counted until the POLLS CLOSED. All those days of votes sitting around waiting to be counted because of the GOP. Talk to them if you want to know why it took so long.,['1595193477968859137'],56813667,en,1595193477968859137
2022-11-22T23:02:37.000Z,"RT @ReadWryt: @NickAdamsinUSA Really? 

Is Hunter running for President? Will he be commander in chief of the armed forces??

I want to see…",['1595191046987993088'],56813667,en,1595191046987993088
2022-11-22T23:02:18.000Z,@NickAdamsinUSA Of course you would because you're a f****** idiot. There is nothing on hunters laptop because Hunter isn't in office. Failed presidents should be in jail. Hopefully this will put him there,['1595190967166185472'],56813667,en,1595190967166185472
2022-11-22T23:00:46.000Z,"RT @MusicTramp: Haha
The reason they chose Adam was because he didn’t imitate Freddie. 
He honors the songs in his own way, 
And to be fair…",['1595190580111638529'],56813667,en,1595190580111638529
2022-11-22T22:59:52.000Z,"@Jim_Jordan No we are furious that you're not going to do a damn thing except be obstructionists and wine and cry about why nothing is getting done, when it's you that are holding things up",['1595190353082331138'],56813667,en,1595190353082331138
2022-11-22T22:58:13.000Z,@OmarRiverosays If the shoe fits and in this case it does no apology necessary,['1595189939922407428'],56813667,en,1595189939922407428
2022-11-22T22:57:30.000Z,@FOXSports what the hell was that comment saying the Mexican team might have to swim home? Racist much.,['1595189759164710913'],56813667,en,1595189759164710913
2022-11-22T21:52:15.000Z,@Jim_Jordan Stop voting NO on every bill that would change some of this you are wining about.  Then FUCK OFF GROOMER,['1595173339873841152'],56813667,en,1595173339873841152
2022-11-22T21:50:42.000Z,"RT @BCross052422: Thanksgiving 2022:

-Spend it without my son because republicans like yourself refuse to actually fight for our children.…",['1595172948574605312'],56813667,en,1595172948574605312
2022-11-22T21:45:49.000Z,RT @LqLana: MAGA Republicans target teachers; nurses; IRS Agents; poll workers; Dem lawmakers; facts; women; children; Black folks; trans f…,['1595171718863413248'],56813667,en,1595171718863413248
2022-11-22T21:44:33.000Z,@Politics_PR @Krickette01 I am shocked I tell you shocked. It is freaking IDAHO what would anyone expect,['1595171400595443713'],56813667,en,1595171400595443713
2022-11-22T21:36:52.000Z,MAGAets are a curse on this country https://t.co/dXqmM5b55W,['1595169467230998528'],56813667,en,1595169467230998528
2022-11-22T20:08:44.000Z,RT @jim_hilt: @StillAliveWell @orangellena @Rox_annah @Yur_BEST_friend @CheckBalance7 @rebecca_boubel @MsVernestyne @Suzulee33 @criteria681…,['1595147289953435648'],56813667,en,1595147289953435648
2022-11-22T20:08:05.000Z,@JoJoFromJerz Because old white men are becoming a minority and they know how Americans treat minorities.,['1595147123590565889'],56813667,en,1595147123590565889
2022-11-22T19:58:53.000Z,@ctrac404 @itsJeffTiedrich @WmDeanFrench https://t.co/5wycfPt6fb,['1595144809270108160'],56813667,qme,1595144809270108160
2022-11-22T19:58:12.000Z,RT @itsJeffTiedrich: Democrats are outraged that LGBTQ+ people are targeted for violence. Republicans are outraged that LGBTQ+ people exist…,['1595144637555306496'],56813667,en,1595144637555306496
2022-11-22T19:56:38.000Z,@DocAtCDI Beautiful. I have not been up there in years. Should make a trip this summer.,['1595144242955177985'],56813667,en,1595144242955177985
2022-11-22T19:54:51.000Z,RT @PaulRieckhoff: So many people are so surprised that a combat vet was at a LGBTQ club. It shows how little people know about vets and ab…,['1595143792923136003'],56813667,en,1595143792923136003
2022-11-22T19:43:41.000Z,"RT @JoJoFromJerz: Hell yes!!
The Supreme Court has just permitted the House to obtain trump's tax returns. 👏🏼👏🏼👏🏼",['1595140983314092032'],56813667,en,1595140983314092032
2022-11-22T19:34:07.000Z,RT @DissentingCat: https://t.co/WYpYZI0FHE,['1595138574294601728'],56813667,zxx,1595138574294601728
2022-11-22T19:30:40.000Z,"@RonBrownstein @MacLeod_Rocks Neither of you want to see the writing on the wall. WOMEN, who's rights have been taken VOTED. Young people VOTED because they see what the GOP is capable of and they do not want to live in that world.",['1595137708615413761'],56813667,en,1595137708615413761
2022-11-22T19:27:33.000Z,RT @SteveStaeger: What do you say we all go to Atrevida Beer Company in Colorado Springs - owned by Richard Fierro - who took down the shoo…,['1595136925282996224'],56813667,en,1595136925282996224
2022-11-22T19:25:45.000Z,RT @SpeechFreedoms: @xBuzzRush @npenzenstadler Is anyone surprised that the shooter in Colorado Springs is a member of the Mormon “church?”…,['1595136468850470912'],56813667,en,1595136468850470912
2022-11-22T19:14:06.000Z,@ClarkRenney @jerseygirlmay23 I was giving a speech in my high school speech class. We walked the six miles home so that we did not have to been seen crying on a city bus. There were about 8 of us. It was a long sad walk.,['1595133538256707584'],56813667,en,1595133538256707584
2022-11-22T19:09:48.000Z,@stclairashley https://t.co/39yUimsEwu,['1595132456805740544'],56813667,qme,1595132456805740544
2022-11-22T19:08:15.000Z,RT @damobius: @slotsqueen31 @npenzenstadler I remember the Prop 8 battle here in CA several years ago. LDS's dirty fingerprints were all OV…,['1595132068006342656'],56813667,en,1595132068006342656
2022-11-22T19:06:17.000Z,RT @GovofCO: We owe Colorado heroes Richard Fierro and Thomas James an outstanding debt of thanks for confronting and fighting the gunman a…,['1595131573711818754'],56813667,en,1595131573711818754
2022-11-22T19:06:06.000Z,"RT @GovofCO: I ordered flags lowered to half-staff on all public buildings statewide from sunrise this morning until sunset on November 26,…",['1595131524936269824'],56813667,en,1595131524936269824
2022-11-22T18:52:38.000Z,RT @Strandjunker: Serious question: Why are white people so afraid of becoming a minority? Does America treat minorities badly or something?,['1595128134722285570'],56813667,en,1595128134722285570
2022-11-22T18:51:55.000Z,"RT @Logically_JC: Why do Republicans hate Dr. Fauci, when the worst thing he ever did was try to keep them alive?",['1595127955113771009'],56813667,en,1595127955113771009
2022-11-22T18:51:02.000Z,@sperk44 @joncoopertweets https://t.co/kwoHxYOEDJ,['1595127733826519040'],56813667,qme,1595127733826519040
2022-11-22T18:45:03.000Z,@taradublinrocks @JoJoFromJerz Private religious schools or home schooled. First grade here teaches ABC's and how to get along with other children.,['1595126229329653760'],56813667,en,1595126229329653760
2022-11-22T18:43:13.000Z,"RT @IuliiaMendel: The NATO Parliamentary Assembly has recognized the Russian Federation and its regime as a terrorist state.
Truth mush pre…",['1595125767943622656'],56813667,en,1595125767943622656
2022-11-22T18:41:36.000Z,@d_sideways @taradublinrocks @LindseyGrahamSC From a BOT ACCOUNT who does not understand what TRAITOR means.,['1595125360873832448'],56813667,en,1595125360873832448
2022-11-22T18:39:50.000Z,@MuellerSheWrote @Nsignificannot And if the morons who are calling for him to be defunded had an ounce of knowledge they would know this. How do these ignorant people get elected?,['1595124913446457344'],56813667,en,1595124913446457344
2022-11-22T18:36:57.000Z,@razzli_ @princesstanline @RepMTG I am all for making her life hell while she is still alive. She is a moron with a big mouth who never seems shut up.,['1595124189434105863'],56813667,en,1595124189434105863
2022-11-22T18:34:55.000Z,@SundaeDivine @ChiefOpti @WhiteHouse @POTUS @AshleyRParker https://t.co/1IUCOB5MyT,['1595123677196333057'],56813667,qme,1595123677196333057
2022-11-22T18:31:35.000Z,"RT @dumbassgenius: House Republicans also cannot DEFUN the Special Counsel.
Jack Smith is already obviously no fun at all.
(You might think…",['1595122838503321600'],56813667,en,1595122838503321600
