created_at,text,author_id,lang,edit_history_tweet_ids,id
2022-11-22T21:02:21.000Z,@Toibin1 What about a reciprocal agreement that would demand the same action against a Garda that assaults a member of the public. Scan through the last year or so &amp; you will find plenty. What if so called assault is actually defence will courts see it that way? Isn't that clear &amp; simple!,425165327,en,['1595160781024530434'],1595160781024530434
2022-11-22T20:56:21.000Z,@greg_price11 @333too3 How's that worked out so far? Not looking so good at the moment but keep selling the lie you will always find the odd idiot that will buy it!,425165327,en,['1595159269238005761'],1595159269238005761
2022-11-22T20:53:28.000Z,@LaurenceTheBird Did Viktoria participate in anything Irish?,425165327,en,['1595158543472431105'],1595158543472431105
2022-11-22T20:52:20.000Z,@JohnLalor18 Bob being a common Irish name? And one that an Irishman would make up? The Irish had to go far &amp; wide and work! Chew on that Chu! Surely after being elected Mayor you are not playing the race card? Pretty Pathetic really.,425165327,en,['1595158259937472512'],1595158259937472512
2022-11-22T20:46:37.000Z,@Independent_ie As opposed to the politics the independent are pushing out! I wasn't aware that Trump was running for a place in Ireland. To be honest would he be worse than Michael or Leo?,425165327,en,['1595156822314614784'],1595156822314614784
2022-11-22T20:11:21.000Z,@JohnLalor18 No you don't now and you didn't during lock down you were to busy flying your virtue flags to actually even notice those who needed defending. You are still riding the woke publicity machine.,425165327,en,['1595147945204412417'],1595147945204412417
2022-11-22T20:05:09.000Z,@EmbrayHotay Absolutely nothing in the same way that fuel prices have nothing to do with it either despite the govts ridiculous propaganda ads.,425165327,en,['1595146384336113664'],1595146384336113664
2022-11-22T20:02:43.000Z,RT @w1mav: No might about it https://t.co/zWN5CHVRX5,425165327,en,['1595145772630421504'],1595145772630421504
2022-11-22T20:01:07.000Z,@keithberrigan @worldsgonemad98 Please no more dates as all the previous ones have come and gone with barely a whimper. It's all mañana!,425165327,en,['1595145372007288832'],1595145372007288832
2022-11-22T19:57:22.000Z,@worldsgonemad98 Not global warming then! When will people finally lose their cool? I wish their was more protest as the quiet makes me uneasy like a corked bottle waiting to explode!,425165327,en,['1595144426657312769'],1595144426657312769
2022-11-22T19:52:30.000Z,@Nic21121970 On the nail! 100 percent.,425165327,en,['1595143201714999296'],1595143201714999296
