lang,id,author_id,edit_history_tweet_ids,created_at,text
en,1595174404178477057,1034080588574031873,['1595174404178477057'],2022-11-22T21:56:29.000Z,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…
en,1595152759451693056,1034080588574031873,['1595152759451693056'],2022-11-22T20:30:29.000Z,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…"
en,1595133532036165632,1034080588574031873,['1595133532036165632'],2022-11-22T19:14:04.000Z,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…"
tr,1595098481114456111,1034080588574031873,['1595098481114456111'],2022-11-22T16:54:48.000Z,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE"
en,1595070987959439367,1034080588574031873,['1595070987959439367'],2022-11-22T15:05:33.000Z,"RT @LandofConquest: ✅ Get your Land NFT
✅ Work on it, more daily active points
✅ Make your land Super Rare
✅ Earn XTAL"
en,1595054822147108867,1034080588574031873,['1595054822147108867'],2022-11-22T14:01:18.000Z,RT @TheEMWNews: African-American Muslim man serving as Chief Judge @caryleepeterson  of an Indian tribal court files a Mandamus suit agains…
en,1595041902893535232,1034080588574031873,['1595041902893535232'],2022-11-22T13:09:58.000Z,RT @daPang70456438: Courage is the ladder on which all the other virtues mount。#塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 https://t.co/G1gBMt3REK
en,1595028723903913984,1034080588574031873,['1595028723903913984'],2022-11-22T12:17:36.000Z,RT @daPang70456438: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 Enjoy when you can， and endure when you must。 https://t.co/CrCkz1aB6M
en,1595017199948689408,1034080588574031873,['1595017199948689408'],2022-11-22T11:31:49.000Z,RT @kaiyun830: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票  The best and most beautiful things in the world…
en,1595004704240517121,1034080588574031873,['1595004704240517121'],2022-11-22T10:42:09.000Z,RT @daPang70456438: #阿根廷梅西 #开云 #世界杯冠军预测 #足球 #亚博 #游戏     #真人百家乐  #棋牌 #彩票 #电竞    And forever has no end。 https://t.co/BvLW2uAStj
en,1594983793886375936,1034080588574031873,['1594983793886375936'],2022-11-22T09:19:04.000Z,"RT @UtilityNet_: SOPHON #Intelligent #Computing Server product characteristic
#utility #utilitynet #BigData #Analytics #DataScience #AI #Ma…"
en,1594948394984034304,1034080588574031873,['1594948394984034304'],2022-11-22T06:58:24.000Z,"RT @THENFTSTAR: You have been selected! Congrats Neymar Jr. NFT cheerleader winners!
@2OOvbBatWkEXCuW @LorieB233 @x0chihiro https://t.co/ta…"
en,1594929693501042690,1034080588574031873,['1594929693501042690'],2022-11-22T05:44:05.000Z,RT @yule886: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  Don‘t cry because it is over， smile because it happened。 https://t.co/HPhIEheS0R
en,1594916867084521472,1034080588574031873,['1594916867084521472'],2022-11-22T04:53:07.000Z,"RT @nadeeavolianova: @kanyewest Those ""Hollywood Jews"" you were ranting about are not the Jews who fought and defeated the Nazis , like my…"
en,1594899608735551489,1034080588574031873,['1594899608735551489'],2022-11-22T03:44:33.000Z,RT @kaiyun830: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  When you feel like hope is gone， look inside you and search your soul。 you will find a hero…
en,1594872310992879616,1034080588574031873,['1594872310992879616'],2022-11-22T01:56:04.000Z,"RT @thekubieth: 🎁 AMAZING WL GIVEAWAY 🎁

🏆 20x Winner WL

Own your football museum ⚽️ 

To Enter🎫

1️⃣ RT + Like
2️⃣ Follow me &amp; @GolGoals…"
en,1594860095346774017,1034080588574031873,['1594860095346774017'],2022-11-22T01:07:32.000Z,RT @xtinaxminaj: He’s bussing it open for them y’all https://t.co/37UJa4V3Iz
en,1594816437495156736,1034080588574031873,['1594816437495156736'],2022-11-21T22:14:03.000Z,"RT @TheshopNFT: Secure your #whitelist  spots

#MintingSoon #TheShopNFT #NFT #OpenSeaNFT #cryptocurrecy https://t.co/zxv0l0k2O6"
en,1594783323033047040,1034080588574031873,['1594783323033047040'],2022-11-21T20:02:28.000Z,"RT @OkcashCrypto: Time to conquer, time to be excited! ⚽️🎉
#WorldCup2022 is here! 👀
Enjoy the games, support your favorite teams.
Put your…"
en,1594742267251671055,1034080588574031873,['1594742267251671055'],2022-11-21T17:19:20.000Z,"RT @NeoFilmsNFT: NeoFilmsNFT🤝@polygonstudios

We’re PUMPED and Excited to announce that NEO Masterpiece Films is teaming up with POLYGON St…"
en,1594724376003235842,1034080588574031873,['1594724376003235842'],2022-11-21T16:08:14.000Z,"RT @SoLinusx: 📍Project @OracleRacers #Giveaway 

Prize🎁:
🏅10x #FreeMint NFTs of OracleRacers
🏆 1x $5 $USDT 💵

🎲Enter:
☑️Follow @OracleRacer…"
en,1594686978225688578,1034080588574031873,['1594686978225688578'],2022-11-21T13:39:38.000Z,"RT @IraBrowne8: N6 then in case he woke her, and he sat very quietly, looking #肛交 #连麦 #磕炮 #文爱 #女喘 #制服 #丝袜 #裸聊 https://t.co/3Ydmw7j1tM"
