author_id,edit_history_tweet_ids,lang,created_at,text,id
1275382860,['1595135290611757057'],en,2022-11-22T19:21:04.000Z,@piersmorgan Man City will win the EPL,1595135290611757057
1275382860,['1595134273115521024'],en,2022-11-22T19:17:01.000Z,"RT @gabrieloguda: Nairobi Senator Edwin Sifuna has reminded Kakamega Senator Boni Khalwale that they both went to Musingu Ice Cool, but he…",1595134273115521024
1275382860,['1595132156942356480'],en,2022-11-22T19:08:36.000Z,"RT @BradleyCarl256: @MutebwaL @ManUtd Surely, we are so lucky to have managers that can have a say..these kinds of players are the reasons…",1595132156942356480
1275382860,['1595062926502727683'],en,2022-11-22T14:33:31.000Z,"RT @Ahmedkadar1: Forget about Peter Drury, Arabic commentary is the real football commentary. Saudi Arabia roasting the goat Messi https://…",1595062926502727683
1275382860,['1594973893848190977'],en,2022-11-22T08:39:44.000Z,"RT @Elijahkyama: Today in 2014, Wayne Rooney scored late winner as Manchester United won 2-1 vs Arsenal at Emirates Stadium.

https://t.co/…",1594973893848190977
1275382860,['1594971903650922496'],es,2022-11-22T08:31:49.000Z,@iamjuddah Alego,1594971903650922496
1275382860,['1594969600277594114'],en,2022-11-22T08:22:40.000Z,@laikasnewlife Nowadays they do that. Bolt is worse,1594969600277594114
1275382860,['1594915928575295489'],en,2022-11-22T04:49:24.000Z,@ChichiKoech Halal standards are not about food safety,1594915928575295489
1275382860,['1594776411587645440'],en,2022-11-21T19:35:00.000Z,RT @FPLFledgling: Bellingham's price tag after the World Cup https://t.co/ComVtbklhP,1594776411587645440
1275382860,['1594729751008223236'],en,2022-11-21T16:29:35.000Z,"RT @ITCnews: Are you a buyer looking for #ClimateSmart suppliers?

Explore our Climate Smart Network: https://t.co/wD2Cn37NxD

Launched at…",1594729751008223236
1275382860,['1594615561425911809'],en,2022-11-21T08:55:51.000Z,"RT @BusinessIntelKE: Laikipia County, which is the first county to get government backing for it to issue Shs 1 billion infrastructure bond…",1594615561425911809
1275382860,['1593901127153897472'],en,2022-11-19T09:36:56.000Z,"RT @realBrookNash: I never thought I'd make $3,000 per day at 30. 

But here I am.

At 30.

Not making $3,000 per day, so turns out I was r…",1593901127153897472
1275382860,['1593900796344573952'],en,2022-11-19T09:35:37.000Z,"RT @Nathonederful: @IRWurZ9 @HITCSevens People didn't want to listen. Same as in Dubai, law only counts to those who are not multi milliona…",1593900796344573952
1275382860,['1593898676400758785'],en,2022-11-19T09:27:12.000Z,@Ohta_Ryota Manze...and people didn't even realise that dis,1593898676400758785
1275382860,['1593867738912530433'],en,2022-11-19T07:24:16.000Z,"@georgenjoroge_ Which economic principle are you basing this on? 
There's a model that even government's use. Rental expenditure would be equated to 15% of one's Gross monthly salary. not feasible anymore.  A civil servant earning kshs 80k per month today, 28k of it is housing allowance",1593867738912530433
1275382860,['1593854121630699521'],en,2022-11-19T06:30:09.000Z,"RT @iamkathambi: In 2020, Argentina approved HB4 GMO wheat developed by an Argentinian company called 'Bioceres' 
(hold on to that nugget)…",1593854121630699521
1275382860,['1593849345111216128'],en,2022-11-19T06:11:10.000Z,RT @DoctorReign: In the US the burden of obesity in the minorities isn’t because they don’t want to eat healthy it’s because the food they…,1593849345111216128
1275382860,['1593844820174331906'],en,2022-11-19T05:53:11.000Z,"RT @mungaikihanya: I participated in a strategic planning workshop for a public school. When we came to the SWOT analysis, we realised that…",1593844820174331906
1275382860,['1593837655179116545'],qme,2022-11-19T05:24:43.000Z,RT @comredwaTUK: @MrRightke https://t.co/2p02jAlUey,1593837655179116545
1275382860,['1593835749614428161'],tl,2022-11-19T05:17:09.000Z,@tv47ke Ameendea hiyo shamba tena?,1593835749614428161
1275382860,['1593834810702708747'],en,2022-11-19T05:13:25.000Z,@benknjeru @StandardKenya @KagutaMuseveni So you are quoting him as a reference?,1593834810702708747
1275382860,['1593624931648118784'],en,2022-11-18T15:19:26.000Z,"RT @SokoAnalyst: Dear @MarthaKarua you know am always in your corner, but on this, let it be. Kenyans rejected the better alternative. Let…",1593624931648118784
1275382860,['1593624536100081665'],tl,2022-11-18T15:17:52.000Z,"@Naomikibandi @Winnie_Odinga @kaninikega1 @skmusyoka Shaba, Winnie, Kanini..walijiyuma sana Campaign. Ken naye Budapest alijotuma zaidi. Loyalty truly appreciated",1593624536100081665
1275382860,['1593614897157390336'],en,2022-11-18T14:39:34.000Z,RT @PrabalBhargava1: @spectatorindex Keep religion out of sport!,1593614897157390336
