created_at,text,author_id,lang,edit_history_tweet_ids,id
2022-11-22T21:06:43.000Z,"RT @channelstv: Moscow Says On Alert After Crimea Hit By ‘Drone Attack’
https://t.co/7eJh2cxV9K https://t.co/BKSEYD4dVz",797748498292756481,en,['1595161880594894848'],1595161880594894848
2022-11-22T21:06:40.000Z,RT @channelstv: https://t.co/QMTlaZZ3Ji,797748498292756481,zxx,['1595161866430713858'],1595161866430713858
2022-11-22T19:15:16.000Z,"RT @TheNationNews: Atiku, Okowa out of ‘The candidates’ presidential town hall https://t.co/1QfZ0JwUm6 https://t.co/WD5JGNdzp3",797748498292756481,en,['1595133832461942784'],1595133832461942784
2022-11-22T18:54:15.000Z,"RT @channelstv: Our democracy has been taken over by kleptocrats and plutocrats. - Senator Ali Ndume

#PoliticsToday
#CTVTweets https://t.c…",797748498292756481,en,['1595128542043734016'],1595128542043734016
2022-11-22T18:54:12.000Z,RT @TheNationNews: Sophia Momodu apologises for ‘insensitive’ Davido’s birthday post https://t.co/3ISBCMPk2D https://t.co/VbODUwMFCJ,797748498292756481,en,['1595128532820463616'],1595128532820463616
2022-11-22T18:54:10.000Z,"RT @channelstv: Poland’s Lewandowski Misses Penalty In Mexico Stalemate 
https://t.co/8yynvHcakv https://t.co/0gLIORiU4R",797748498292756481,en,['1595128522405687296'],1595128522405687296
2022-11-22T18:54:07.000Z,RT @TheNationNews: Udom receives two additional Airbus aircraft for Ibom Air https://t.co/yXsbjS2DZQ https://t.co/jE1IJLocYG,797748498292756481,en,['1595128510607085568'],1595128510607085568
2022-11-22T18:54:05.000Z,RT @channelstv: INEC has not been served with the certified true copy of the court judgment asking us to resume voter registration. - Festu…,797748498292756481,en,['1595128502009102337'],1595128502009102337
2022-11-22T18:54:03.000Z,"RT @TheNationNews: Three events, images that shook internet https://t.co/AYJ6rSXrP9 https://t.co/CHSsomIVTw",797748498292756481,en,['1595128493008125952'],1595128493008125952
2022-11-22T18:54:01.000Z,RT @channelstv: It would be constitutionally and legally impossible for INEC to resume voter registration before the elections. - Festus Ok…,797748498292756481,en,['1595128483130507264'],1595128483130507264
2022-11-22T18:26:05.000Z,RT @channelstv: Oil and gas exploration in the North-East is a very positive development for the country. But we must pay attention to envi…,797748498292756481,en,['1595121456241082368'],1595121456241082368
2022-11-19T17:53:55.000Z,"RT @TheNationNews: Give youths quality education, Aboyeji urges Nigerians https://t.co/IIdgoTN6vm https://t.co/rrS6llA8S2",797748498292756481,en,['1594026196643217409'],1594026196643217409
2022-11-19T17:53:49.000Z,"RT @TheNationNews: No need to compare artistes, says Rema https://t.co/YYKgIcXmhU https://t.co/I5COz7uByP",797748498292756481,en,['1594026171515441152'],1594026171515441152
2022-11-19T17:53:30.000Z,"RT @channelstv: PHOTOS: Amaechi Bags Law Degree
https://t.co/5rB6Ior8SD https://t.co/gf39ePztQF",797748498292756481,tl,['1594026089743257601'],1594026089743257601
2022-11-19T13:46:33.000Z,"RT @TheNationNews: Wike gets award for promoting girl-child, women rights https://t.co/RpvbgjLwgi https://t.co/A2kIevrfTr",797748498292756481,en,['1593963943742951425'],1593963943742951425
2022-11-19T13:46:19.000Z,RT @TheNationNews: Why I didn't visit ill Rivers LP Gov candidate-Peter Obi https://t.co/FhXdDPm77O https://t.co/0wE91GaOaH,797748498292756481,en,['1593963885895327745'],1593963885895327745
2022-11-19T13:46:11.000Z,RT @TheNationNews: Divorced women shouldn't have married lovers - Seyi Law https://t.co/f9xumEtRKF https://t.co/Xz9dFqLgjL,797748498292756481,en,['1593963850973548545'],1593963850973548545
2022-11-19T13:45:52.000Z,RT @TheNationNews: Lagos governor presents two monarchs staff of office https://t.co/vtKVuLN1ej https://t.co/mpKYNChOgu,797748498292756481,en,['1593963771713622016'],1593963771713622016
2022-11-19T13:45:47.000Z,RT @channelstv: PDP is not together as they have not been able to resolve their conflicts.  Nigeria is in turmoil and the G5 will go for th…,797748498292756481,en,['1593963751757201408'],1593963751757201408
2022-11-19T13:45:40.000Z,"RT @channelstv: Deliver PDP to continue enjoying the dividends of democracy, Governor Ifeanyi Ugwuanyi of Enugu State tells Rivers resident…",797748498292756481,en,['1593963724116660224'],1593963724116660224
2022-11-19T13:45:35.000Z,RT @TheNationNews: I wanted Pepe's jersey for my son - Finidi George https://t.co/U6s7x6jnCb https://t.co/Cabta1QSEU,797748498292756481,en,['1593963700678975490'],1593963700678975490
2022-11-19T13:45:28.000Z,RT @channelstv: Uwa bu ndo n indo ni!!! Governor Nyesom Wike and other members of the G5 thrill the audience at the PDP Rivers Campaign Fla…,797748498292756481,en,['1593963672992366595'],1593963672992366595
2022-11-19T13:45:13.000Z,"RT @channelstv: The world recognizes the good work of Wike and that must be followed by the incoming government, says Governor Okezie Ikpea…",797748498292756481,en,['1593963610488934400'],1593963610488934400
2022-11-19T13:45:04.000Z,RT @channelstv: Wike is taking over from me in “shaking Nigeria”. G5 is still open to negotiation and that should be done before it is too…,797748498292756481,en,['1593963571045695488'],1593963571045695488
2022-11-19T13:44:55.000Z,"RT @channelstv: Rivers State is for PDP and has been like that since inception, says  Gov. Seyi Makinde of Oyo State.
#CTVTweets https://t.…",797748498292756481,en,['1593963532399554560'],1593963532399554560
2022-11-19T13:44:44.000Z,RT @TheNationNews: Nigerian polo fraternity galvanises support for Tinubu/Shettima https://t.co/Nt35QuP6XZ https://t.co/y2PkC5YQgm,797748498292756481,en,['1593963486459367424'],1593963486459367424
2022-11-19T13:44:35.000Z,"RT @channelstv: I used 13 percent oil derivation money from Buhari’s administration for projects and everyone can see them, says Gov. Nyeso…",797748498292756481,en,['1593963448391680001'],1593963448391680001
2022-11-19T13:44:19.000Z,RT @channelstv: https://t.co/4r8bz36vgy,797748498292756481,zxx,['1593963382067060737'],1593963382067060737
2022-11-19T13:44:14.000Z,RT @TheNationNews: Buhari celebrates Jonathan at 65 https://t.co/wyPIbJkWU8 https://t.co/1n1ZPSiPK9,797748498292756481,in,['1593963363050164225'],1593963363050164225
2022-11-19T13:44:10.000Z,RT @YunusaTanko: Hello My People!!! It is official let us mobilise the people to support us join the Event https://t.co/EffKCajPhN,797748498292756481,en,['1593963346352553985'],1593963346352553985
2022-11-19T13:44:06.000Z,RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w…,797748498292756481,en,['1593963327616700418'],1593963327616700418
2022-11-19T13:43:32.000Z,"RT @PO_GrassRootM: BREAKING: Governor of OYO STATE H.E @seyiamakinde has approved the state stadium 🏟 for Obi-Datti to host it campaign.
De…",797748498292756481,en,['1593963185396191237'],1593963185396191237
2022-11-19T13:43:23.000Z,RT @TheNationNews: FG confirms NYSC DG's sack https://t.co/upvg7Wz103 https://t.co/628COEGpgi,797748498292756481,en,['1593963148268240896'],1593963148268240896
