created_at,text,author_id,lang,edit_history_tweet_ids,id,geo
2022-11-22T20:11:08.000Z,"RT @TimeOutNewYork: We made this list and checked it twice, but you better book now if you're naughty or nice
 https://t.co/6Kfls9Bi2t",949146217711263744,en,['1595147892909830144'],1595147892909830144,
2022-11-22T20:06:24.000Z,"RT @MTA: Trotting off for Thanksgiving? 🦃

Flock to public transit for the best way to get around and avoid squawking over gridlock traffic…",949146217711263744,en,['1595146699970064384'],1595146699970064384,
2022-11-22T20:05:45.000Z,"RT @POTUS: This is a special season in the greatest nation on Earth, so let us be grateful.

As Scripture says: Let us rejoice always, pray…",949146217711263744,en,['1595146536157319168'],1595146536157319168,
2022-11-22T20:04:53.000Z,"RT @DisneyParks: Spread some holiday cheer with these wish list-worthy gifts, available now in Disney Parks, on @shopDisney, and at other r…",949146217711263744,en,['1595146319181492224'],1595146319181492224,
2022-11-22T20:04:00.000Z,"RT @NYCMayor: Safe, high-quality, affordable housing for all New Yorkers has been the North Star for our administration. The completion of…",949146217711263744,en,['1595146098402037760'],1595146098402037760,
2022-11-22T20:03:12.000Z,"RT @CentralParkNYC: 🍂 Unbe-leaf-able! Watch the leaves change every morning with this mug! Featuring a temperature-sensitive ink, this mug’…",949146217711263744,en,['1595145895162810371'],1595145895162810371,
2022-11-22T20:02:45.000Z,"RT @greatnesswins: @derekjeter sat down for an episode of @drinkchamps and hit it out of the park. 
Link to the full video on @revolttv in…",949146217711263744,en,['1595145781819809792'],1595145781819809792,
2022-11-22T20:02:09.000Z,"RT @MadSqParkNYC: Thank you to everyone who joined us in the park for Leaf Fest this past Saturday! 🍂

The dozens of pounds of leaves colle…",949146217711263744,en,['1595145631131381761'],1595145631131381761,
2022-11-22T20:01:53.000Z,RT @TimeOutNewYork: It's time for New York to make its way back on TV. https://t.co/XvcbhQne0B,949146217711263744,en,['1595145562101538817'],1595145562101538817,
2022-11-22T20:01:37.000Z,RT @NatGeo: Noah’s Ark is among the best known and most captivating of all Old Testament stories—but searches for the Ark draw everything f…,949146217711263744,en,['1595145497442148352'],1595145497442148352,
2022-11-22T20:00:31.000Z,RT @FBI: Previously Convicted Armed Robber Sentenced to 15 Years in Federal Prison for Armed Carjacking https://t.co/N98TYG598W,949146217711263744,en,['1595145220714557440'],1595145220714557440,
2022-11-22T20:00:18.000Z,RT @HudsonRiverPark: Cycle for your Park! Join the #HRPK Friends Development Committee’s sports and athletics community for a charity ride…,949146217711263744,en,['1595145163600703488'],1595145163600703488,
2022-11-22T19:59:02.000Z,"RT @WhiteHouse: On Day One of the Biden-Harris Administration, the United States rejoined the Paris Agreement to reassert America’s leaders…",949146217711263744,en,['1595144846284836864'],1595144846284836864,
2022-11-22T19:49:59.000Z,RT @TryChick: @kylegriffin1 They’re exactly where they want to be in the whole order of things. A right wing authoritarian christofascist p…,949146217711263744,en,['1595142567808884736'],1595142567808884736,
