lang,id,author_id,edit_history_tweet_ids,created_at,text
und,1595183019362484228,132178318,['1595183019362484228'],2022-11-22T22:30:43.000Z,@TweeetsOfDogs Yes https://t.co/Zv4JQNPdvg
en,1595136921684279296,132178318,['1595136921684279296'],2022-11-22T19:27:32.000Z,@GRCinemaTicket Waterworld
en,1595135402725507072,132178318,['1595135402725507072'],2022-11-22T19:21:30.000Z,"@MorphinLegacy And the voice of everyone's favorite cat genie, Jenji."
en,1595133919640571904,132178318,['1595133919640571904'],2022-11-22T19:15:37.000Z,@beth_monje @JCVD Street Fighter https://t.co/TMnkgu0lOv
en,1594868035944611842,132178318,['1594868035944611842'],2022-11-22T01:39:05.000Z,@GeorgeTakei Dragnet
en,1594795362048700416,132178318,['1594795362048700416'],2022-11-21T20:50:18.000Z,"@WDWNT I yakkai harai, Mr. Roboto. (Translation: Good Riddance, Bob Chapek."
en,1594790756123820035,132178318,['1594790756123820035'],2022-11-21T20:32:00.000Z,@richcoastrican The Flintstones
sv,1594717912207589376,132178318,['1594717912207589376'],2022-11-21T15:42:33.000Z,@midgetmoxie @bales1181 @SoUp4it Star Trek
en,1594717845577142273,132178318,['1594717845577142273'],2022-11-21T15:42:17.000Z,@ComicsKingdom is stuck on yesterday's strips. @gocomics has been down since Saturday. How am I supposed to catch up on all the important things?
en,1594708596419616768,132178318,['1594708596419616768'],2022-11-21T15:05:32.000Z,"@yugiohtas It's like the old Casper the friendly ghost cartoons. Adults are scared, but children arent."
en,1594511345445126144,132178318,['1594511345445126144'],2022-11-21T02:01:43.000Z,@_Caption_This You mean this wasn’t one of the thousand places he played Detective John Munch? #CaptionThis
en,1594489984719159296,132178318,['1594489984719159296'],2022-11-21T00:36:51.000Z,@richcoastrican Krull
en,1594395641387810816,132178318,['1594395641387810816'],2022-11-20T18:21:58.000Z,New GARamid Blog post. Addressing the trending elephant in the room. https://t.co/GkCdLTcyit
en,1594059694355918848,132178318,['1594059694355918848'],2022-11-19T20:07:01.000Z,@Sophia_Nyx Independence Day
en,1594058602100269057,132178318,['1594058602100269057'],2022-11-19T20:02:41.000Z,@GRCinemaTicket Doc Hollywood
en,1594058519912894465,132178318,['1594058519912894465'],2022-11-19T20:02:21.000Z,@Sophia_Nyx Spaceballs
en,1593981899776876544,132178318,['1593981899776876544'],2022-11-19T14:57:54.000Z,@Moviesontheway Waterworld
qme,1593781532656865282,132178318,['1593781532656865282'],2022-11-19T01:41:43.000Z,@CTropes https://t.co/CLwpwKXdDH
en,1593779203157397504,132178318,['1593779203157397504'],2022-11-19T01:32:27.000Z,"@Timmerjoe Tonight, the role of Zarana will be played by a masked Belgian man."
en,1593741463564668929,132178318,['1593741463564668929'],2022-11-18T23:02:29.000Z,@Crowley13IM Blade
en,1593740275947638787,132178318,['1593740275947638787'],2022-11-18T22:57:46.000Z,@Cords95481107 Like https://t.co/OhVay2raEm
en,1593740010775117827,132178318,['1593740010775117827'],2022-11-18T22:56:43.000Z,@BracketeersThe Robin Hood
en,1593739928546201600,132178318,['1593739928546201600'],2022-11-18T22:56:23.000Z,"@wayneelderkin1 John Williams, Grammy and Oscar winning composer"
en,1593739799994765313,132178318,['1593739799994765313'],2022-11-18T22:55:53.000Z,@GRCinemaTicket Flash. Ah-Ah. Savior of the Universe
en,1593739643987501057,132178318,['1593739643987501057'],2022-11-18T22:55:16.000Z,@MASKEDMANIACXXX Conan the Destroyer
en,1593739562811023361,132178318,['1593739562811023361'],2022-11-18T22:54:56.000Z,@Sophia_Nyx Spaceballs
en,1593400658048143360,132178318,['1593400658048143360'],2022-11-18T00:28:15.000Z,@FilmsQuirky @bales1181 SeaQuest. Keep Frank Welker as the voice of Darwin.
en,1593399094680109057,132178318,['1593399094680109057'],2022-11-18T00:22:02.000Z,@bales1181 @fredforthemets @midgetmoxie @FilmsQuirky @FunMovieTVFan @JanuaryMovie @filmizon @ithrah69 @krazykeithrules @VaderJaws Jurassic Park. Must go faster. Must go faster.
en,1593397524106280966,132178318,['1593397524106280966'],2022-11-18T00:15:48.000Z,@richcoastrican The Adventures of Rocky and Bullwinkle
no,1593395429231628291,132178318,['1593395429231628291'],2022-11-18T00:07:28.000Z,@Sophia_Nyx Bueller? Bueller? Bueller?
en,1593394964209229824,132178318,['1593394964209229824'],2022-11-18T00:05:37.000Z,@midgetmoxie @bales1181 @SoUp4it Dick Tracy
en,1593281255168245760,132178318,['1593281255168245760'],2022-11-17T16:33:47.000Z,@GRCinemaTicket Robin Hood: Prince of Thieves
en,1593010527265230848,132178318,['1593010527265230848'],2022-11-16T22:38:01.000Z,"@toysthatmadeus Clash of the Titans. Four figures, Pegasus and the Kraken. I had them all. There was supposedly a play set and a Bubo the owl, but I never saw those."
