author_id,text,created_at,lang,edit_history_tweet_ids,id
112961565,"RT @SollenbergerRC: NEW: A woman has challenged Herschel Walker to deny her abortion claims ""to my face"" ahead of the runoff. She also shar…",2022-11-22T22:45:18.000Z,en,['1595186687981805571'],1595186687981805571
112961565,"RT @DepressedDETN: The west coast, Sept 11, 2001:",2022-11-22T22:44:47.000Z,en,['1595186557388038145'],1595186557388038145
112961565,RT @thecreepingmoon: The sculpture at the entrance of the Paris Natural History Museum is just this orangutan choking the shit out of some…,2022-11-22T22:42:01.000Z,en,['1595185861473275904'],1595185861473275904
112961565,@taurusxmoon put some humor with mine,2022-11-22T22:35:57.000Z,en,['1595184334813757441'],1595184334813757441
112961565,"@taurusxmoon much love &lt;3
and will do",2022-11-22T22:13:22.000Z,en,['1595178651187920896'],1595178651187920896
112961565,@taurusxmoon YES,2022-11-22T22:07:42.000Z,und,['1595177228383522817'],1595177228383522817
112961565,"@taurusxmoon it'd be my mom that'd probably use it the most, but I'd also love to brag to the TWitter about how I wash my ass",2022-11-22T22:02:54.000Z,en,['1595176019715100700'],1595176019715100700
112961565,"@taurusxmoon anyone, perhaps for my home on the first floor",2022-11-22T22:00:46.000Z,en,['1595175481258741770'],1595175481258741770
112961565,RT @hertruthsyrup: also let us not forget how he mocked kehlani when she attempted suicide after her breakup with kyrie irving https://t.co…,2022-11-22T22:00:32.000Z,en,['1595175423847108626'],1595175423847108626
112961565,RT @htxgissell: POV: me driving us home after our iced coffee date https://t.co/bzLu25axfm,2022-11-22T22:00:08.000Z,en,['1595175322927960073'],1595175322927960073
112961565,@deexomar ?? why? and why do you say this as a South Asian?,2022-11-22T21:51:13.000Z,en,['1595173077276626978'],1595173077276626978
112961565,would a toilet seat bidet be a good Christmas gift?,2022-11-22T21:40:31.000Z,en,['1595170385531703300'],1595170385531703300
112961565,"RT @Jamalhinton12: To answer all your questions, yes Thanksgiving year 7 is planned out! See you guys Thursday! 🦃🖤 https://t.co/JTJe6ZSOTS",2022-11-22T21:39:17.000Z,en,['1595170077116141583'],1595170077116141583
112961565,"RT @BuzzFeed: Once you’ve used water to clean your butt, you can’t go back to regular old wiping. https://t.co/3dbwRUbFZ9",2022-11-22T21:38:52.000Z,en,['1595169970035560452'],1595169970035560452
112961565,RT @noty3ss: pee after sex so you don’t get a HDMI,2022-11-22T21:22:07.000Z,en,['1595165755162693648'],1595165755162693648
112961565,RT @jiggyjayy2: Ok now what about what be did to Karrueche? Ppl willfully skip over that abuse because then they have to admit its actually…,2022-11-22T20:52:58.000Z,en,['1595158420839333888'],1595158420839333888
112961565,RT @sailort_8: it’s really weird to me that this narrative of “well Rihanna hit him too!!” and it’s like she shouldn’t have? But he also wa…,2022-11-22T20:41:59.000Z,en,['1595155654632620032'],1595155654632620032
112961565,"RT @sailort_8: while yes, Rihanna has moved on and forgiven Chris Brown that’s her choice but what’s weird is how so many of you are excusi…",2022-11-22T20:41:40.000Z,en,['1595155574538194944'],1595155574538194944
112961565,"RT @t0nit0ne: “Instead of saying you don’t wanna split the bill evenly because you ordered way less, just say you’re broke”. 

The funniest…",2022-11-22T20:40:14.000Z,en,['1595155215564828673'],1595155215564828673
112961565,I love walking like a silly goose,2022-11-22T20:28:30.000Z,en,['1595152262841569280'],1595152262841569280
112961565,RT @its_supersarah: Incase anyone needs this.. https://t.co/RUQDpT4jcD,2022-11-22T20:17:29.000Z,en,['1595149491635912704'],1595149491635912704
112961565,"bro, the way so many of his female stans were saying they wish they were abused by him too. Disturbing. And all because he can backflip. https://t.co/vXney1lrpr",2022-11-22T20:16:43.000Z,en,['1595149297406070787'],1595149297406070787
112961565,RT @stimmyturner331: This one has no right to be so clean https://t.co/sJSh475Fng,2022-11-22T20:14:31.000Z,en,['1595148744240279552'],1595148744240279552
112961565,@FatKidDeals @Twitch @cupofchaii and @LRacquelx,2022-11-22T20:13:26.000Z,und,['1595148470142500864'],1595148470142500864
112961565,RT @_B___S: Time for bed https://t.co/1ArxiHPqZi,2022-11-22T20:11:52.000Z,en,['1595148075689209856'],1595148075689209856
112961565,probably one or two https://t.co/3ObzNGx4nZ,2022-11-22T20:05:53.000Z,en,['1595146568969355264'],1595146568969355264
112961565,"RT @IWriteAllDay_: Anyway, I blame people like Judd Apatow for the mass hysteria that emerged from a mere slap. Cuz now we’re in a timeline…",2022-11-22T20:05:09.000Z,en,['1595146387355627520'],1595146387355627520
112961565,"RT @leo4repro: See also: A survivor of abuse can forgive their abuser, but that does not mean that the abuser has been publicly accountable…",2022-11-22T20:05:00.000Z,en,['1595146350483890178'],1595146350483890178
112961565,RT @LilSexyCommie: Victims forgiving their abusers is for themselves. It’s not for others or the abusers. &amp; Just because victims choose to…,2022-11-22T20:04:31.000Z,en,['1595146224947974144'],1595146224947974144
112961565,"going to arcades together, poking fun at each other in an untoxic way, and stealing each other's food https://t.co/mbJVfBix4y",2022-11-22T19:41:19.000Z,en,['1595140388213338112'],1595140388213338112
112961565,@simplyallieeee You made that dress look great,2022-11-22T19:31:28.000Z,en,['1595137908432064513'],1595137908432064513
112961565,@cupofchaii You okay?,2022-11-22T19:20:38.000Z,en,['1595135184462311424'],1595135184462311424
112961565,@heyyguido ♥️♥️♥️♥️,2022-11-22T19:20:30.000Z,und,['1595135151092088832'],1595135151092088832
112961565,"HOW IS HIM BEING 19-20 IN ANY WAY A GOOD ARGUMENT?? He was still old enough to understand what he was doing, and it's not like he only abused Rihanna. Annoying-ass stans https://t.co/BwdEOOF8Li",2022-11-22T19:18:05.000Z,en,['1595134539680006144'],1595134539680006144
112961565,@tylersan__ I can guarantee you I have never abused anyone when I was 19-20. That's such an embarrassing hill to be on when he was old enough to know better,2022-11-22T19:16:28.000Z,en,['1595134135764279296'],1595134135764279296
112961565,"RT @kamiron_: Hes colorist, had frank ocean jumped out of homophobic intent, stalked harassed and abused Karreuche to the point where she s…",2022-11-22T19:15:01.000Z,en,['1595133768121356288'],1595133768121356288
112961565,"All right, who showed them Game of Thrones and The House of Dragon?? https://t.co/eM5Vt4ra8g",2022-11-22T19:09:52.000Z,en,['1595132472769249280'],1595132472769249280
112961565,@18__fia Moi?,2022-11-22T18:29:48.000Z,und,['1595122390249639936'],1595122390249639936
112961565,@jassytheewitch if they don't hype you up t😤hey don't deserve to see it,2022-11-22T18:09:13.000Z,en,['1595117211487678464'],1595117211487678464
112961565,"RT @MorePerfectUS: BREAKING: Starbucks is shutting down the first store to unionize in Seattle.

The Broadway &amp; Denny store is the fourth u…",2022-11-22T17:54:19.000Z,en,['1595113460328988672'],1595113460328988672
112961565,the random drives with talks are the best https://t.co/o09cTRdMNP,2022-11-22T17:54:05.000Z,en,['1595113401717784579'],1595113401717784579
112961565,RT @miiriya1: https://t.co/AY1LUAZCNE,2022-11-22T17:17:17.000Z,zxx,['1595104141914902532'],1595104141914902532
112961565,"RT @EternallyRaQuEl: Nothing Letitia Wright or Will Smith did warranted comparing them to a man who absued his wife and kids, a pedophile,…",2022-11-22T17:16:44.000Z,en,['1595104001015648263'],1595104001015648263
112961565,RT @tinnkky: This is fucking sick and terrifying omfg this poor baby. Someone needs to ***** this man  https://t.co/TwfXk7SEjN,2022-11-22T16:57:21.000Z,en,['1595099125338771457'],1595099125338771457
112961565,RT @ne0scythian: https://t.co/2aJNyhDWwp,2022-11-22T15:55:09.000Z,zxx,['1595083472179462150'],1595083472179462150
112961565,you're such an embarrassment https://t.co/ckjtgi2Lpw,2022-11-22T15:51:22.000Z,en,['1595082519174602756'],1595082519174602756
112961565,RT @therobmilton: - now who did this? https://t.co/5MIcXQMUKL,2022-11-22T15:32:12.000Z,en,['1595077696102764544'],1595077696102764544
112961565,worst season or second worst! https://t.co/mwcwwC0VSP,2022-11-22T15:30:03.000Z,en,['1595077153213022212'],1595077153213022212
112961565,bro https://t.co/5a5S4jwBnR,2022-11-22T15:29:22.000Z,qst,['1595076980982140928'],1595076980982140928
112961565,RT @InternetH0F: https://t.co/miMJxrZOvk,2022-11-22T15:28:54.000Z,zxx,['1595076865466990593'],1595076865466990593
112961565,Fire has been lit under the derriere to visit Dallas before Feb :(,2022-11-22T15:22:21.000Z,en,['1595075216077717504'],1595075216077717504
112961565,"As a Tumblr user, I have not seen this discussion https://t.co/8JDbrYtOav",2022-11-22T15:05:29.000Z,en,['1595070972629258240'],1595070972629258240
112961565,RT @PeteButtigieg: If you’re a politician or media figure who sets up the LGBTQ community to be hated and feared - not because any of us ev…,2022-11-22T15:00:34.000Z,en,['1595069734009069570'],1595069734009069570
112961565,Playing air guitar along with music is very fun,2022-11-22T14:38:43.000Z,en,['1595064235691843590'],1595064235691843590
112961565,"RT @lowkeyalbert: if im in a relationship with you, nobody will ever look better than you in my eyes. i don’t care who it is.",2022-11-22T08:50:44.000Z,en,['1594976664894717953'],1594976664894717953
112961565,@FatKidDeals @babyyybenzzz @cupofchaii @simplyallieeee @Serend1p1ty9,2022-11-22T08:28:41.000Z,qam,['1594971116484837377'],1594971116484837377
112961565,the pic has me screaming in laughter https://t.co/O5Xx4eZsEi,2022-11-22T08:19:51.000Z,en,['1594968892245479426'],1594968892245479426
112961565,"RT @danaparish: 😭 Sharon Stone, still sick &amp; testing + 16 days in: 

“I managed to not get Covid for so long, do you know how I got Covid -…",2022-11-22T08:16:59.000Z,en,['1594968171022254081'],1594968171022254081
