lang,id,author_id,edit_history_tweet_ids,created_at,text
qam,1595166297725276168,901510624072450048,['1595166297725276168'],2022-11-22T21:24:16.000Z,@pagi_pe @meg4mint3023 @infectedmice @Murasai_NFT @jamesandals @Damlord7 @Shannybaby15 @sHoLLyCc
en,1595166174374989829,901510624072450048,['1595166174374989829'],2022-11-22T21:23:47.000Z,"RT @pagi_pe: WL GIVEAWAYS🎉
To Enter:
✅Follow :
@meg4mint3023 10X spots
@infectedmice 5x spots
@Murasai_NFT 2x spots
@pagi_pe
@jamesandals
✅…"
en,1595157249873580032,901510624072450048,['1595157249873580032'],2022-11-22T20:48:19.000Z,"RT @anaxon_wellness: We love Reviews 

#Anaxon wetness sauce doing the Lord's work. 

You ate still snoozing https://t.co/HBihXwtMyB"
en,1595139670350135296,901510624072450048,['1595139670350135296'],2022-11-22T19:38:28.000Z,RT @sparkybwoi: Sometimes you just have to stop your car and change it for some of these bus drivers for their reckles driving😒. Their were…
en,1595139602125201409,901510624072450048,['1595139602125201409'],2022-11-22T19:38:12.000Z,@Lirahagain I dunno
en,1595139568566960128,901510624072450048,['1595139568566960128'],2022-11-22T19:38:04.000Z,RT @Lirahagain: Guess who? 😂😂😭 https://t.co/f9mmHCrqEG
en,1595139550099042305,901510624072450048,['1595139550099042305'],2022-11-22T19:37:59.000Z,@tobbie_seifawa Of course
en,1595139538287935488,901510624072450048,['1595139538287935488'],2022-11-22T19:37:56.000Z,RT @tobbie_seifawa: How true or false is this? https://t.co/O5XLzl8YkB
en,1595139417449955328,901510624072450048,['1595139417449955328'],2022-11-22T19:37:28.000Z,@richemilio_ They have many injuries
en,1595139357526351873,901510624072450048,['1595139357526351873'],2022-11-22T19:37:13.000Z,RT @richemilio_: France 🇫🇷 defense is very weak they need a good defender to help them out
en,1595135422031880192,901510624072450048,['1595135422031880192'],2022-11-22T19:21:35.000Z,RT @theovamediaBA: What a let-down!!! https://t.co/OfxAfDAX21
en,1595135405380505601,901510624072450048,['1595135405380505601'],2022-11-22T19:21:31.000Z,"RT @SimonexElect: Dem fit they with you make them no they for you

Inside life another life dey"
en,1595135379614863360,901510624072450048,['1595135379614863360'],2022-11-22T19:21:25.000Z,"RT @Kebbi_kingjr: Your value is not in your appearance. 

👌🏾"
en,1595135355199508480,901510624072450048,['1595135355199508480'],2022-11-22T19:21:19.000Z,@Splendoura1 @SkaflicOfficial Good for them
en,1595135324153597952,901510624072450048,['1595135324153597952'],2022-11-22T19:21:12.000Z,RT @Splendoura1: SKAFLIC system provide a more comprehensive number of options for executing &amp; managing transactions. With our cutting-edge…
en,1595135303395971072,901510624072450048,['1595135303395971072'],2022-11-22T19:21:07.000Z,@COyeymi Stupid question
en,1595135283556921344,901510624072450048,['1595135283556921344'],2022-11-22T19:21:02.000Z,"RT @COyeymi: Which is your fav!!!

Oraimo AirPod       OR        Apple AirPod https://t.co/PHzERxi2a9"
und,1595135258550501378,901510624072450048,['1595135258550501378'],2022-11-22T19:20:56.000Z,@Chinacket Eww
en,1595135249373335552,901510624072450048,['1595135249373335552'],2022-11-22T19:20:54.000Z,"RT @Chinacket: You can contract certain STDs, or sexually transmitted infections (STIs) through KISSING https://t.co/KU6QQN6eOl"
en,1595135210642735106,901510624072450048,['1595135210642735106'],2022-11-22T19:20:45.000Z,@Realmpreigns What?
en,1595135188132298752,901510624072450048,['1595135188132298752'],2022-11-22T19:20:39.000Z,RT @Realmpreigns: Australia anthem be lik cele hymn.
en,1595135171745177601,901510624072450048,['1595135171745177601'],2022-11-22T19:20:35.000Z,@feetkulture @_DammyB_ @UnclebeeOla Second slide
en,1595135148911386625,901510624072450048,['1595135148911386625'],2022-11-22T19:20:30.000Z,"RT @feetkulture: Sales!! SALES!! 
See these deals? I promise you can’t get them elsewhere. Please tag that person you know that has been lo…"
en,1595135129172996097,901510624072450048,['1595135129172996097'],2022-11-22T19:20:25.000Z,@Vibe_Citty Not bad
en,1595135112605499393,901510624072450048,['1595135112605499393'],2022-11-22T19:20:21.000Z,RT @Vibe_Citty: Let your Feet 🦶 speak Elegance even without uttering a word🥵🥵🥵 https://t.co/cSqUiz4Zdg
en,1595135094649368577,901510624072450048,['1595135094649368577'],2022-11-22T19:20:17.000Z,@_varg76 Looks good
en,1595135066296176641,901510624072450048,['1595135066296176641'],2022-11-22T19:20:10.000Z,"RT @_varg76: Now available 🔥
20k only
Working chronograph, great quality strap
Pls retweet

Asake Burna Wiz Tiwa Lagos #ExploreQatarwithora…"
en,1595135047753138176,901510624072450048,['1595135047753138176'],2022-11-22T19:20:06.000Z,@Houseofkhairat_ Has to be that
en,1595135030057381888,901510624072450048,['1595135030057381888'],2022-11-22T19:20:01.000Z,RT @Houseofkhairat_: This or that https://t.co/TQyzQsmeYg
en,1595135012835561473,901510624072450048,['1595135012835561473'],2022-11-22T19:19:57.000Z,@_Stevemensa He's finished
en,1595134996775571456,901510624072450048,['1595134996775571456'],2022-11-22T19:19:54.000Z,RT @_Stevemensa: Why is Ronaldo trending? 👀🐐
tl,1595134979402780672,901510624072450048,['1595134979402780672'],2022-11-22T19:19:49.000Z,@GlobalNftRecovd Wahala
en,1595134949517950976,901510624072450048,['1595134949517950976'],2022-11-22T19:19:42.000Z,RT @GlobalNftRecovd: Everything na scope 🌚😂😂🤌🏾 https://t.co/RB8o4DOsfD
en,1595134932980228096,901510624072450048,['1595134932980228096'],2022-11-22T19:19:38.000Z,@_bigbankz E wan buff
en,1595134904924524544,901510624072450048,['1595134904924524544'],2022-11-22T19:19:32.000Z,"RT @_bigbankz: Guy, Ur Whatsapp status dey read at the Gym Since 2015, Wetin u wan destroy self?? 😒"
sv,1595134878542344194,901510624072450048,['1595134878542344194'],2022-11-22T19:19:25.000Z,@balzayo_ Beta plug
en,1595134853921779712,901510624072450048,['1595134853921779712'],2022-11-22T19:19:20.000Z,"RT @balzayo_: All gadgets available at EXPRESSGADGETS for pickup/nationwide delivery✅🛍️💯

Send a DM to BUY | SELL | SWAP today. https://t.c…"
en,1595134836184092672,901510624072450048,['1595134836184092672'],2022-11-22T19:19:15.000Z,@WeGoTalkAm1 Would be hilarious
en,1595134818739593222,901510624072450048,['1595134818739593222'],2022-11-22T19:19:11.000Z,RT @WeGoTalkAm1: Scenes when Saudi Arabia  qualify ahead of Argentina 🤔🤣 https://t.co/PsN0xbJkey
en,1595134800863469568,901510624072450048,['1595134800863469568'],2022-11-22T19:19:07.000Z,@_Phemistilldey What about you
en,1595134751433961472,901510624072450048,['1595134751433961472'],2022-11-22T19:18:55.000Z,"RT @_Phemistilldey: That Energy wey you dey use find love up and down, if to say na money you dey use am find ni, you fit don become billio…"
en,1595134729439043584,901510624072450048,['1595134729439043584'],2022-11-22T19:18:50.000Z,@kenny_eey They're the best
en,1595134707796422657,901510624072450048,['1595134707796422657'],2022-11-22T19:18:45.000Z,RT @kenny_eey: Women that spoil men with money hi!!
tl,1595134691296047104,901510624072450048,['1595134691296047104'],2022-11-22T19:18:41.000Z,@OG_Dreamville Naso
en,1595134667082334209,901510624072450048,['1595134667082334209'],2022-11-22T19:18:35.000Z,RT @OG_Dreamville: Soft block basically means you still want them to notice you but you don't want to notice that they notice you. Lol. Peo…
en,1595134556738588672,901510624072450048,['1595134556738588672'],2022-11-22T19:18:09.000Z,RT @HRM_Chief: This one funny die https://t.co/tV9sXioHwi
en,1595134539268902912,901510624072450048,['1595134539268902912'],2022-11-22T19:18:04.000Z,"RT @ONimmie: All these DJs no get chills frrr, dem dey shake music industry, ahh !!😩🔥 https://t.co/Dn2PpmDKn0"
en,1595134496877457409,901510624072450048,['1595134496877457409'],2022-11-22T19:17:54.000Z,"RT @MatokPR: Australia taking the lead is bringing back the curse!! weirdest jinx ever in this years W/C

Check my thread about THE Europea…"
