text,created_at,author_id,edit_history_tweet_ids,id,lang
RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,2022-11-22T21:56:24.000Z,968450114179153921,['1595174381046890496'],1595174381046890496,en
"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",2022-11-22T20:30:35.000Z,968450114179153921,['1595152784797716482'],1595152784797716482,en
"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",2022-11-22T19:14:01.000Z,968450114179153921,['1595133516974473216'],1595133516974473216,en
"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",2022-11-22T16:54:49.000Z,968450114179153921,['1595098486680084491'],1595098486680084491,tr
"RT @UtilityNet_: The Rules for the First Test Mining of UtilityNet https://t.co/4hJuOKd1WG 

#utility #utilitynet #BigData #Analytics #Data…",2022-11-22T15:05:31.000Z,968450114179153921,['1595070979025289216'],1595070979025289216,en
"RT @sololeveling_pr: ◤￣￣￣￣￣￣￣￣￣￣￣◥
『俺だけレベルアップな件』

ANIMATION PROJECT
COMING 2023
◣＿＿＿＿＿＿＿＿＿＿＿◢

https://t.co/FzYJIWI3V8

#俺レベ #SoloLeveling…",2022-11-22T14:01:10.000Z,968450114179153921,['1595054785710870528'],1595054785710870528,ja
"RT @TheshopNFT: Happy Holidays Creams🍦
ThanksGiving is about giving back to the community and society.
#TheShopNFT is giving #FreeMints to…",2022-11-22T13:09:41.000Z,968450114179153921,['1595041830306988035'],1595041830306988035,en
RT @daPang70456438: #2022世界杯预测冠军 #开云体育 #世界杯 #足球 #亚博 #游戏 Happiness is good health and a bad memory。 https://t.co/SKlXnFfIW3,2022-11-22T12:17:34.000Z,968450114179153921,['1595028713153798145'],1595028713153798145,en
"RT @DaoNfinity: Bears are lovely, so would be the bear market.🐻🐻🐻

@iteunkkiant @Octofan_NFT @Degenxulka @JpegFKVCVP @jaypeNTEOD @Luckypunk…",2022-11-22T11:32:02.000Z,968450114179153921,['1595017255586172928'],1595017255586172928,en
RT @daPang70456438: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  Don‘t cry because it is over， smile because it happened。 https://t.co/y6YQxIphho,2022-11-22T10:42:17.000Z,968450114179153921,['1595004735723286531'],1595004735723286531,en
