text,lang,id,author_id,edit_history_tweet_ids,created_at
RT @rhonda_harbison: @mikepompeo https://t.co/Q61RvTaxQv,qme,1595196030332665856,614372147,['1595196030332665856'],2022-11-22T23:22:25.000Z
@mikepompeo https://t.co/Gvuu7ciTss,qme,1595195801160089601,614372147,['1595195801160089601'],2022-11-22T23:21:30.000Z
@RepMattGaetz My neighbor’s cat can do better than Kevin McCarthy.,en,1595193027848704000,614372147,['1595193027848704000'],2022-11-22T23:10:29.000Z
"@krankepantzen But it helps when the voters understand that choice in concrete terms, not via slogans which will inevitably lead to sports analogies or quips about the how something in the name of the bill rhymes with some distasteful bodily function…",en,1595191996876001286,614372147,['1595191996876001286'],2022-11-22T23:06:23.000Z
@krankepantzen Nobody wants to frame the conversation squarely around public goods. But the consequences of rapid and extensive privatization needs to be a much more lucid part of the discussion. Not everyone can conform to the Libertarian Dream.,en,1595187655066750976,614372147,['1595187655066750976'],2022-11-22T22:49:08.000Z
"RT @krankepantzen: Everyone understands portraying support for ""limited government"" as a specifically ""conservative"" value is rhetorical ho…",en,1595184649529171968,614372147,['1595184649529171968'],2022-11-22T22:37:12.000Z
@SamRamani2 Just tells you that the Russian Federation is collapsing faster than anyone could have imagined…,en,1595183694217633792,614372147,['1595183694217633792'],2022-11-22T22:33:24.000Z
"@SamRamani2 Vlad and his mystical military are threatening to invade a Muslim country while facing a major attrition of equipment and personnel in Ukraine? He WILL need supernatural assistance if he thinks he can survive, let alone prevail under those circumstances.",en,1595183482250182656,614372147,['1595183482250182656'],2022-11-22T22:32:33.000Z
@SamRamani2 Sick old man trying to flex his muscles again? Vlad must be putting a lot of faith in his magic mirror lately…,en,1595182181118361600,614372147,['1595182181118361600'],2022-11-22T22:27:23.000Z
RT @WesAllenn: @SamRamani2 Putin said that Kazakhs also had never had a state prior to independence from Moscow. When I think about the Kaz…,en,1595181545555660800,614372147,['1595181545555660800'],2022-11-22T22:24:52.000Z
"RT @SamRamani2: This reflects Russia's rising discontent with Kazakhstan's independent policy towards Ukraine, which was reflected in the l…",en,1595181487795617794,614372147,['1595181487795617794'],2022-11-22T22:24:38.000Z
"RT @SamRamani2: Russian commentator Dmitry Drobnitsky calls Kazakhstan Russia's ""next problem"" and warns that the same Nazi practices that…",en,1595181438902706176,614372147,['1595181438902706176'],2022-11-22T22:24:26.000Z
@BornAKang He’s really playin’ ‘em!,en,1595169684466372612,614372147,['1595169684466372612'],2022-11-22T21:37:44.000Z
"@hautePJones @notcapnamerica How do you admit that you’re nothing more than a member of the paparazzi without saying “Mr President, do I have to hide in a dumpster just to get a picture?”…",en,1595168335381291008,614372147,['1595168335381291008'],2022-11-22T21:32:22.000Z
