text,lang,id,author_id,edit_history_tweet_ids,created_at
RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,en,1595174325077872646,962582928906579969,['1595174325077872646'],2022-11-22T21:56:10.000Z
"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",en,1595152708947820544,962582928906579969,['1595152708947820544'],2022-11-22T20:30:16.000Z
"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",en,1595133507621507073,962582928906579969,['1595133507621507073'],2022-11-22T19:13:59.000Z
"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",tr,1595098418430345216,962582928906579969,['1595098418430345216'],2022-11-22T16:54:33.000Z
"RT @UtilityNet_: The Rules for the First Test Mining of UtilityNet https://t.co/4hJuOKd1WG 

#utility #utilitynet #BigData #Analytics #Data…",en,1595070949820403713,962582928906579969,['1595070949820403713'],2022-11-22T15:05:24.000Z
RT @mikeverdish: Congratulations to the #Blockchain and #ICB communities… ICB Smart Contract has been reviewed and granted the “Security an…,en,1595054784985370624,962582928906579969,['1595054784985370624'],2022-11-22T14:01:10.000Z
RT @daPang70456438: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票   Don‘t let what you cannot do interfere wit…,en,1595041788636680196,962582928906579969,['1595041788636680196'],2022-11-22T13:09:31.000Z
RT @daPang70456438: #世界杯投注平台 #世界杯 #阿根廷梅西 #爱游戏   #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票  What seems to us as bitter trials are…,en,1595028610641010688,962582928906579969,['1595028610641010688'],2022-11-22T12:17:09.000Z
RT @daPang70456438: #世界杯投注平台  #阿根廷梅西 #爱游戏  #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票 Friendship is a sheltering tree。 https://t.c…,en,1595016848696918030,962582928906579969,['1595016848696918030'],2022-11-22T11:30:25.000Z
"RT @hnd8e_: رامي الاسطورة ..

مشاهدة مباراة السعوديه والارجنتين بث مباشر 

البث المباشر هنا : https://t.co/gIBjq0SLlh

البث المباشر هنا : h…",ar,1595004624578129920,962582928906579969,['1595004624578129920'],2022-11-22T10:41:50.000Z
RT @Sohnneliving: It's so important for people to have a space that they love and wake up happy every morning. A big part is what you have…,en,1594983642786324485,962582928906579969,['1594983642786324485'],2022-11-22T09:18:28.000Z
"RT @Desire04540897: I love every word in your name.🫦🫦🫦🫦🫦
#西安 https://t.co/2JidoZJOxq",en,1594947525420716033,962582928906579969,['1594947525420716033'],2022-11-22T06:54:57.000Z
RT @yule886: #阿根廷梅西 #开云 #世界杯冠军预测 #足球 #亚博 #游戏     #真人百家乐  #棋牌 #彩票 #电竞    The longest day has an end。 https://t.co/qrSCfD0N0W,en,1594928640667848704,962582928906579969,['1594928640667848704'],2022-11-22T05:39:54.000Z
"RT @thekubieth: 🎁 AMAZING WL GIVEAWAY 🎁

🏆 20x Winner WL

Own your football museum ⚽️ 

To Enter🎫

1️⃣ RT + Like
2️⃣ Follow me &amp; @GolGoals…",en,1594915091904102401,962582928906579969,['1594915091904102401'],2022-11-22T04:46:04.000Z
RT @kaiyun830: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  When you feel like hope is gone， look inside you and search your soul。 you will find a hero…,en,1594900345494196224,962582928906579969,['1594900345494196224'],2022-11-22T03:47:28.000Z
"RT @thekubieth: 🎁 OG GIVEAWAY 🎁

Giveaway 100 OG roles! 🔮

To enter 🎫 

1️⃣ Register https://t.co/9nBQhjHIZg
2️⃣ Follow me &amp; @lines_communi…",en,1594872698072612864,962582928906579969,['1594872698072612864'],2022-11-22T01:57:37.000Z
"RT @xtinaxminaj: You are not a rapper, you are a READER! @Latto",en,1594860157082771458,962582928906579969,['1594860157082771458'],2022-11-22T01:07:47.000Z
"RT @TheshopNFT: Secure your #whitelist  spots

#MintingSoon #TheShopNFT #NFT #OpenSeaNFT #cryptocurrecy https://t.co/zxv0l0k2O6",en,1594816512983937024,962582928906579969,['1594816512983937024'],2022-11-21T22:14:21.000Z
"RT @PGN_COL: Si desaparece la posibilidad de investigar disciplinariamente a los funcionarios de elección popular, lo que entrará a regir e…",es,1594783672904912914,962582928906579969,['1594783672904912914'],2022-11-21T20:03:51.000Z
RT @XENSAMS: Boom💥A Moment Of Xen 🔵Ep 85 And On A roll🎬@iHeartRadio @710WOR Ft. @kathyireland @AmyKennedy715 @kennedyforum✅ @animocabrands…,en,1594742291012677632,962582928906579969,['1594742291012677632'],2022-11-21T17:19:25.000Z
"RT @SoLinusx: 📍Project @OracleRacers #Giveaway 

Prize🎁:
🏅10x #FreeMint NFTs of OracleRacers
🏆 1x $5 $USDT 💵

🎲Enter:
☑️Follow @OracleRacer…",en,1594724405602619395,962582928906579969,['1594724405602619395'],2022-11-21T16:08:21.000Z
"RT @KimEdie6: w2 ""Have the rabbits, all of them,""😩🐬🍛 #寸止 #聊骚 #恋足 #视频 #肉丝 #磕炮 #女S #反差 #裸聊 https://t.co/c7ZepWZ7JW",en,1594687881502654464,962582928906579969,['1594687881502654464'],2022-11-21T13:43:13.000Z
"RT @Babatoni10: 🏆Dünya Kupası Tüm Hızıyla Devam Ediyor #Marsbahis’e gel Dünya Kupası Heyecanına Katıl

✅https://t.co/KYGL8X4GjV

#MarsBet h…",tr,1594669608522637313,962582928906579969,['1594669608522637313'],2022-11-21T12:30:36.000Z
