created_at,geo,id,author_id,lang,text,edit_history_tweet_ids
2022-11-22T21:47:30.000Z,{'place_id': 'ecdf2813e684c066'},1595172141993000966,1550670124784427009,en,Lilo and Stitch ❤️ @LaciMarieKnight @HeatherFidler2 https://t.co/FmEtKVD0fb,['1595172141993000966']
2022-11-22T21:17:18.000Z,,1595164543692333056,1550670124784427009,en,"RT @JohnnaCrider1: Awesome write up on the Twitter CSE issue and of Elon making positive changes on this app, @elizableu 

Eliza’s op-ed in…",['1595164543692333056']
2022-11-22T21:00:42.000Z,,1595160365457080320,1550670124784427009,en,RT @EvaFoxU: Robert Kiyosaki still maintains a bullish outlook on Bitcoin and Ethereum despite the cryptocurrency market crisis caused by t…,['1595160365457080320']
2022-11-22T20:44:06.000Z,,1595156189784182786,1550670124784427009,en,RT @SpaceX: Watch Falcon 9 launch Dragon to the @space_station → https://t.co/oXa4P2AWg7  https://t.co/uEVL1rgljV,['1595156189784182786']
2022-11-22T20:41:20.000Z,,1595155491403223040,1550670124784427009,und,@EvBrutal @elonmusk @allEVehicles @thirdrowtesla @MaxPinelli @TSLAfanboy @TslaCC @TSLAFanMtl @DirtyTesLa @Alwinart @slye @ajtourville @brookec_4 @SantoroSystems @EvaFoxU ❤️,['1595155491403223040']
2022-11-22T19:52:43.000Z,,1595143257415380994,1550670124784427009,en,"RT @AJamesMcCarthy: Here’s a 4K image of the moon captured using two telescopes and two cameras, with both detail and color pushed to the e…",['1595143257415380994']
2022-11-22T19:16:18.000Z,,1595134090914635777,1550670124784427009,en,"RT @TIME: ""FTX is a critical opportunity for the government to get it right,"" writes Aaron Klein. ""It is critical that the government use e…",['1595134090914635777']
2022-11-22T19:15:52.000Z,,1595133984899764225,1550670124784427009,en,"RT @WholeMarsBlog: If you're trying Tesla Full Self-Driving Beta for the first time, it's important to remember that it will at some point…",['1595133984899764225']
2022-11-22T19:11:41.000Z,,1595132931609354240,1550670124784427009,en,@JohnnaCrider1 Me either.,['1595132931609354240']
2022-11-22T18:56:39.000Z,,1595129146367422464,1550670124784427009,en,"RT @EvaFoxU: Tesla Model Y Performance may soon receive the long-awaited Track Mode. Elon Musk wrote that “it's coming,” giving hope for it…",['1595129146367422464']
2022-11-22T18:45:47.000Z,,1595126412452974592,1550670124784427009,en,RT @TeslaCharging: 40k Superchargers around the world — and counting https://t.co/w6tShTkwPA,['1595126412452974592']
2022-11-22T18:32:03.000Z,,1595122957256650752,1550670124784427009,und,@mayemusk @SpaceX ❤️,['1595122957256650752']
2022-11-22T18:32:00.000Z,,1595122944597905408,1550670124784427009,und,RT @mayemusk: 🤗🤗🤗 @SpaceX #Starlink 👏👏👏,['1595122944597905408']
