edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595134309391704065'],805968320042151936,en,@LlJuju2022 Nah. ‘Epic tales of a epic woman.’,1595134309391704065,2022-11-22T19:17:10.000Z
['1595134063316111360'],805968320042151936,en,"@MirabowMistress Yes. I’d rent it out to help cover costs until ready to move there, but if I had my own place in Tas, I’d bd there sooner rather than later",1595134063316111360,2022-11-22T19:16:11.000Z
['1595133493821861888'],805968320042151936,en,@LlJuju2022 You need to write a book,1595133493821861888,2022-11-22T19:13:55.000Z
['1595024078229983233'],805968320042151936,en,@LyleShelton Australia’s ‘freedom of expression’ doesn’t cover slander or hate speech.,1595024078229983233,2022-11-22T11:59:09.000Z
['1595022159159640064'],805968320042151936,qme,@tigertuffmark https://t.co/YHulqzUkfT,1595022159159640064,2022-11-22T11:51:31.000Z
['1595002892317966336'],805968320042151936,en,"@Jan41475593 @davidakaclean @davidbewart @macsween_prue @billshortenmp @AustralianLabor That wouldn’t be employment, it would be servitude",1595002892317966336,2022-11-22T10:34:57.000Z
['1595002719336628229'],805968320042151936,en,"@macsween_prue @billshortenmp @AustralianLabor If employers cannot pay their staff adequate wages for work, then maybe they should do the work themselves or close. An employers biggest assets is employees. Not profits.",1595002719336628229,2022-11-22T10:34:16.000Z
['1594816533619871745'],805968320042151936,en,"@lesstenny Why isn’t more being spoken about the preselected Lib candidates. Church trying to infiltrate, racist remarks at booths, sexual assault charges….",1594816533619871745,2022-11-21T22:14:26.000Z
['1594813271043100672'],805968320042151936,en,@Leo_Puglisi6 @ameliaelizalde Depends on the season. In a couple of weeks it’ll end about 7.,1594813271043100672,2022-11-21T22:01:28.000Z
['1594812934030598152'],805968320042151936,en,@Mbremith @macsween_prue @AlboMP How else would Libs make money? That’s their thing.,1594812934030598152,2022-11-21T22:00:08.000Z
['1594812552869216257'],805968320042151936,en,@LlJuju2022 Happy birthday Miss Wonderful,1594812552869216257,2022-11-21T21:58:37.000Z
['1594769946096988166'],805968320042151936,en,"@PeteJMcGill @tigertuffmark Nah, just a bunch of burners with copy &amp; paste as a skill on their resume",1594769946096988166,2022-11-21T19:09:19.000Z
['1594769648171757568'],805968320042151936,en,@cyberrage @tigertuffmark 😂😂 that is glorious! #DanTheMan,1594769648171757568,2022-11-21T19:08:08.000Z
['1594483745150885888'],805968320042151936,en,"Trying to do the right thing by Centrelink requires an entire day set aside because they take hours to answer thier calls. I understand they deal with a lot of people, but they could easily reduce unemployment and improve customer service at the same if they really wanted to.",1594483745150885888,2022-11-21T00:12:03.000Z
['1593718724389134336'],805968320042151936,en,"@August_West_GD @Mizzoh66 @ask_aubry Mark Twain, creating fan girls even today",1593718724389134336,2022-11-18T21:32:08.000Z
['1593718521611288576'],805968320042151936,en,@LlJuju2022 Did Mr Muskstick mix his Twitter and only fans accounts up?,1593718521611288576,2022-11-18T21:31:20.000Z
['1593718311157583872'],805968320042151936,en,"@ask_aubry I’m not usually a supporter of the death penalty, but this fvcker…..",1593718311157583872,2022-11-18T21:30:29.000Z
['1593717922450444288'],805968320042151936,en,@LlJuju2022 Wtf did I miss,1593717922450444288,2022-11-18T21:28:57.000Z
['1593717803055390720'],805968320042151936,en,"@addcount @LlJuju2022 I don’t know if I find this hysterical, or horrifying.",1593717803055390720,2022-11-18T21:28:28.000Z
['1593717461261905921'],805968320042151936,tl,@RobertArnol @MadScientistFF The bun has ICING! Dafuq? 🤮,1593717461261905921,2022-11-18T21:27:07.000Z
['1593716970158903297'],805968320042151936,en,@elonmusk… dude. What the actual fuck are you doing? Twitter was working. It was a functioning societal tool. And you broke it. Why don’t you let people enjoy things?,1593716970158903297,2022-11-18T21:25:10.000Z
['1593464761726836736'],805968320042151936,en,@MoistenedTart @OlgaMolloy5 Not in my experience. I had 3 that went straight to walking. One has a different learning style but no difficulties once we figured that out.,1593464761726836736,2022-11-18T04:42:58.000Z
['1593464327922589699'],805968320042151936,en,"@MoistenedTart The ones that did started about 5-6 months except my eldest he was determined at 4 months to chase the cat. They all started walking a few weeks later, except the eldest because he enjoyed chasing the cat. He started walking at 10 months",1593464327922589699,2022-11-18T04:41:15.000Z
['1593105920963547136'],805968320042151936,qme,@MoistenedTart https://t.co/1HbM47Od64,1593105920963547136,2022-11-17T04:57:04.000Z
['1593029760267190273'],805968320042151936,en,"@macsween_prue @AlboMP They’d probably also love coal mines to vanish into thin air and not disrupt the environment, but then you would harp on (&amp; on &amp; on) about ‘we need coal! We can’t cater to do-gooders! Climate change hoax! It’s all lies!’ So you might understand your lack of credibility here.",1593029760267190273,2022-11-16T23:54:26.000Z
['1592594162771427328'],805968320042151936,en,@GailAnnStewart @MoistenedTart @Julieinaz1 But they do speak for reality..,1592594162771427328,2022-11-15T19:03:32.000Z
['1592415956936298497'],805968320042151936,en,@RossBeale7 @AngeliqueSuzan1 @CaroDiRusso And NO it was wasn’t due to a ‘medical reason’ but rather by choice.,1592415956936298497,2022-11-15T07:15:24.000Z
['1592415703600345088'],805968320042151936,en,"@RossBeale7 @AngeliqueSuzan1 @CaroDiRusso I’m a cis woman who hasn’t used them for over 2 years. And I’m only 42. Like every incredibly large demographic, there’s a wide variety of us within.",1592415703600345088,2022-11-15T07:14:24.000Z
['1592415377614868480'],805968320042151936,en,@AngeliqueSuzan1 @CaroDiRusso And some trans men too.,1592415377614868480,2022-11-15T07:13:06.000Z
