text,lang,id,author_id,edit_history_tweet_ids,created_at,withheld
RT @ck13novisad: VAŽNO: Sud je doneo presudu po kojoj se usvaja zahtev https://t.co/N72lojQFTm i obavezuje udruženje “Omladinski centar CK1…,und,1595134492070776832,2414872573,['1595134492070776832'],2022-11-22T19:17:53.000Z,
RT @znamodanedamo: Zbog poslednjih izjava predstavnika vlasti na čelu sa predsednikom i predstavnika kompanije Rio Sava na čelu sa vlasnico…,und,1595134374433132544,2414872573,['1595134374433132544'],2022-11-22T19:17:25.000Z,
RT @znamodanedamo: AŽURIRANI ZAHTEVI: Tražimo ostavku predsednika Republike Srbije; ostavku Vlade Republike Srbije; raspuštanje Skupštine R…,und,1595134352744407040,2414872573,['1595134352744407040'],2022-11-22T19:17:20.000Z,
"RT @culturaltutor: The small city of Lugo in northern Spain has a special secret.

It is the *only* place in the world to have a complete s…",en,1595133908240437249,2414872573,['1595133908240437249'],2022-11-22T19:15:34.000Z,
RT @boza60: Evo ovako to realno izgleda. https://t.co/liiNmsUqvP,und,1595131461794861056,2414872573,['1595131461794861056'],2022-11-22T19:05:51.000Z,
"RT @vojvodaiserdar: Jos jedna skupocena slika iz opusa Paje Jovanovica ""ukrotitelj zmija"". Ne bih trosio rijeci opisujuci fantasticnost i r…",und,1595127795352768514,2414872573,['1595127795352768514'],2022-11-22T18:51:17.000Z,
"RT @MajkuVamBoziju: Religion is not a tradition, religion is a disease. https://t.co/E3lrxE8ROZ",en,1595097403971244032,2414872573,['1595097403971244032'],2022-11-22T16:50:31.000Z,
"RT @gunsnrosesgirl3: Carefully dismantling this 100 year old Japanese house, you can see exquisite traditional joinery methods. 

This whol…",en,1595097209535696898,2414872573,['1595097209535696898'],2022-11-22T16:49:44.000Z,
RT @vojvodaiserdar: Slika Paje Jovanovica najskluplja je slika jednog srpskog slikara.(530.000€)  Iznova i iznova uvijek odusevi posmatranj…,und,1595096864109608962,2414872573,['1595096864109608962'],2022-11-22T16:48:22.000Z,
"RT @lepa_sargarepa: @claret2022 @Western_Trad Ovo nije primer brutalizma, ovo je seljačka obična fasada. Zgrada je oštećena u ratu, a njeno…",und,1595090412645105668,2414872573,['1595090412645105668'],2022-11-22T16:22:44.000Z,
RT @Western_Trad: Architectural terrorism. https://t.co/BiKGqrSm1T,en,1595089897198583808,2414872573,['1595089897198583808'],2022-11-22T16:20:41.000Z,
"RT @VeljkoJozic: Emili Dikinson objavila je tokom života desetak pesama, a u rukopisu ih je sačuvano oko 1800, koje su objavljene nakon nje…",und,1595089569967656960,2414872573,['1595089569967656960'],2022-11-22T16:19:23.000Z,
"RT @MJasenovac: Бранко Тепић, дјечак кога, на иконичној фотографији Жоржа Скригина,носи његова мајка Милица Тепић преминуо је јуче. Нека га…",sr,1595089066567122946,2414872573,['1595089066567122946'],2022-11-22T16:17:23.000Z,
"RT @Gloda_MR: Dobro Jutro, volite se!🥰😃🍀☕️🎶♥️🌻🤗😘 https://t.co/VthAHlze5W",pl,1595088195573940224,2414872573,['1595088195573940224'],2022-11-22T16:13:55.000Z,
