text,lang,id,author_id,edit_history_tweet_ids,created_at
RT @Newzroom405: RAMAPHOSA ADRESSES BRITISH PARLIAMENT https://t.co/yfbdC6EBHp,en,1595141390199304193,357668552,['1595141390199304193'],2022-11-22T19:45:18.000Z
@Jer1dah @Newzroom405 @Lord_Aphane Lol,und,1595134878596870146,357668552,['1595134878596870146'],2022-11-22T19:19:25.000Z
"Gigaba, Zuma Snr, Zuma Jr, (ex) Zuma, Kubayi and Ace were all loudly proclaiming their intention to run for #ANC top 6 positions. None of them made the initial cut. Maybe their friends will nominate them from the floor at the conference https://t.co/auVcXt1tHZ",en,1595134524463403008,357668552,['1595134524463403008'],2022-11-22T19:18:01.000Z
"The #ANC nominations: Phala-Phala vs Digital Vibes, Nomvula coming back from the dead, Stan bringing boredom into the Chairpersonship while Zuma was ignored for same. Mashatile on the ascendancy...no room for NDZ, DD, Kubayi, Dudu or Ace...but with ""lobbying"", asazi! https://t.co/fjG193lJnC",en,1595014570921590785,357668552,['1595014570921590785'],2022-11-22T11:21:22.000Z
"RT @TansuYegen: FIFA World Cup Qatar 2022 Fireworks Opening

 https://t.co/jRMd18vwKx",en,1594622300061683712,357668552,['1594622300061683712'],2022-11-21T09:22:37.000Z
Germany for the 6th https://t.co/27MMUOnzwv,en,1594336892111257600,357668552,['1594336892111257600'],2022-11-20T14:28:31.000Z
Wow! So untouchable people can now be touched? Her name is always in the headlines for dodgy deals but never in the gravy... https://t.co/WK3LaSieSn,en,1594300400735117312,357668552,['1594300400735117312'],2022-11-20T12:03:30.000Z
RT @Mthobysy: @News24 @News24Arts Afriforum is opening a case against her tomorrow morning 😂😂😂😂,en,1593351992994418692,357668552,['1593351992994418692'],2022-11-17T21:14:52.000Z
"RT @News24: Charlize Theron opened up about her Afrikaans heritage 

""There's about 44 people still speaking it. It's definitely a dying la…",en,1593351772957032448,357668552,['1593351772957032448'],2022-11-17T21:14:00.000Z
"RT @ForGoodZA: 📈 Here's how @alanwinde is losing the fight against crime👇

🔘There's a murder every 2.5 hours
🔘Cape Town is the world's 11th…",en,1592460525258297345,357668552,['1592460525258297345'],2022-11-15T10:12:30.000Z
RT @CexiliaQuiroga: @keatingssixth Honestly the Spanish did not get enough credit for inventing colonization. The British and French just f…,en,1592459243613204480,357668552,['1592459243613204480'],2022-11-15T10:07:24.000Z
"RT @lunger42: @keatingssixth Yeah, people think Mexico and southern America just randomly speak Spanish, and Brazil just happens to speak P…",en,1592459008363102208,357668552,['1592459008363102208'],2022-11-15T10:06:28.000Z
RT @ewnupdates: CYRIL RAMAPHOSA: B-BBEE is here to stay https://t.co/atq2X0GAs9 https://t.co/xwmwdTd891,en,1592059116469510144,357668552,['1592059116469510144'],2022-11-14T07:37:27.000Z
"@News24 @jsteenhuisen Lol, the delusions!",en,1592059052393390080,357668552,['1592059052393390080'],2022-11-14T07:37:11.000Z
Hehehehehehe... https://t.co/OEmi6X7l6o,tl,1591072632748720130,357668552,['1591072632748720130'],2022-11-11T14:17:31.000Z
@ArabileG Advert of the year!,en,1591072500640784385,357668552,['1591072500640784385'],2022-11-11T14:16:59.000Z
