id,created_at,text,geo,lang,author_id,edit_history_tweet_ids
1595161893261684738,2022-11-22T21:06:46.000Z,@TweetSobeya Best Wishes 🎂,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595161893261684738']
1595160477897986049,2022-11-22T21:01:09.000Z,RT @NdigboTweets: “We request that you respond to this Letter by Legal Mail within 3 days of the receipt of this Letter. In the event that…,,en,1509538072588865536,['1595160477897986049']
1595156990287749120,2022-11-22T20:47:17.000Z,RT @ChinasaNworu: Imagine how Fulani people are causing problem in some communities in Enugu in order to invite Nigerian military to invade…,,en,1509538072588865536,['1595156990287749120']
1595155977703403520,2022-11-22T20:43:16.000Z,@fortunateozuyak Best Wishes 🎂,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595155977703403520']
1595155585598885889,2022-11-22T20:41:42.000Z,"RT @ChinasaNworu: Let this be true so #Biafraland can have  rest from oil theft from #Nigerian northerners .
@USinNigeria @real_IpobDOS @OP…",,en,1509538072588865536,['1595155585598885889']
1595136043149570048,2022-11-22T19:24:03.000Z,RT @ThisIsNot1967_: #EnuguunderSiege,,qht,1509538072588865536,['1595136043149570048']
1595135455242354689,2022-11-22T19:21:43.000Z,"@Tifetemi Just 2
And as Twins
A Boy and A Girl",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595135455242354689']
1595134252831903744,2022-11-22T19:16:56.000Z,"RT @BiafranTweets: Dear Biafran Activists &amp; Lovers of Freedom, It's #TweetTuesday, an Hashtag that Unified the Voices of Biafrans for a Jus…",,en,1509538072588865536,['1595134252831903744']
1595134117410406400,2022-11-22T19:16:24.000Z,"RT @EmekaGift100: Don't forget that we raised this alarm, Today Enugu has been invaded by Fulani militia, killing dozens of unarmed Biafran…",,en,1509538072588865536,['1595134117410406400']
1595132927829897216,2022-11-22T19:11:40.000Z,@omo_olobikan I had my first ever  Relationship This Year,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595132927829897216']
1595132364367486977,2022-11-22T19:09:26.000Z,"RT @EmekaGift100: Nigeria won’t know peace until Nnamdi Kanu’s release – Actress Rita Edochie 

“The continuous detention of Mazi Nnamdi Ok…",,en,1509538072588865536,['1595132364367486977']
1595132235652349953,2022-11-22T19:08:55.000Z,@Smurlleen Best Wishes 🎂,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595132235652349953']
1595132070401302529,2022-11-22T19:08:16.000Z,@thisisWurlD You guys Collabo is always 🔥,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595132070401302529']
1595131777177497600,2022-11-22T19:07:06.000Z,"@unclemilli_ Over and over again

No long 🧢",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595131777177497600']
1595121161868017666,2022-11-22T18:24:55.000Z,RT @biafra_daily: Memories Of Biafra Can't Be Erased By Removal Of History From Schools' Curriculum. Biafra Can Never Be Defeated And Wiped…,,en,1509538072588865536,['1595121161868017666']
1595119235168362496,2022-11-22T18:17:16.000Z,RT @biafra_daily: https://t.co/wQbKaG9U3D,,zxx,1509538072588865536,['1595119235168362496']
1595111186810314752,2022-11-22T17:45:17.000Z,"@instablog9ja Abeg nothing comes close to meeting my Saviour One on One

No 🧢",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595111186810314752']
1595110492993122304,2022-11-22T17:42:31.000Z,"RT @OmoteBiafra: Mazi Nnamdi Kanu Is A Mystery.

Biafrans are very lucky to have him.",,en,1509538072588865536,['1595110492993122304']
1595110421094354945,2022-11-22T17:42:14.000Z,"@Mbahdeyforyou I hate anything salary

Na bad system make e be like say person dey Manage am here",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595110421094354945']
1595110062099660800,2022-11-22T17:40:49.000Z,"RT @mondayomoaigbe: JUST IN🟩🟦♥️
RELEASE NNAMDI KANU; OR BE READY TO PAY DEARLY FOR NORTHERNS KILLED IN SOUTH EAST ---- NORTHERN YOUTHS THRE…",,en,1509538072588865536,['1595110062099660800']
1595108732006010895,2022-11-22T17:35:32.000Z,"@Alabiy999 1100, 1200",{'place_id': '00dfa50d5c526a40'},und,1509538072588865536,['1595108732006010895']
1595108486224150530,2022-11-22T17:34:33.000Z,"RT @ChinasaNworu: The #US govt should not focus on #Nigeria local election, rather they should focus on #Nigeria govt human rights abuses ,…",,en,1509538072588865536,['1595108486224150530']
1595077990580637696,2022-11-22T15:33:22.000Z,"The dream is not to Marry a Successful Partner, the dream is to be a Successful Partner . 📌",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595077990580637696']
1595064287567155200,2022-11-22T14:38:55.000Z,@aviationish And what's the cause? 🙁,,en,1509538072588865536,['1595064287567155200']
1595063826856267778,2022-11-22T14:37:05.000Z,"RT @NjimeziChidi: 4 corner Enugu is 20mins drive to 82div military barrack &amp; fulnai kidnappers are having a free day, ask the military what…",,en,1509538072588865536,['1595063826856267778']
1595055668880642050,2022-11-22T14:04:40.000Z,@Blisssonn Best Wishes 🎂,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595055668880642050']
1595054369795366912,2022-11-22T13:59:31.000Z,RT @IamIgboblood: #EnuguUnderSeige that's the tweet.,,en,1509538072588865536,['1595054369795366912']
1595047008510922752,2022-11-22T13:30:16.000Z,"Nothing at all.
The only Reason I don't want to join force. I don't want to represent a country that kills its own people. I hate anything with the tag of Green White Green https://t.co/xxR3eyoq6y",{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595047008510922752']
1595044000481923072,2022-11-22T13:18:18.000Z,All I want is Biafra https://t.co/lLlqzJE6EW,{'place_id': '00dfa50d5c526a40'},en,1509538072588865536,['1595044000481923072']
1595043930088898562,2022-11-22T13:18:02.000Z,RT @MadukaOgwueleka: Anyone fighting for Biafra is my friend. I don't care which group he/she belongs to. All I want is Biafra!,,en,1509538072588865536,['1595043930088898562']
1595043785670524933,2022-11-22T13:17:27.000Z,RT @AloyEjimakor: Legal Notice: All media operators must henceforth cease &amp; desist from uttering any publications stating or purporting tha…,,en,1509538072588865536,['1595043785670524933']
