lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1595178104607363076'],15321408,2022-11-22T22:11:11.000Z,I've seen him dream-running a million times but I've never seen this little claw movement before and I 100% believe he's dreaming about scratching now 😭 how is he real https://t.co/sg1HzlvdB8,1595178104607363076
en,['1595177657687494656'],15321408,2022-11-22T22:09:25.000Z,Take #527 at attempting to get this dog's nails routinely trimmed: we're trying out this sandpaper scratch board and look how smart my son is he learned it in like 10 mins 😭 https://t.co/kMOU1KbWVT,1595177657687494656
en,['1595166979492831233'],15321408,2022-11-22T21:26:59.000Z,RT @Myartbytes1: in the city #pixelart https://t.co/xLZ5OSp9mm,1595166979492831233
en,['1595134205964734464'],15321408,2022-11-22T19:16:45.000Z,Not sure if the roastery on cap hill has successfully unionized yet but that must be driving corporate crazy lmao I would love to see them try to shut down that store,1595134205964734464
en,['1595132652725895168'],15321408,2022-11-22T19:10:35.000Z,"This is so gross lmao and their excuse is ""safety""?? I wish we could drive the whole company out of Seattle ghhh https://t.co/0sx5OwFFvt",1595132652725895168
en,['1594758909532590080'],15321408,2022-11-21T18:25:27.000Z,"RT @punished3liza: it's this btw. any time you see people applying completely inappropriate discourse to an anodyne pro-social activity, it…",1594758909532590080
en,['1594516683120840704'],15321408,2022-11-21T02:22:56.000Z,RT @SAMOYEDWAVE: this video is a great litmus test for politics. do you like what you see. well so do i https://t.co/ur01N8NJyw,1594516683120840704
en,['1594433021503242241'],15321408,2022-11-20T20:50:30.000Z,"RT @bigblackjacobin: Wrote about urban crime outrage cycles sparked by elites—specifically landlords, financiers, and tech executives. Thes…",1594433021503242241
en,['1594282169899237378'],15321408,2022-11-20T10:51:04.000Z,"RT @KholdKhaos63: Whoever modeled these female body types in Pokemon Scarlet and Violet, I love you https://t.co/1qhxj4COMR",1594282169899237378
en,['1594080706174414848'],15321408,2022-11-19T21:30:31.000Z,I'm not playing Pokemon but I'm watching Kate play and really appreciating that they added lesbians this time around,1594080706174414848
en,['1593825312810622977'],15321408,2022-11-19T04:35:41.000Z,"RT @TomHarrison19: Mastodon really isn't that complex! When you sign up, simply choose a Guardian Force (GF) to junction. The GF you juncti…",1593825312810622977
en,['1593780511582756864'],15321408,2022-11-19T01:37:39.000Z,RT @elamin88: No shade to all of these Twitter alternatives but they’re all pitching themselves as a home for civil conversation when what…,1593780511582756864
en,['1593778839339282432'],15321408,2022-11-19T01:31:00.000Z,@promenading Babies! Babies! Babies!,1593778839339282432
qme,['1593460066648489984'],15321408,2022-11-18T04:24:19.000Z,@promenading https://t.co/pXSLnTs3QQ,1593460066648489984
zxx,['1593447389310124033'],15321408,2022-11-18T03:33:57.000Z,RT @oldwebgifs: https://t.co/vr2A6yeeNW,1593447389310124033
en,['1593447141317677057'],15321408,2022-11-18T03:32:57.000Z,"RT @TylerJRoney: Well, if this is it, see you guys over here.  #RIPTwitter https://t.co/vP6YY9GVmg",1593447141317677057
en,['1593423970291699713'],15321408,2022-11-18T02:00:53.000Z,When twitter dies idk where I'm gonna talk about my dumb PS1 games lmao shoot,1593423970291699713
