id,created_at,text,lang,author_id,edit_history_tweet_ids
1595194142841360385,2022-11-22T23:14:55.000Z,"RT @NeolithicSheep: By the way lest anyone think I am letting mastodon off easy on TOS stuff, the sole reason I am on a masto server at all…",en,593041454,['1595194142841360385']
1595192330105262080,2022-11-22T23:07:43.000Z,RT @fasc1nate: A demonstration for how silently owls fly vs. other birds. https://t.co/Sd6OQb7h0c,en,593041454,['1595192330105262080']
1595192128837124099,2022-11-22T23:06:55.000Z,This is a prime example of why local elections matter. https://t.co/FvvjDQ79Ux,en,593041454,['1595192128837124099']
1595184860225802240,2022-11-22T22:38:02.000Z,https://t.co/9EepxVnRgk,zxx,593041454,['1595184860225802240']
1595183627591204872,2022-11-22T22:33:08.000Z,"Read a book until I fell asleep. Woke up with one cat on me.

Life is good.",en,593041454,['1595183627591204872']
1595183357503184896,2022-11-22T22:32:04.000Z,"RT @RyanHaecker: ""The earth is degenerating today. Bribery and corruption abound. Children no longer obey their parents, every man wants to…",en,593041454,['1595183357503184896']
1595183182239997957,2022-11-22T22:31:22.000Z,"RT @the_meghaning: Elon Musk called Trent Reznor a ""crybaby"" for deleting his Twitter account. Wil Wheaton then wrote this incisive summary…",en,593041454,['1595183182239997957']
1595182616671551491,2022-11-22T22:29:07.000Z,RT @MrStevenCree: Blew my mind. https://t.co/M3FShuUyQz,en,593041454,['1595182616671551491']
1595139448655990784,2022-11-22T19:37:35.000Z,RT @LizerReal: *stealth mode activated* https://t.co/D5D8HImlk9,en,593041454,['1595139448655990784']
1595139073299349504,2022-11-22T19:36:05.000Z,RT @weirdlilguys: elevator butt https://t.co/q67o9IXcEQ,es,593041454,['1595139073299349504']
1595135757081268224,2022-11-22T19:22:55.000Z,"RT @jimrosecircus1: Don't forget, tonight the moon will visible from earth. The last time this happened was last night. https://t.co/iHhRo9…",en,593041454,['1595135757081268224']
1595133922035531776,2022-11-22T19:15:37.000Z,"@gnuman1979 Appears to be frozen waterfall or spring.

Google image search turned up a couple pages with the same photo but no explanation or location.",en,593041454,['1595133922035531776']
1595132066521546754,2022-11-22T19:08:15.000Z,It's vacation Tuesday. I have done little 2 nothing outside of the basics &amp; playing pirate on my computer game. My new jeans arrived several days early as did the new boots. Christmas shopping for my family is almost done. I'm trying 2 decide on reading/napping or somethign else.,en,593041454,['1595132066521546754']
1595131212296642560,2022-11-22T19:04:51.000Z,"RT @mxdshipwreck: I'm starting to see the ""don't join up with X or Y"" posts starting to circulate, so yeah, if anyone discovers a social me…",en,593041454,['1595131212296642560']
1595129686291804160,2022-11-22T18:58:47.000Z,"RT @jzux: benadryl: oh you’ll go to sleep alright

me: awesome! and then i’ll wake up?

benadryl: in a sense",en,593041454,['1595129686291804160']
1595129421379567616,2022-11-22T18:57:44.000Z,RT @WholesomeMeme: https://t.co/nkwePmpWKs,zxx,593041454,['1595129421379567616']
1595129056445444096,2022-11-22T18:56:17.000Z,"*waves* I was perpetually the, ""If only Sarah would apply herself..."" kid.

I was bored. So, SO bored. I got frustrated with other kids who stumbled over words because i didn't. I got scolded for not looking at my sheet music when I'd memorized what was coming up... 

Le sigh. https://t.co/h0QzVxylNS",en,593041454,['1595129056445444096']
1595128419809132545,2022-11-22T18:53:45.000Z,RT @TheSGTJoker: Yesterday a MAGA Chad Bro come by the office. He noticed that I was a Marine. He asked about my “favorite gun” and was sho…,en,593041454,['1595128419809132545']
1595114939089584129,2022-11-22T18:00:11.000Z,"@MegRaeB My beloved grand uncle was completely LOST when it came to carrying for the house and cooking for himself when my grand aunt was put in memory care. He spent all his time in the barn, the fields, or town board meetings.",en,593041454,['1595114939089584129']
1595114394907992064,2022-11-22T17:58:02.000Z,"RT @johnpavlovitz: For the phobic Christians who came in late...

https://t.co/5p5Jak20NL https://t.co/KcDWZXotVo",en,593041454,['1595114394907992064']
1595113858452295680,2022-11-22T17:55:54.000Z,"RT @ericsmithrocks: Twitter.
Mastodon.
Hive.
Post.

Long ago, the four nations lived together in harmony.",en,593041454,['1595113858452295680']
1595078373390385153,2022-11-22T15:34:53.000Z,RT @FredSchultz35: Intensity personified…😳😏😂🏋️ https://t.co/jKcl6RcStJ,en,593041454,['1595078373390385153']
1595078121836904451,2022-11-22T15:33:54.000Z,RT @Yoda4ever: Those kids are at it again...🚪🔔😂😂 https://t.co/gDewr49mt9,en,593041454,['1595078121836904451']
1595075899644432389,2022-11-22T15:25:04.000Z,RT @EverydayWarren: trolley problem SOLVED https://t.co/GCpYJncNBb,en,593041454,['1595075899644432389']
1595075280397369345,2022-11-22T15:22:36.000Z,RT @WholesomeMeme: https://t.co/PbBwh1RCNK,zxx,593041454,['1595075280397369345']
1595075097966317569,2022-11-22T15:21:53.000Z,"RT @kennedytcooper: Drag Shows are not inherently sexual but Child Beauty Pageants 100% are, hope this helps!",en,593041454,['1595075097966317569']
1595059924983508994,2022-11-22T14:21:35.000Z,"I'm a meditator. I didn't go through this intensity of training, but this thread is incredibly enlightening. https://t.co/hlvrCKdzNo",en,593041454,['1595059924983508994']
1595059502839201793,2022-11-22T14:19:54.000Z,RT @amandadeibert: Being a freelancer is fun because I am owed ten thousand dollars in OVERDUE invoices from more than one company and it’s…,en,593041454,['1595059502839201793']
1595059376796073990,2022-11-22T14:19:24.000Z,"RT @AJamesMcCarthy: I TOOK A PHOTO OF MARS! I stayed up til the wee hours this morning when Mars was directly overhead, and used my 11"" tel…",en,593041454,['1595059376796073990']
1595056475659206656,2022-11-22T14:07:53.000Z,"RT @drjenwolkin: Kids who are told they are “too much/sensitive” 

are adults who repress/suppress emotions and suffer in silence.",en,593041454,['1595056475659206656']
1595054688327680004,2022-11-22T14:00:47.000Z,RT @RevDaniel: It’s the “hunter” mentality that I don’t understand amongst evangelicals online.  I disagree with and despise so much of wha…,en,593041454,['1595054688327680004']
1595054248525713409,2022-11-22T13:59:02.000Z,"RT @lizardschwartz: Just saw a cat take a (really shit, thankfully) jump &amp; swipe at a Coal Tit on the feeders. 

Unbelievably angry that I…",en,593041454,['1595054248525713409']
1595052056741543943,2022-11-22T13:50:19.000Z,"RT @Saskajanet: My friends, we may have reached peak borb
(Golden crowned kinglet) https://t.co/86popgn21y",en,593041454,['1595052056741543943']
1595051730093449217,2022-11-22T13:49:01.000Z,RT @image_origins: https://t.co/FBRVy48ALO,zxx,593041454,['1595051730093449217']
1595051413419302913,2022-11-22T13:47:46.000Z,RT @FredSchultz35: Don’t mind me…do whatcha gotta do. 😏🥴🤣🐶 https://t.co/kX7mVIsrCV,en,593041454,['1595051413419302913']
1595051093884829696,2022-11-22T13:46:30.000Z,RT @CATBRAINCELL: https://t.co/ytWxCy9opl,zxx,593041454,['1595051093884829696']
1595050838569127941,2022-11-22T13:45:29.000Z,RT @tashpocket: pls keep your lactose intolerant friends in your prayers this week. they finna make some horrible decisions,en,593041454,['1595050838569127941']
1595050110127308800,2022-11-22T13:42:35.000Z,RT @ThirdAngie: https://t.co/AcxTLNoEwO,zxx,593041454,['1595050110127308800']
1595050074362585088,2022-11-22T13:42:26.000Z,"RT @rulesobeyer: ""I was born in 1994""

- boring
- heard it before
- tells you nothing

""I was born in the year of Cotton Eye Joe""

- arouse…",en,593041454,['1595050074362585088']
1595047910319837186,2022-11-22T13:33:51.000Z,@Gromit801 Bobcats and lynx both have tufts and face stripes. I was judging more by size and color.,en,593041454,['1595047910319837186']
1594831058666942465,2022-11-21T23:12:09.000Z,"@steve8282 I'd say, ""Let it serve as a warning.""",en,593041454,['1594831058666942465']
1594828208905625620,2022-11-21T23:00:50.000Z,RT @Bodegacats_: https://t.co/Iu4HJ7wZrw,zxx,593041454,['1594828208905625620']
1594827985634435078,2022-11-21T22:59:56.000Z,"RT @RevDaniel: I’m religious. I’m a Christian. I’m a pastor. 
And let me say this…

You do not have to respect anyone’s religious beliefs t…",en,593041454,['1594827985634435078']
1594826695000952832,2022-11-21T22:54:49.000Z,"@cube_girl Dunno. I've never watched it, only have seen the memes.

First episode had me uncomfortable.",en,593041454,['1594826695000952832']
1594826201067327488,2022-11-21T22:52:51.000Z,@TheOneTrueFlora @KimMannix Where is your Instagram?!,en,593041454,['1594826201067327488']
1594825601956945931,2022-11-21T22:50:28.000Z,RT @WholesomeMeme: https://t.co/9m9B1PzOtm,zxx,593041454,['1594825601956945931']
1594825511833829376,2022-11-21T22:50:07.000Z,RT @MyFrogCroaked: One of our chickens is not like the others…🤔 https://t.co/oQCgN1HbUg,en,593041454,['1594825511833829376']
1594825103157886976,2022-11-21T22:48:29.000Z,"That moment when you notice you always type ""Mom"" in capitalized form but ""dad"" in dimunitive form.",en,593041454,['1594825103157886976']
1594824873238487041,2022-11-21T22:47:34.000Z,"RT @ElliottBlackwe3: I love ""arbotecture"" which was inspired by landscape engineer Arthur Wiechula exploration of arboreal landscapes in ar…",en,593041454,['1594824873238487041']
1594823810712313865,2022-11-21T22:43:21.000Z,RT @ClassADude: Elon rn https://t.co/YQQQFV9IKT,ca,593041454,['1594823810712313865']
1594823434256752646,2022-11-21T22:41:51.000Z,"I have called all the locations which I visited today and nobody has had a pair of leather gloves turned in.

Le sigh.",en,593041454,['1594823434256752646']
