lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1595134501424103425'],949863390263984128,2022-11-22T19:17:55.000Z,"Hunter Barnhart, TE, from @TNTechFootball,  11 receptions for 243 yds, 22.7 yds per reception, 1 TD in just 7 games. He missed 4 games due to injury. He's a true TE that is a solid run blocker too! @OVCSports @TTU_CoachA @CoachBertBrowne @CoachWesSatt 
#givemeabreak https://t.co/WPs0718OYh",1595134501424103425
en,['1594791854331072514'],949863390263984128,2022-11-21T20:36:22.000Z,@jimmy_enoch @coachcraw4d @Coach_Ray_ @Mike_Clowney @cnfootball @SCHS_OWLS_FB @mdyer33lb @OnTopAthletics Congratulations Cowboy Jimbo! Carson Newman is getting a steal! I'm so happy for you man and I'm really proud of you!,1594791854331072514
en,['1594357674992279552'],949863390263984128,2022-11-20T15:51:06.000Z,"RT @VandyFootball: DORES DUB!

#AnchorDown https://t.co/HQfh52Q5VC",1594357674992279552
en,['1594174312176558081'],949863390263984128,2022-11-20T03:42:29.000Z,"RT @FSUFootball: After our 6th straight 200-yard rushing game, this rock break was for the whole o-line

#NoleFamily | #KeepCLIMBing https:…",1594174312176558081
en,['1594107235105316864'],949863390263984128,2022-11-19T23:15:56.000Z,"RT @TNTechFootball: TOUCHDOWN, GOLDEN EAGLES! Hunter Barnhart with the 21-yard TD catch from Jeremiah Oatsvall and Hayden Olsen ties Nick M…",1594107235105316864
zxx,['1592663132706865154'],949863390263984128,2022-11-15T23:37:35.000Z,RT @SCHS_OWLS_FB: https://t.co/MKqGwQ0L3E https://t.co/58LBrHS2co,1592663132706865154
en,['1591105894989066240'],949863390263984128,2022-11-11T16:29:41.000Z,Yes sir! Keep 'em coming man! Proud of you! https://t.co/d3h4lD0A6d,1591105894989066240
en,['1588962075077791745'],949863390263984128,2022-11-05T18:30:54.000Z,@RevDenton @EliDenton5 @valley_fb Congratulations!,1588962075077791745
en,['1588961974771388416'],949863390263984128,2022-11-05T18:30:30.000Z,@PSexton1995 Awesome! Congratulations!,1588961974771388416
en,['1588627214190321664'],949863390263984128,2022-11-04T20:20:17.000Z,"RT @TTUSoccer: BEAST MODE: ACTIVATED

We are ready for semifinals today...are you?

See you at Tech Soccer Field at 4 PM for our match agai…",1588627214190321664
en,['1588333709379440642'],949863390263984128,2022-11-04T00:54:00.000Z,"RT @CourierCarthage: Class 3A H.S. Football State Playoff Opener 
Smith Co. Owls (9-1) host Sycamore War Eagles
Support the Owls at home th…",1588333709379440642
en,['1588329349102866433'],949863390263984128,2022-11-04T00:36:41.000Z,RT @daveyobrien: Time to get in the game and VOTE! #NoleFamily--like your QB’s photo on the original posts from the official @daveyobrien a…,1588329349102866433
zxx,['1588163008726847488'],949863390263984128,2022-11-03T13:35:42.000Z,RT @SCHS_OWLS_FB: https://t.co/TFA9fwty2b,1588163008726847488
zxx,['1587500700682035202'],949863390263984128,2022-11-01T17:43:56.000Z,RT @SCHS_OWLS_FB: https://t.co/mpxwC9YZJ4,1587500700682035202
en,['1587500629894828032'],949863390263984128,2022-11-01T17:43:39.000Z,@jimmy_enoch @CoachCutshaw @mdyer33lb @SCHS_OWLS_FB @OnTopAthletics Congratulations!,1587500629894828032
zxx,['1586224938758742016'],949863390263984128,2022-10-29T05:14:30.000Z,RT @SCHS_OWLS_FB: https://t.co/ptPG1K4mWc,1586224938758742016
en,['1586066285972008960'],949863390263984128,2022-10-28T18:44:04.000Z,@mikekeeton54 Yes we did!,1586066285972008960
en,['1586061123081494528'],949863390263984128,2022-10-28T18:23:33.000Z,@80sSportsNStuff Primetime!! https://t.co/j9kxn7piYk,1586061123081494528
en,['1586058023877115904'],949863390263984128,2022-10-28T18:11:15.000Z,I've got the BEST!! https://t.co/yFQGoP3CFS https://t.co/JiKCxtPVVh,1586058023877115904
art,['1586053301849980928'],949863390263984128,2022-10-28T17:52:29.000Z,👇💯 https://t.co/qWU43ZK6lv,1586053301849980928
en,['1585593091284783104'],949863390263984128,2022-10-27T11:23:46.000Z,@jimmy_enoch @coachcraw4d @Coach_Ray_ @Mike_Clowney @mdyer33lb @SCHS_OWLS_FB @OnTopAthletics Congratulations Jimbo! I'm happy for you and proud of you!,1585593091284783104
art,['1583253965285642240'],949863390263984128,2022-10-21T00:28:55.000Z,👇💯 https://t.co/AZv9J8eGF6,1583253965285642240
art,['1581345375063273472'],949863390263984128,2022-10-15T18:04:52.000Z,👇💯 https://t.co/I9Z9nXxucp,1581345375063273472
qam,['1580981402929360896'],949863390263984128,2022-10-14T17:58:34.000Z,"@craigroh @odellhaggins 
@kipklein_",1580981402929360896
en,['1578821422570315776'],949863390263984128,2022-10-08T18:55:34.000Z,@mikekeeton54 @CoachTLambert Miss you too Coach!,1578821422570315776
en,['1578801897527717890'],949863390263984128,2022-10-08T17:37:59.000Z,"RT @TNTechFootball: GAMEDAY IN CAPE GIRARDEAU! The Golden Eagles take on Southeast Missouri in an OVC showdown at 2 p.m.
STATS: https://t.c…",1578801897527717890
en,['1578801823762509824'],949863390263984128,2022-10-08T17:37:42.000Z,@CoachTLambert Miss you too man!,1578801823762509824
en,['1578801360887169024'],949863390263984128,2022-10-08T17:35:51.000Z,"@CoachTLambert A great Coach told me several times ""You can't fake passion!""",1578801360887169024
en,['1576701137700257793'],949863390263984128,2022-10-02T22:30:19.000Z,RT @TNTechFootball: Congratulations to our Week 4 Players of the Game VS UT Martin - offense-@huntercolt33; defense-@Hudson_Tucker22; speci…,1576701137700257793
en,['1576273286417174528'],949863390263984128,2022-10-01T18:10:11.000Z,"RT @TNTechFootball: GAMEDAY IN MARTIN! The Golden Eagles take on the Skyhawks in Tech's OVC opener!
STATS: https://t.co/n3qby1MiaJ
AUDIO: h…",1576273286417174528
