text,lang,author_id,created_at,id,edit_history_tweet_ids
"RT @dolcegabbana: Mia Goth and @DannyRamirez wore #DolceGabbana to @TheAcademy's 13th Governor Awards in LA.
Styled by Ryan Hastings and Wa…",en,2831226093,2022-11-22T21:51:48.000Z,1595173226153652225,['1595173226153652225']
RT @ArmaniExchange: Head-turning style: https://t.co/EM0kMGR03Z https://t.co/6RSSdaviRN,en,2831226093,2022-11-22T21:51:36.000Z,1595173176207675401,['1595173176207675401']
"RT @HomeAdore: La Extraviada by Em-Estudio

https://t.co/9sEw1xnu4x 

#homedecor #architecture #interiordesign #home https://t.co/vIpUTnk3em",es,2831226093,2022-11-22T21:47:03.000Z,1595172029044559885,['1595172029044559885']
RT @LouisVuitton: #AnadeArmas wearing #LouisVuitton to the #GovernorsAwards2022. The actress wore a black and white velvet embroidered dres…,en,2831226093,2022-11-22T21:46:51.000Z,1595171980474458112,['1595171980474458112']
RT @LAGOS_Jewelry: Charming indeed ✨ Create a piece that is uniquely yours with our new diamond initial charm pendants. Which letters have…,en,2831226093,2022-11-22T21:46:37.000Z,1595171919984267279,['1595171919984267279']
RT @Dior: Actresses Michelle Williams and @ZoeInTheCities wore #DiorCouture Fall-Winter 2022 dresses by Maria Grazia Chiuri at the Academy'…,en,2831226093,2022-11-22T21:44:22.000Z,1595171354726338560,['1595171354726338560']
"RT @McQueen: A one-shouldered silver sequin and crystal comet embroidery dress with a slashed bodice and asymmetric drape skirt, from the n…",en,2831226093,2022-11-22T21:44:16.000Z,1595171328000110592,['1595171328000110592']
"RT @luxuryhomemag: LHM Hawaii 
Tropical Retreat Center in beautiful Upcountry Maui
https://t.co/FYAtdredgm
Presented by Neal Norman | Hawai…",en,2831226093,2022-11-22T21:44:10.000Z,1595171305283850262,['1595171305283850262']
"RT @HomeAdore: Madrona House by Wittman Estes

https://t.co/89Ldp0alHn 

#decor #architecture #interiordesign #home https://t.co/3HwelzIqSW",en,2831226093,2022-11-22T21:44:06.000Z,1595171286786789377,['1595171286786789377']
"RT @HomeAdore: Loft Sangervasio by Massimo Adiansi Architetto

https://t.co/g8lyo6JjH4 

#decor #interiordesign #architecture #home https:/…",it,2831226093,2022-11-22T21:43:56.000Z,1595171243958816769,['1595171243958816769']
