text,created_at,author_id,edit_history_tweet_ids,id,lang
"Do or do not .. 
VOTE (I can't cause i dont live there .. but .. get your lazy butt to vote and make a difference!) https://t.co/z03ohnRIwv",2022-11-22T20:46:50.000Z,944410144519024640,['1595156875766812674'],1595156875766812674,en
Kyoot! https://t.co/EFgDzyK8o3,2022-11-22T19:44:53.000Z,944410144519024640,['1595141284163121153'],1595141284163121153,in
"“Never did the world make a queen of a girl who hides in houses and dreams without traveling.”
― Roman Payne, The Wanderess

#ThugDoll #Latex #Rubber #LatexMistress #Mistress #Domme #ShinyAF #Vivishine #FetishGoddess #GasMaskGoddess #GasMaskGirl #RubberDoll #LatexDoll https://t.co/cf8gP2LTuo",2022-11-22T19:39:27.000Z,944410144519024640,['1595139917285588992'],1595139917285588992,en
@F1TY44 They can go jump off a cliff ... good thing Elon now runs things .. i mean look at all the amazing Blue LEDS everywhere .. only $8 each!,2022-11-22T19:17:58.000Z,944410144519024640,['1595134511834353664'],1595134511834353664,en
"@KiwiGreen14 Yeah just over these spam accounts .. wasn't Daddy Elon meant to be doing something about this, not reinstating hate mongers and racists? oh wait ..",2022-11-22T19:16:57.000Z,944410144519024640,['1595134255579160576'],1595134255579160576,en
"@_xetal Aww thanks! Its a wonderful shooting location, so pretty!",2022-11-22T19:15:55.000Z,944410144519024640,['1595133997876936704'],1595133997876936704,en
@KiwiGreen14 yeah all the pain &gt;.&lt;,2022-11-22T19:15:15.000Z,944410144519024640,['1595133827906965504'],1595133827906965504,en
@MissAliceMasker @IRLMonsterGirls Want to be able to afford a house ... Would be nice to not be renting.. but that .. is a long way away.,2022-11-22T08:44:59.000Z,944410144519024640,['1594975215070896128'],1594975215070896128,en
@MissAliceMasker @IRLMonsterGirls Well .. hopefully the housing market crashes and burns .. but that's unlikely 😭,2022-11-22T08:39:50.000Z,944410144519024640,['1594973919655919618'],1594973919655919618,en
"@IRLMonsterGirls Yeah we need more space, love where I am, but just .. now to small for what we want to do",2022-11-22T08:39:20.000Z,944410144519024640,['1594973796083306496'],1594973796083306496,en
@arkie14au 😁😁😁 https://t.co/sgYNF6R4Gc,2022-11-22T07:31:25.000Z,944410144519024640,['1594956703271129095'],1594956703271129095,und
"~Wow Much Domme
Such Powah~

Can't work out how to present ""Mistress"" correctly, a profile with NO PICS and hoping Mine will some how be HIS (lets be honest) way into someone's pockets

Bitch please. Take your FAKE ASS DOMME WANNABE ASS elsewhere and go dance in traffic. https://t.co/LJFmTOCVyh",2022-11-22T06:18:54.000Z,944410144519024640,['1594938451585306624'],1594938451585306624,en
@Lokana_Lighto Oh noes .. *hugs* Sends my sellotape and bandaids to fix! https://t.co/bBHAoe6cGE,2022-11-22T06:12:49.000Z,944410144519024640,['1594936921129906177'],1594936921129906177,en
@KiwiGreen14 Seam gave and then died when fixing it 😭,2022-11-22T05:11:54.000Z,944410144519024640,['1594921594300018688'],1594921594300018688,en
"@arkie14au @imherdroid Yeah, $500 is just something I can't spare at the moment, between moving, and everything else cash is tighter than my latex *lol*",2022-11-22T01:39:03.000Z,944410144519024640,['1594868024926167041'],1594868024926167041,en
@TheSarahFoxx 😜,2022-11-22T01:37:49.000Z,944410144519024640,['1594867717982810112'],1594867717982810112,und
@TheSarahFoxx The big ass crack 🤣🤣,2022-11-22T01:25:37.000Z,944410144519024640,['1594864646401724416'],1594864646401724416,en
@TheSarahFoxx Let's avoid Iran .. might be a bit 'riot-y',2022-11-22T01:21:42.000Z,944410144519024640,['1594863660211802112'],1594863660211802112,en
@TheSarahFoxx 😁,2022-11-22T01:20:07.000Z,944410144519024640,['1594863260398149632'],1594863260398149632,und
@vortexsophia The fit is great just you need to be very careful.. as it's more fragile..,2022-11-22T01:17:19.000Z,944410144519024640,['1594862557327941632'],1594862557327941632,en
@TheSarahFoxx Well if I start walking I should be there by my 40th lol 😅😉😘,2022-11-22T01:16:37.000Z,944410144519024640,['1594862380017922048'],1594862380017922048,en
@TVFernandaGomez ☺️☺️ thanks 😁,2022-11-22T01:01:07.000Z,944410144519024640,['1594858480405729281'],1594858480405729281,en
@vortexsophia Yeah the thicker the gauge the less flexible the latex. Neck entry is best for .25mm and .4mm ... I prefer the .25 as it just fits magnificently 😁,2022-11-22T00:58:55.000Z,944410144519024640,['1594857925138583552'],1594857925138583552,en
@subtom69 😅🤣,2022-11-21T23:08:16.000Z,944410144519024640,['1594830080202919936'],1594830080202919936,und
"@subtom69 Fill her up! 
Takes on a whole new meaning 🤣🤣",2022-11-21T23:01:57.000Z,944410144519024640,['1594828491903893504'],1594828491903893504,en
@shinyjrblack sadly is life &gt;.&lt;,2022-11-21T22:22:56.000Z,944410144519024640,['1594818672446799873'],1594818672446799873,en
"@shinyjrblack They're very nice suits, unfortunately with the exchange rate just never going to be a option for me",2022-11-21T22:19:49.000Z,944410144519024640,['1594817889198313473'],1594817889198313473,en
"@shinyjrblack No, i dont have any fantasic rubber products .. way to expensive for me 😭😭",2022-11-21T22:05:33.000Z,944410144519024640,['1594814299637428224'],1594814299637428224,en
@imherdroid @arkie14au Oh I may .. will have to look when home,2022-11-21T21:58:23.000Z,944410144519024640,['1594812495616958465'],1594812495616958465,en
"@imherdroid @arkie14au Yeah, just at $300USD .. is like a $1,000,000 NZD *LOL*",2022-11-21T21:51:23.000Z,944410144519024640,['1594810730876108801'],1594810730876108801,en
😂🤣😂😅 https://t.co/FjN6XoXvH3,2022-11-21T21:33:01.000Z,944410144519024640,['1594806109885591554'],1594806109885591554,art
@shinyjrblack I do miss that catsuit .. was so good and fit so well,2022-11-21T20:20:25.000Z,944410144519024640,['1594787838981464065'],1594787838981464065,en
@GearsofFetish Maybe .. just so much needed before that,2022-11-21T20:13:08.000Z,944410144519024640,['1594786008327147520'],1594786008327147520,en
