id,created_at,text,lang,author_id,edit_history_tweet_ids,geo
1595174446570082305,2022-11-22T21:56:39.000Z,"RT @EBFCTheSports: Hear from Danny after that 2-1 victory tonight at Hemel Hempstead.. 

Up the Boro! 🔴⚫️ https://t.co/TTBe2EUBrV",en,307472510,['1595174446570082305'],
1595135246298939393,2022-11-22T19:20:53.000Z,@StagecoachSE It's open now,en,307472510,['1595135246298939393'],
1595134627387056128,2022-11-22T19:18:25.000Z,@SylvMelB @SussexTW @SussexIncidents Road has reopened,en,307472510,['1595134627387056128'],
1595134368049426433,2022-11-22T19:17:24.000Z,"#Eastbourne larkspur drive junction with milfoil drive now Re-open following an rtc car vs motorcycle -
Motorcycle rider taken to hospital via land ambulance. @Eastbournenews @brightonargus @SussexTW https://t.co/dyqhBR7J3Q",en,307472510,['1595134368049426433'],{'place_id': '3dc7b71f520e2d15'}
1594799984154664961,2022-11-21T21:08:40.000Z,@EchoDan11 @FPhotographer05 Ah fair play mate 👏  great thinking you've got there mate 👍,en,307472510,['1594799984154664961'],
1594799445967007744,2022-11-21T21:06:32.000Z,@FPhotographer05 @EchoDan11 rekon you'd be up for this,en,307472510,['1594799445967007744'],
1594348548493316096,2022-11-20T15:14:50.000Z,"1 reason not to follow this page the bloke doesn't like the truth being pointed out....
He copied and pasted a tweet from highways regarding the A27 so I simply said maybe he should credit them for the post since they were that pages words and not his own! #blocked 😂 https://t.co/grWgXu81LL",en,307472510,['1594348548493316096'],{'place_id': '3dc7b71f520e2d15'}
1594328313484509186,2022-11-20T13:54:25.000Z,@SussexIncidents @sussex_police @SussexTW Credit of this statement goes to @HighwaysSEAST,en,307472510,['1594328313484509186'],
1593908383723098112,2022-11-19T10:05:46.000Z,@JoshBabarinde Come on @coopuk this is terrible,en,307472510,['1593908383723098112'],
1593541886601461762,2022-11-18T09:49:26.000Z,@CocaCola_GB is there a truck tour this year?,en,307472510,['1593541886601461762'],{'place_id': '3dc7b71f520e2d15'}
1593245708378701824,2022-11-17T14:12:32.000Z,RT @EchoDan11: Alfriston - road blocked @SussexTW @brightonargus @SussexLive @HailshamNews https://t.co/ug7KqdNr4K,en,307472510,['1593245708378701824'],
1592921499245371392,2022-11-16T16:44:15.000Z,"#Eastbourne lewes Road blocked both ways between enys Road and Bedfordwell Road rtc 
@SussexTW @StagecoachSE https://t.co/0qmS5KsrzQ",en,307472510,['1592921499245371392'],{'place_id': '3dc7b71f520e2d15'}
1592273884149317632,2022-11-14T21:50:51.000Z,@WorthingFC Injuries to the lewes squad,en,307472510,['1592273884149317632'],
1591917625239822338,2022-11-13T22:15:12.000Z,The matt Hancock show #ImACeleb getting boring now vote someone else.,en,307472510,['1591917625239822338'],{'place_id': '06168d1feda43857'}
1591907430904266753,2022-11-13T21:34:42.000Z,@brightonsnapper Just looo at that 😍 wonderful,en,307472510,['1591907430904266753'],
1591748056617291777,2022-11-13T11:01:24.000Z,We never forget ❤️ https://t.co/6la4RS4YVA,en,307472510,['1591748056617291777'],{'place_id': '06168d1feda43857'}
1591747966066642944,2022-11-13T11:01:03.000Z,RT @EchoDan11: #eastbourne @MaybugsShop little bit early but it does look fab. #xmas #lights #Christmas https://t.co/TgGFnbkzCX,en,307472510,['1591747966066642944'],
1591514275654377475,2022-11-12T19:32:26.000Z,Absolute shite #ChelseaFC,sv,307472510,['1591514275654377475'],{'place_id': '3dc7b71f520e2d15'}
1590276328951250946,2022-11-09T09:33:17.000Z,@kirstyjjb @SussexTW Would strongly advise NOT to drive through flood water,en,307472510,['1590276328951250946'],
1589627575869247488,2022-11-07T14:35:22.000Z,#battle rtc between fire station and mount street road blocked @SussexTW https://t.co/qDYuYg4oDD,en,307472510,['1589627575869247488'],{'place_id': '3dc7b71f520e2d15'}
1589627060326395904,2022-11-07T14:33:19.000Z,@SussexTW,qam,307472510,['1589627060326395904'],{'place_id': '3dc7b71f520e2d15'}
1589384897025933312,2022-11-06T22:31:03.000Z,@piersmorgan Fuck off piers you sad twat!,en,307472510,['1589384897025933312'],
1589320191309062144,2022-11-06T18:13:56.000Z,@NonLeagueCrowd @DulwichHamletFC @khfcofficial @ChesterFC @southport_fc @SpennymoorTown @dartfordfc @tonbridgeangels @HWFCOfficial @BrackleyTownFC @Blyth_Spartans @PSLFC @EBFCTheSports 753 Eastbourne borough,en,307472510,['1589320191309062144'],
1589298347793612800,2022-11-06T16:47:08.000Z,"The Langney Haven is high and rising. In the last 24 hours 40mm of rain has been recorded t in a short period. From 14:00 06/11/2022, flooding could affect gardens of Langney Green, and potentially approaching properties at Langney Green too.",en,307472510,['1589298347793612800'],{'place_id': '3dc7b71f520e2d15'}
1589297623642832896,2022-11-06T16:44:15.000Z,"#Eastbourne 
A Flood Alert has been issued by the Environment Agency.

Flood Alert in force: Langney Haven.

Flooding is possible for: Willingdon, Eastbourne and Mountney Levels and their tributaries.

Be prepared.",en,307472510,['1589297623642832896'],{'place_id': '3dc7b71f520e2d15'}
1589284945159413766,2022-11-06T15:53:53.000Z,✊️ only when you win more champions leagues than Chelsea will London be red! https://t.co/GjRQ2iQwea,en,307472510,['1589284945159413766'],{'place_id': '3dc7b71f520e2d15'}
1589255410779049985,2022-11-06T13:56:31.000Z,Fucking shite @ChelseaFC may as well have given them 3 points and not played https://t.co/sUqRkCYSJY,en,307472510,['1589255410779049985'],{'place_id': '3dc7b71f520e2d15'}
1589012001618944000,2022-11-05T21:49:18.000Z,RT @brightonsnapper: 10 Pump fire in Haywards Heath large multi agency response @WestSussexFire @SurreyFRS @EastSussexFRS @SECAmbulance @SE…,en,307472510,['1589012001618944000'],
