lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1595164373311709184'],1213556947334549504,2022-11-22T21:16:37.000Z,@steffylovesfinn Love this so much,1595164373311709184
en,['1595163045537673216'],1213556947334549504,2022-11-22T21:11:21.000Z,"RT @BronGotGame: If Lakers beat the Suns tonight, the LeBron agenda from the haters are gonna be nasty",1595163045537673216
en,['1595142850978906112'],1213556947334549504,2022-11-22T19:51:06.000Z,@WrestleFeatures Roman or Seth,1595142850978906112
en,['1595142423331868672'],1213556947334549504,2022-11-22T19:49:24.000Z,"RT @TheLouisDangoor: Some clarification on Mia Yim. 

WWE, after changing her name on the official roster page to “Michin”, has changed it…",1595142423331868672
en,['1595142375751704576'],1213556947334549504,2022-11-22T19:49:13.000Z,RT @SCOTUSblog: BREAKING: The Supreme Court REJECTS Trump's bid to prevent the House Ways &amp; Means Committee from obtaining his tax returns.…,1595142375751704576
en,['1595134355923664896'],1213556947334549504,2022-11-22T19:17:21.000Z,@Bigboihottakes @AlleyneZachery He’s definitely the worst qb in the afc,1595134355923664896
en,['1595134253733654529'],1213556947334549504,2022-11-22T19:16:56.000Z,@Bigboihottakes He knew better,1595134253733654529
en,['1595134225749270528'],1213556947334549504,2022-11-22T19:16:50.000Z,RT @Bigboihottakes: Tyreek Hill choosing Miami over Zach Wilson and the Jets might’ve been the single best career decision he’s ever made,1595134225749270528
en,['1595133838363332608'],1213556947334549504,2022-11-22T19:15:17.000Z,@Slakonbothsides Love ATLiens album so much 🔥🔥🔥🔥,1595133838363332608
en,['1595133780725207040'],1213556947334549504,2022-11-22T19:15:04.000Z,RT @Slakonbothsides: Jazzy Belle is a flawless Outkast song. They were spittin on that,1595133780725207040
en,['1595124255716319233'],1213556947334549504,2022-11-22T18:37:13.000Z,@itsCSB__ I understand,1595124255716319233
en,['1595124181452357632'],1213556947334549504,2022-11-22T18:36:55.000Z,"RT @Slakonbothsides: Before Nas/illmatic ever came out, once people heard Live at the BBQ, and LP shouted him out on Midnight Marauders, he…",1595124181452357632
