text,lang,author_id,created_at,id,edit_history_tweet_ids
RT @FilmstoFilms_: What a picture. https://t.co/5r9Mwu0ben,en,2660374267,2022-11-22T22:38:13.000Z,1595184905058762752,['1595184905058762752']
"RT @thecjpearson: This is the same Balenciaga, as well, that deleted their Twitter account in protest of @elonmusk. 

The self-righteousnes…",en,2660374267,2022-11-22T22:37:39.000Z,1595184764457197568,['1595184764457197568']
"RT @thecjpearson: Balenciaga severed their ties with @kanyewest due to a tweet. 

Yet they expect us to just “accept their apology” after t…",en,2660374267,2022-11-22T22:37:37.000Z,1595184757167607809,['1595184757167607809']
"RT @cupcakedex: It's Alcremie Day!

This pile of whipped cream is now one of my all-time favourite Pokemon, so I've made her into a few bak…",en,2660374267,2022-11-22T22:37:18.000Z,1595184677622530048,['1595184677622530048']
RT @robbystarbuck: Balenciaga has apologized and removed the photos from all platforms. Not good enough. They need to explain how this all…,en,2660374267,2022-11-22T22:36:12.000Z,1595184400425259008,['1595184400425259008']
RT @nerdist: Indigenous creators infuse their artwork with their heart and sou. Here are a few awesome Indigenous artists you can support t…,en,2660374267,2022-11-22T22:35:54.000Z,1595184325296799749,['1595184325296799749']
RT @Imtoffe: this is related to a drawing (maybe print) that we will see in the future https://t.co/YM40QB3Fh3,en,2660374267,2022-11-22T21:40:33.000Z,1595170394964693019,['1595170394964693019']
RT @FrazziTL: Trump exposed the corruption in both parties.,en,2660374267,2022-11-22T21:39:44.000Z,1595170190106497041,['1595170190106497041']
"RT @RegalMovies: Remember Sticky Hand Thingy? This is him now, feel old? https://t.co/OzIEm58QSD",en,2660374267,2022-11-22T21:38:04.000Z,1595169769942093843,['1595169769942093843']
RT @LilaGraceRose: #Balenciaga leadership and anyone else responsible for these ads should resign or be fired. Saying “We apologize for any…,en,2660374267,2022-11-22T21:37:43.000Z,1595169679328350227,['1595169679328350227']
"RT @SeinfeldTV: Be careful – Newman's getting hungry! To order Seinfeld: The Official Cookbook, published by @insighteditions or for more r…",en,2660374267,2022-11-22T21:37:29.000Z,1595169622038351895,['1595169622038351895']
RT @PokemonGoApp: 🕵️ #UltraBeastArrival,und,2660374267,2022-11-22T21:37:24.000Z,1595169600244748300,['1595169600244748300']
