author_id,text,created_at,lang,edit_history_tweet_ids,id
1464634353917509636,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,2022-11-22T21:56:20.000Z,en,['1595174364898820096'],1595174364898820096
1464634353917509636,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",2022-11-22T20:30:33.000Z,en,['1595152778686615554'],1595152778686615554
1464634353917509636,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",2022-11-22T19:14:05.000Z,en,['1595133535693815823'],1595133535693815823
1464634353917509636,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",2022-11-22T16:54:47.000Z,tr,['1595098477687611394'],1595098477687611394
1464634353917509636,"RT @UtilityNet_: The Rules for the First Test Mining of UtilityNet https://t.co/4hJuOKd1WG 

#utility #utilitynet #BigData #Analytics #Data…",2022-11-22T15:05:25.000Z,en,['1595070953750405121'],1595070953750405121
1464634353917509636,"RT @DaoNfinity: Bears are lovely, so would be the bear market.🐻🐻🐻

@iteunkkiant @Octofan_NFT @Degenxulka @JpegFKVCVP @jaypeNTEOD @Luckypunk…",2022-11-22T14:02:47.000Z,en,['1595055193569128449'],1595055193569128449
1464634353917509636,"RT @nj_ayuk: Instead of being daunted by the vast numbers of Africans without electricity, shrugging our shoulders, and giving up, I hope t…",2022-11-22T13:09:34.000Z,en,['1595041802389573632'],1595041802389573632
1464634353917509636,RT @yule886: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐   Just because someone doesn‘t love you the way you want them to， doesn’t mean they don‘t love…,2022-11-22T12:17:19.000Z,en,['1595028650759421952'],1595028650759421952
1464634353917509636,RT @MyraMcD02814267: happy hour  so cute #磕炮  #盯射 #女高  #福利姬 #连麦 #视频爱爱 #视频1对1 https://t.co/ZQkoe2p1He,2022-11-22T11:31:40.000Z,en,['1595017164573982721'],1595017164573982721
1464634353917509636,"RT @hnd8e_: رامي الاسطورة ..

مشاهدة مباراة السعوديه والارجنتين بث مباشر 

البث المباشر هنا : https://t.co/gIBjq0SLlh

البث المباشر هنا : h…",2022-11-22T10:42:03.000Z,ar,['1595004679439908865'],1595004679439908865
