edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595134490573438976'],816385507,en,1975 is toxic but you know 2016 me was a funky kid,1595134490573438976,2022-11-22T19:17:53.000Z
['1595134403654877185'],816385507,en,i’m listening to the 1975 and reading mangos the world is healing,1595134403654877185,2022-11-22T19:17:32.000Z
['1594933997611753472'],816385507,en,idc call me delusional i’m busy https://t.co/YOhIe8lZEj,1594933997611753472,2022-11-22T06:01:12.000Z
['1594933887997820929'],816385507,en,this is it https://t.co/wGg9FWtkoO,1594933887997820929,2022-11-22T06:00:45.000Z
['1594933849003261952'],816385507,en,i can’t believe i’ve been HOLDING MYSELF BACK FROM SEEING THESE ALL ALONG,1594933849003261952,2022-11-22T06:00:36.000Z
['1594933714600984576'],816385507,en,i’m going crazy https://t.co/NOzOt3tUgp,1594933714600984576,2022-11-22T06:00:04.000Z
['1594769460006715392'],816385507,en,soobin my love please,1594769460006715392,2022-11-21T19:07:23.000Z
['1594769442059214850'],816385507,en,IM GOING TO GO CRAZY MY FRIEND WENT TO THE AMA AND SAW TXT https://t.co/eHsHB1lWgO,1594769442059214850,2022-11-21T19:07:19.000Z
['1594520501250101248'],816385507,en,you know what the guy i’m dating does look kinda lame core sometimes and it’s cute to me,1594520501250101248,2022-11-21T02:38:06.000Z
['1594520300074541059'],816385507,en,the fact is i get so much of those nerdy cute boy thirst tik toks by those coquette loving poc girls,1594520300074541059,2022-11-21T02:37:18.000Z
['1593808277346869248'],816385507,en,actually the band is a really good i wish my feet didn’t hurt as much as they do,1593808277346869248,2022-11-19T03:27:59.000Z
['1593806814176546817'],816385507,en,by social media i mean twitter,1593806814176546817,2022-11-19T03:22:10.000Z
['1593806746983845888'],816385507,en,literally scrolling on social media at a concert,1593806746983845888,2022-11-19T03:21:54.000Z
['1593806289330737152'],816385507,en,i’m already 3 drinks down and drunk at some random venue in new york this if this isn’t being chill enough to go along with somebody’s plan idk what is,1593806289330737152,2022-11-19T03:20:05.000Z
['1593806006445801472'],816385507,en,i can’t be super hyped at some concert i don’t even know,1593806006445801472,2022-11-19T03:18:58.000Z
['1593805952037388290'],816385507,en,my feet hurt so much rn i just need a quick break is that too much to ask concert??,1593805952037388290,2022-11-19T03:18:45.000Z
['1593251491250200577'],816385507,en,RT @johkuns: THIS IS SO FUNNY???? https://t.co/BFQDHffLq7,1593251491250200577,2022-11-17T14:35:31.000Z
['1593242092599644165'],816385507,en,RT @maniacarian: hold on this pose looks familiar https://t.co/7Uu5YO7Xup,1593242092599644165,2022-11-17T13:58:10.000Z
['1593047047233765376'],816385507,en,i legit have never heard a single ateez song ngl,1593047047233765376,2022-11-17T01:03:08.000Z
['1593046980061958144'],816385507,en,my friend is roping me into going to an ateez concert with her,1593046980061958144,2022-11-17T01:02:52.000Z
['1592185091421360129'],816385507,en,@pochaco420 absolute clown of a man,1592185091421360129,2022-11-14T15:58:01.000Z
['1592170875063013376'],816385507,en,you know what johnny should do acting because i think he’s hot,1592170875063013376,2022-11-14T15:01:32.000Z
['1592025071530692608'],816385507,en,@hyperjaem I DONT KNOW WAS IT MAKNAE REVOLUTION???,1592025071530692608,2022-11-14T05:22:10.000Z
['1591939132254724098'],816385507,en,@pochaco420 @leemarkeist he’s home… of sexua,1591939132254724098,2022-11-13T23:40:40.000Z
['1591249295096823816'],816385507,en,i’m being so brave right now because my tummy hurts and i’m on my period,1591249295096823816,2022-11-12T01:59:30.000Z
['1591249223106035713'],816385507,en,i am in the middle of a breakup it’s tough times yall,1591249223106035713,2022-11-12T01:59:13.000Z
['1591249115115319297'],816385507,en,"i feel the male gaze on me when i’m walking and i don’t like it 

stay away",1591249115115319297,2022-11-12T01:58:47.000Z
['1591248963243741185'],816385507,en,such a good picture of the fog tonight everybody please enjoy https://t.co/OF3yqDkB70,1591248963243741185,2022-11-12T01:58:11.000Z
['1590798361653039105'],816385507,en,also i’m on my period very many thoughts,1590798361653039105,2022-11-10T20:07:39.000Z
['1590798285693980690'],816385507,en,break time,1590798285693980690,2022-11-10T20:07:21.000Z
['1590545221716037637'],816385507,en,can’t even say that i didn’t see it coming because i felt it 1 month in,1590545221716037637,2022-11-10T03:21:46.000Z
['1590545093970526210'],816385507,en,TO MY FACE,1590545093970526210,2022-11-10T03:21:15.000Z
['1590545061196230658'],816385507,en,i’m a loser who is dating a guy who literally told me i was a rebound what did i expect,1590545061196230658,2022-11-10T03:21:08.000Z
['1590544882309169157'],816385507,en,@hyperjaem did you,1590544882309169157,2022-11-10T03:20:25.000Z
['1590544772028321793'],816385507,en,i’m 2/3 a cider down and ready to listen to sad songs and contemplate my past choices,1590544772028321793,2022-11-10T03:19:59.000Z
['1590544667648851970'],816385507,en,i’m back here to complain,1590544667648851970,2022-11-10T03:19:34.000Z
['1588175384024997888'],816385507,en,"this is peak tumblr 2015
specifically https://t.co/5NAQzctkQg",1588175384024997888,2022-11-03T14:24:53.000Z
['1588175078914928640'],816385507,en,shocked and appalled by the head size difference https://t.co/eEeFMdUJSE,1588175078914928640,2022-11-03T14:23:40.000Z
