lang,id,author_id,edit_history_tweet_ids,created_at,text
en,1595174454639763456,1143879645592530944,['1595174454639763456'],2022-11-22T21:56:41.000Z,RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…
en,1595153061638381570,1143879645592530944,['1595153061638381570'],2022-11-22T20:31:41.000Z,"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…"
en,1595133538034077698,1143879645592530944,['1595133538034077698'],2022-11-22T19:14:06.000Z,"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…"
tr,1595098546855768064,1143879645592530944,['1595098546855768064'],2022-11-22T16:55:03.000Z,"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE"
en,1595071343334023168,1143879645592530944,['1595071343334023168'],2022-11-22T15:06:57.000Z,"RT @NFT_SalesRoom: The four mining consensus mechanisms of global blockchain will officially launch the online voting activities (POW, POS,…"
en,1595055263827906561,1143879645592530944,['1595055263827906561'],2022-11-22T14:03:04.000Z,"RT @icbexchange: 🔹Cryptocurrency just got even better and its value keeps on increasing even more.

Buy and sell crypto with ICBROKER and e…"
en,1595042269505015808,1143879645592530944,['1595042269505015808'],2022-11-22T13:11:26.000Z,RT @daPang70456438: #2022世界杯预测冠军 #开云体育 #世界杯 #足球 #亚博 #游戏 Better to light one candle than to curse the darkness。 https://t.co/pX3u2JlQvZ
en,1595029137504104448,1143879645592530944,['1595029137504104448'],2022-11-22T12:19:15.000Z,"RT @AppuGow58362187: I want to see you, not far from Wan Li.＼(`Δ’)／
🐧：3039442071
#成都
#成都线下 https://t.co/tk6kQqVP8e"
en,1595017700882845696,1143879645592530944,['1595017700882845696'],2022-11-22T11:33:48.000Z,RT @yule886: #2022世界杯 #开云 #世界杯 #足球 #亚博 #游戏  Don‘t cry because it is over， smile because it happened。 https://t.co/vEIgli2ASs
en,1595005580829024256,1143879645592530944,['1595005580829024256'],2022-11-22T10:45:38.000Z,RT @yule886: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐  Don‘t cry because it is over， smile because it happened。 https://t.co/VntkUqJBso
en,1594985566755381248,1143879645592530944,['1594985566755381248'],2022-11-22T09:26:07.000Z,"RT @ATMrank: The power of good friction also works when it comes to saving and growing your network.

Thanks for the inspiration!

#Connect…"
en,1594949343382888448,1143879645592530944,['1594949343382888448'],2022-11-22T07:02:10.000Z,"RT @Desire04540897: I love every word in your name.🫦🫦🫦🫦🫦
#西安 https://t.co/2JidoZJOxq"
en,1594930100297818112,1143879645592530944,['1594930100297818112'],2022-11-22T05:45:42.000Z,RT @yule886: #阿根廷梅西 #开云 #世界杯冠军预测 #足球 #亚博 #游戏     #真人百家乐  #棋牌 #彩票 #电竞    The longest day has an end。 https://t.co/qrSCfD0N0W
en,1594916914131632128,1143879645592530944,['1594916914131632128'],2022-11-22T04:53:19.000Z,"RT @_paiverse: 81'  | 🇺🇸 1-1 🏴󠁧󠁢󠁷󠁬󠁳󠁿

GOAL!!!! Gareth Bale u beauty!!

#ArBenYByd | #FIFAWorldCup | #TogetherStronger https://t.co/9PBPVpfd…"
en,1594899648241508352,1143879645592530944,['1594899648241508352'],2022-11-22T03:44:42.000Z,RT @kaiyun830: #世界杯投注平台 #世界杯 #阿根廷梅西 #爱游戏   #开云体育 #BG真人 #世界杯 #NBA  #真人百家乐  #PG电子 #捕鱼  #云游棋牌 #彩票    May there be enough clouds in your life t…
en,1594872676052455424,1143879645592530944,['1594872676052455424'],2022-11-22T01:57:31.000Z,"RT @thekubieth: 🎁 AMAZING WL GIVEAWAY 🎁

🏆 20x Winner WL

Own your football museum ⚽️ 

To Enter🎫

1️⃣ RT + Like
2️⃣ Follow me &amp; @GolGoals…"
en,1594859770455896064,1143879645592530944,['1594859770455896064'],2022-11-22T01:06:14.000Z,RT @xtinaxminaj: He’s bussing it open for them y’all https://t.co/37UJa4V3Iz
en,1594816415130796032,1143879645592530944,['1594816415130796032'],2022-11-21T22:13:58.000Z,"RT @TheshopNFT: Secure your #whitelist  spots

#MintingSoon #TheShopNFT #NFT #OpenSeaNFT #cryptocurrecy https://t.co/zxv0l0k2O6"
en,1594779583307317248,1143879645592530944,['1594779583307317248'],2022-11-21T19:47:36.000Z,RT @CynthiaVeblen3: i can #磕炮 #视频爱爱 #母狗 #反差女 #女高中生 https://t.co/tyB4FCHtLs
en,1594741403774427136,1143879645592530944,['1594741403774427136'],2022-11-21T17:15:54.000Z,"RT @ETXInfinity: At the same time, it will undertake all developers' new project AMA calls and project application demonstrations. All inco…"
en,1594723927326015488,1143879645592530944,['1594723927326015488'],2022-11-21T16:06:27.000Z,"RT @ProjectBubbly: 🎈Bubbly &amp; Friends x 🪶 Re:Myth
 
Re:Myth is a brand that reinterprets the myths into the Web 3.0

🎁 3x Re:Myth WL

✅ Foll…"
en,1594686484174422016,1143879645592530944,['1594686484174422016'],2022-11-21T13:37:40.000Z,"RT @TawandaZindi: A little deep, a little frequent

🎈🎈🎈🎈🎈🎈🎈🎈🎈

#西安 https://t.co/xkpxNBUzAI"
en,1594668651164053504,1143879645592530944,['1594668651164053504'],2022-11-21T12:26:48.000Z,"RT @MalanFernando5: Grab Your $10,000 Now! https://t.co/n3jO496Tkd
#giveaway #chance #win #christmas #gift#holiday 
 #video #ends #giftcard…"
en,1594656096152481792,1143879645592530944,['1594656096152481792'],2022-11-21T11:36:55.000Z,RT @NicoleKrohn7: miss you  #女高中生 #裸聊 #黑丝 #磕炮 #视频裸聊 #母狗 #反差 https://t.co/hm2ec9sDXO
en,1594643632451072001,1143879645592530944,['1594643632451072001'],2022-11-21T10:47:23.000Z,RT @yule886: #足球 #盘口 #开云体育 #2022塔卡尔世界杯  #NBA #真人百家乐 #棋牌 #PG电子  #五大联赛 #捕鱼  #双赢棋牌 #彩票计划 Some people will never be forgotten while some are al…
en,1594631113044946944,1143879645592530944,['1594631113044946944'],2022-11-21T09:57:38.000Z,"RT @yule886: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 Some people succeed because they are destined to, but most people succeed because they are det…"
en,1594618605257179137,1143879645592530944,['1594618605257179137'],2022-11-21T09:07:56.000Z,RT @kaiyun830: #2022世界杯预测冠军 #英格兰 #伊朗 #开云体育 #世界杯 #足球 #亚博 #游戏 Sometimes，forgotten，is the best of liberation．And sometimes，silence，is the best…
en,1594605814009909248,1143879645592530944,['1594605814009909248'],2022-11-21T08:17:07.000Z,RT @daPang70456438: #2022世界杯预测冠军 #英格兰 #伊朗 #开云体育 #世界杯 #足球 #亚博 #游戏 Sometimes，forgotten，is the best of liberation．And sometimes，silence，is the…
en,1594556905120100354,1143879645592530944,['1594556905120100354'],2022-11-21T05:02:46.000Z,"RT @AnphatCAPITAL: The biggest gift is coming.  To celebrate our private partnership with #HBIT, we are donating 10,000 USD equivalent to 1…"
en,1594540379470118912,1143879645592530944,['1594540379470118912'],2022-11-21T03:57:06.000Z,RT @kaiyun830: #2022世界杯预测冠军 #开云体育 #世界杯 #足球 #亚博 #游戏 The most precious possession that ever comes to a man in this world is a woman’s heart.…
en,1594526793024708608,1143879645592530944,['1594526793024708608'],2022-11-21T03:03:06.000Z,"RT @yule886: #塔卡尔世界杯开幕式 #世界杯冠军预测 #足球 #开云 #真人百家乐  There is nothing on earth more beautiful to me than your smile,no pleasure greater than ho…"
en,1594466372058517504,1143879645592530944,['1594466372058517504'],2022-11-20T23:03:01.000Z,"RT @stablekwon: HUAHUA supported

Woof"
en,1594420191684808704,1143879645592530944,['1594420191684808704'],2022-11-20T19:59:31.000Z,"RT @FWCInu: @elonmusk FifaWorldCupInu just started! 100k Mcap at #WorldCup2022 opening!

https://t.co/XbIapoE5hd

https://t.co/iR7m46sifs…"
en,1594403224760434688,1143879645592530944,['1594403224760434688'],2022-11-20T18:52:06.000Z,"RT @ATMrank: How much daily income do you get if you do a connection by staking 25000 $ETH with another holder?

#Connect2Earn"
en,1594379147966808064,1143879645592530944,['1594379147966808064'],2022-11-20T17:16:25.000Z,"RT @thekubieth: 🎁 AMAZING AIRDROP GIVEAWAY 🎁

🏆 2x Winner Ocat Batch NFT

This is airdrop of the fifth batch Ocat 🔥

To Join 🎫
1️⃣ RT + Lik…"
en,1594356033064820737,1143879645592530944,['1594356033064820737'],2022-11-20T15:44:34.000Z,"RT @AlbertMcNeil13: Nobody wants it?
🛰️KT31133
#杭州
#杭州学生 https://t.co/AolvowLv8d"
en,1594328599942746117,1143879645592530944,['1594328599942746117'],2022-11-20T13:55:34.000Z,RT @daPang70456438: #塔卡尔世界杯 #世界杯冠军预测 #足球 #开云 #真人百家乐 There is always that one person who can send you a text and cause you to smile instantl…
in,1594310335992762373,1143879645592530944,['1594310335992762373'],2022-11-20T12:42:59.000Z,"RT @bayualoenk: Kenapa KSAD Dudung tidk berani tegas seperti Panglima TNI? Padahal dirinya sendiri pengen jadi Panglima. Mau jadi Panglima,…"
ar,1594286591429648385,1143879645592530944,['1594286591429648385'],2022-11-20T11:08:38.000Z,RT @alsafrrat9: شركة تنظيف فلل بالرياض https://t.co/z9w9Y2hx5u
en,1594273943757549571,1143879645592530944,['1594273943757549571'],2022-11-20T10:18:23.000Z,RT @AndrewDineen2: @piersmorgan Piers not being a friend to Cristiano here🤔
en,1594260473343463425,1143879645592530944,['1594260473343463425'],2022-11-20T09:24:51.000Z,"RT @daPang70456438: #塔卡尔世界杯开幕式 #世界杯冠军预测 #足球 #开云 #真人百家乐When life give you a hundred reasons to cry, show life that you have a thousand reaso…"
zh,1594230740132077568,1143879645592530944,['1594230740132077568'],2022-11-20T07:26:42.000Z,"RT @PagSaul2: 新人点赞评论 随机抽取两名无偿一次
🌛🌛 🌛 🌛 🌛
  🌟🌟🌟🌟🌟
     ❤️ ❤️ ❤️ 
        🌹  🌹
           👄
#北京线下 

#北京 

#朝阳区 #丰台区 #大兴区 https://t.co/Ty989oQ…"
en,1594207748429737984,1143879645592530944,['1594207748429737984'],2022-11-20T05:55:20.000Z,RT @kaiyun830: #足球 #盘口 #开云体育 #2022塔卡尔世界杯  #NBA #真人百家乐 #棋牌 #PG电子  #五大联赛 #捕鱼  #双赢棋牌 #彩票计划   Why I must be a tiny part of others' life though…
en,1594177335145553921,1143879645592530944,['1594177335145553921'],2022-11-20T03:54:29.000Z,"RT @bigdaddykane: 💰Giveaway $500 (in $ETH or $SOL)💰

➡️ To win:

1⃣• Follow @Million_DolIar⚜️
2⃣• Like &amp; RT this post 💫
3️⃣• Follow @bigdad…"
en,1594151901972467712,1143879645592530944,['1594151901972467712'],2022-11-20T02:13:25.000Z,"RT @ZionNFT_: We will be doing a series of premints over the course of the next 3 days that cater to specific blue chip communities, with a…"
en,1594089708476194816,1143879645592530944,['1594089708476194816'],2022-11-19T22:06:17.000Z,"RT @RealAlakai: ETAProjects Presents: Live in the Lab - 
RABBIT HOLE 🪫

Now available on my Youtube Channel! https://t.co/caIJrdlpJJ"
en,1594073722234642432,1143879645592530944,['1594073722234642432'],2022-11-19T21:02:46.000Z,"RT @therealpunt: https://t.co/D8sq3nxaAW is doing a $100,000 Giveaway! 🔥
$10,000 to 10 different Punters! 🤑💸💰

(1) Create Punt account; ✅
(…"
