created_at,id,author_id,lang,text,edit_history_tweet_ids,geo
2022-11-22T21:39:51.000Z,1595170216908099610,17706314,en,"The full time whistle goes and finishes the game 1-3, ending FC’s Manchester Premier Cup campaign. 

Congratulations to @WTFC1946, good luck for the rest of the competition",['1595170216908099610'],
2022-11-22T21:38:36.000Z,1595169903254044673,17706314,en,The game ends with the score Wythenshawe Town 3-1 FC United of Manchester,['1595169903254044673'],
2022-11-22T21:37:25.000Z,1595169607475728400,17706314,en,"We haven’t seen a board go up but we are into injury time here. WT trying to keep the ball in the corner to run down the clock. 

1-3, 90’+3",['1595169607475728400'],
2022-11-22T21:34:30.000Z,1595168872683999239,17706314,en,"WT are disciplined with a yellow card for wasting time after another long break in play. FC unable to take advantage though. Lavercombe is left one on one with the WT striker and makes a save to keep the score at 1-3 

90’",['1595168872683999239'],
2022-11-22T21:31:39.000Z,1595168156334624777,17706314,en,Yellow card for Wythenshawe Town's Matthew Bryan (88:11),['1595168156334624777'],
2022-11-22T21:29:37.000Z,1595167641097887744,17706314,en,"There’s a long break in play for a WT corner which amounts to nothing. FC attacking but can’t seem to find the man. FC with a corner but it’s eventually flagged for offside gifting WT the possession again 

1-3, 84’",['1595167641097887744'],
2022-11-22T21:26:53.000Z,1595166955228794880,17706314,en,Substitution for Wythenshawe Town ON Oliver Putnam OFF Darius Palma (83:25),['1595166955228794880'],
2022-11-22T21:25:07.000Z,1595166508627689472,17706314,en,"The old favourite FC chants are out tonight perhaps due to the nostalgia of facing FC legend Jerome Wright. FC looking better but still struggling to create chances. WT taking their time at every break in play which is slowing down any FC efforts 

1-3, 82’",['1595166508627689472'],
2022-11-22T21:18:37.000Z,1595164873776066560,17706314,en,"The energy of the first 10 minutes is no more as FC continue to lose easy balls and give away possession. The FC faithful haven’t been silenced though as chants of “you satsuma” can be heard ringing around the ground in honour of the WT keeper’s all orange kit 🧡

1-3, 75’",['1595164873776066560'],
2022-11-22T21:12:43.000Z,1595163389315235840,17706314,en,Substitution for Wythenshawe Town ON Steven Hewitt OFF Benito Lowe (69:15),['1595163389315235840'],
2022-11-22T21:11:34.000Z,1595163099350589440,17706314,en,"WT seem to have had the same Duracell bunny injection since their second goal as it’s now FC who are being dominated. Griffiths replaces Ennis. 

1-3, 67’",['1595163099350589440'],
2022-11-22T21:11:08.000Z,1595162991581925377,17706314,en,Substitution for FC United of Manchester ON Luke Griffiths OFF Charlie Ennis (67:40),['1595162991581925377'],
2022-11-22T21:08:30.000Z,1595162330534670337,17706314,en,"FC lose the ball on the halfway line and it’s a great strike from WT which goes over the head of Lavercombe and into the net 

1-3, 65’",['1595162330534670337'],
2022-11-22T21:07:21.000Z,1595162037461872640,17706314,en,Goal for Wythenshawe Town scored by Benito Lowe on 63:47 Score is now 3 - 1,['1595162037461872640'],
2022-11-22T21:06:04.000Z,1595161717730062336,17706314,en,"FC replace Linney and Hall with Rodwell Grant and Stanley 

1-2, 61’",['1595161717730062336'],
2022-11-22T21:05:37.000Z,1595161604445855744,17706314,en,Substitution for Wythenshawe Town ON Jordan Burton OFF Dominic Smalley (58:11),['1595161604445855744'],
2022-11-22T21:05:07.000Z,1595161475424755712,17706314,en,"The WT bench can be heard from behind the WT goal displaying the frustrations they feel from the new pace of the game. The crowd tension is building and they win a free kick which results in a goal exploiting the FC poor marking, FC behind again

1-2, 60’",['1595161475424755712'],
2022-11-22T21:04:16.000Z,1595161261733515264,17706314,en,Substitution for FC United of Manchester ON Connor Stanley OFF Guy Hall (60:48),['1595161261733515264'],
2022-11-22T21:04:01.000Z,1595161199536128000,17706314,en,Substitution for FC United of Manchester ON Joe Rodwell-Grant OFF Regan Linney (60:33),['1595161199536128000'],
