text,created_at,author_id,edit_history_tweet_ids,id,lang
RT @IdlemanShane: Why did I say the names of the 12 Republican senators who voted for the Respect for Marriage act? Take a listen and find…,2022-11-22T21:56:23.000Z,3319050588,['1595174378320367641'],1595174378320367641,en
"RT @ProjectBubbly: Bubbly &amp; Friends 🫧 x Hey! Reap3r💀
2 WL Spots Giveaway (Free Mint)

To Enter👇
✅Follow @Hey_Reap3r &amp; @ProjectBubbly &amp; @Ice…",2022-11-22T20:30:33.000Z,3319050588,['1595152779772919809'],1595152779772919809,en
"RT @moyo_world: We're moving our manufacturing plant 🏭👩‍🏭👨‍🏭!
Shenzhen is too nice of a city not to have a factory there!  #Shenzhen   #ele…",2022-11-22T19:14:03.000Z,3319050588,['1595133526420201472'],1595133526420201472,en
"RT @winwinbank: 🏆Dünya Kupasında Da Güvenin Adresi #Marsbahis 

✅https://t.co/d39euhucwI

#MarsBet https://t.co/oUiDnuefFE",2022-11-22T16:54:51.000Z,3319050588,['1595098494502461444'],1595098494502461444,tr
"RT @NFT_SalesRoom: The four mining consensus mechanisms of global blockchain will officially launch the online voting activities (POW, POS,…",2022-11-22T15:05:32.000Z,3319050588,['1595070984134201344'],1595070984134201344,en
"RT @sololeveling_pr: ◤￣￣￣￣￣￣￣￣￣￣￣◥
『俺だけレベルアップな件』

ANIMATION PROJECT
COMING 2023
◣＿＿＿＿＿＿＿＿＿＿＿◢

https://t.co/FzYJIWI3V8

#俺レベ #SoloLeveling…",2022-11-22T14:01:08.000Z,3319050588,['1595054777557303300'],1595054777557303300,ja
"RT @nj_ayuk: The situation for rural Africans is even more dismal in other parts of the continent. In the #DRC , for example, only about 19…",2022-11-22T13:09:43.000Z,3319050588,['1595041837303140352'],1595041837303140352,en
RT @AlanJoh06708383: Wasting time is robbing oneself.            #裸聊 #意淫 #红绿灯 #寸止 #磕炮 https://t.co/ym04vpSyXA,2022-11-22T12:17:23.000Z,3319050588,['1595028668933279749'],1595028668933279749,en
RT @RodneyR63247555: Can you  fuck  me？ #视频爱爱 #磕炮 #母狗 #反差女 #女高 https://t.co/HoMX13LG8g,2022-11-22T11:31:47.000Z,3319050588,['1595017191425966096'],1595017191425966096,en
RT @corkstr11: i can #裸聊 #视频裸聊 #母狗 #反差女 https://t.co/yGKkhnddWt,2022-11-22T10:42:10.000Z,3319050588,['1595004706413109249'],1595004706413109249,en
RT @NOSAFunder: The NOSA Funder European Community is discussing the launch of PancakeSwap https://t.co/EvfrtIfbSM via @YouTube,2022-11-22T09:18:56.000Z,3319050588,['1594983760768143361'],1594983760768143361,en
"RT @THENFTSTAR: You have been selected! Congrats Neymar Jr. NFT cheerleader winners!
@2OOvbBatWkEXCuW @LorieB233 @x0chihiro https://t.co/ta…",2022-11-22T06:58:16.000Z,3319050588,['1594948361186148352'],1594948361186148352,en
RT @yule886: #阿根廷梅西 #开云 #世界杯冠军预测 #足球 #亚博 #游戏     #真人百家乐  #棋牌 #彩票 #电竞    The longest day has an end。 https://t.co/qrSCfD0N0W,2022-11-22T05:32:45.000Z,3319050588,['1594926841131069441'],1594926841131069441,en
"RT @BellaSt80605608: Having sex with a porn girl in the car🥰
Twitch unbanned streamer Kimmikka😍
＃上海线下       ＃上海同城 https://t.co/JgxIKXGeJg",2022-11-22T04:35:28.000Z,3319050588,['1594912424725209090'],1594912424725209090,ja
RT @daPang70456438: #2022世界杯预测冠军 #开云体育 #世界杯 #足球 #亚博 #游戏  You must always have faith in who you are！ https://t.co/dp0vnwJWEC,2022-11-22T03:41:15.000Z,3319050588,['1594898779575967744'],1594898779575967744,en
