created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-22T19:14:04.000Z,784466796183220224,['1595133530119733248'],en,"@culturaltutor We’ll worth a visit. Lugo as a city isn’t a jewel, but the walls are wonderful and there’s some interesting Art Deco buildings to be seen from them. https://t.co/Ux0fPsk8Ns",1595133530119733248
2022-11-22T17:56:12.000Z,784466796183220224,['1595113935690403846'],en,@Douglas4Moray @fincarson Never mind the A75. The metaphor for the neglect of Scotland by generations of westminster governments is the connection between Edinburgh and Newcastle. This is vital infrastructure and is a national disgrace.,1595113935690403846
2022-11-21T21:18:17.000Z,784466796183220224,['1594802401604673566'],en,"Would be interesting to have some analytical peer review of their content promotion AI algorithms. I suspect scrutiny would not be welcomed.

https://t.co/BTtpFR1Tzf",1594802401604673566
2022-11-21T07:29:22.000Z,784466796183220224,['1594593798935437312'],en,"@SueSuezep Like all parasites, they thrive on a host.",1594593798935437312
2022-11-21T07:20:55.000Z,784466796183220224,['1594591672675061760'],en,"@toryboypierce @MailOnline Good god. I frequently despair at the petty vindictiveness of the right wing, but this is childishness.",1594591672675061760
2022-11-21T07:17:02.000Z,784466796183220224,['1594590693418229763'],en,"@NiftySkyjacker @RaggedTP @ConorConville Oh, this is a pimple on the arse of his shame.",1594590693418229763
2022-11-20T23:07:09.000Z,784466796183220224,['1594467413533548545'],und,@pransukh37 @NasimiShabnam I do.,1594467413533548545
2022-11-20T22:51:04.000Z,784466796183220224,['1594463364159504384'],en,RT @rfhaviland: I have no problem with Lords reform. But the real democratic deficit in this country is First Past the Post. If doing the f…,1594463364159504384
2022-11-20T22:46:21.000Z,784466796183220224,['1594462176542089217'],en,"@GerryHassan There is only one thing in life worse than being talked about, and that is not being talked about.",1594462176542089217
2022-11-20T22:07:01.000Z,784466796183220224,['1594452277569662976'],en,RT @iainile: @BBCRosAtkins I’m more concerned about this cost: https://t.co/gT58Ao33lT,1594452277569662976
2022-11-20T22:04:19.000Z,784466796183220224,['1594451598197112833'],en,"RT @AndyBurnhamGM: NHS managers are some of the most decent, hard-working people I know.

They’re playing a crucial role right now in holdi…",1594451598197112833
2022-11-20T22:03:36.000Z,784466796183220224,['1594451420018884608'],en,"@StuartMaconie Or a gay one.
Or a disabled one.
Or a trans one.

Etc.",1594451420018884608
2022-11-20T22:02:10.000Z,784466796183220224,['1594451058893398017'],en,@GerryHassan The best way to deal with this is to boycott it. Commercial failure would be a lesson even FIFA could not ignore. Tweeting about it promotes it. I urge you to desist.,1594451058893398017
2022-11-20T21:59:19.000Z,784466796183220224,['1594450342216978434'],it,@Effiedeans Guffy.,1594450342216978434
2022-11-20T15:38:47.000Z,784466796183220224,['1594354575108177921'],en,@toryboypierce @SteveBarclay Good luck.,1594354575108177921
2022-11-20T13:37:34.000Z,784466796183220224,['1594324072309354496'],fr,@DPJHodges Quelle surprise.,1594324072309354496
2022-11-19T21:02:23.000Z,784466796183220224,['1594073627364036609'],en,@mjasay Apples and pears son.,1594073627364036609
2022-11-19T20:59:38.000Z,784466796183220224,['1594072934733185025'],en,@brjc301 What is it?,1594072934733185025
2022-11-19T17:02:35.000Z,784466796183220224,['1594013277532610565'],en,@David__Osland In two decades there won’t be a Britain. Scotland will be independent. Ireland will be unified.,1594013277532610565
2022-11-19T00:05:28.000Z,784466796183220224,['1593757312233181186'],en,"@Otto_English I suspect the argument goes that they spend money and employ people &amp; if taxed they’d bugger off. 

This is the Amazon social taxes argument.

I suggest taxing them &amp; letting them bugger off if they so desire. 

The messaging optics are good.",1593757312233181186
2022-11-18T23:51:05.000Z,784466796183220224,['1593753692544634880'],en,@Effiedeans You are taking the piss aren’t you?,1593753692544634880
2022-11-18T23:14:42.000Z,784466796183220224,['1593744534999076865'],en,"@GerryHassan Entitlement, arrogance &amp; the sense of being untouchable.

The sooner charitable status is removed from them the better. On its own it won’t solve the multiple problems class elitism poses, but it’s certainly a tool.",1593744534999076865
2022-11-18T21:46:16.000Z,784466796183220224,['1593722279636226048'],en,"I don’t use Google for anything: Search, Maps, Email, Translate etc.

I have no Google apps installed.

So WTF am I getting all these Sign in With Google pop ups?

Please just GTF!",1593722279636226048
2022-11-18T16:48:59.000Z,784466796183220224,['1593647467970568192'],en,@joe_yer99 BRILLIANT 😂😂😂😂,1593647467970568192
2022-11-18T15:33:20.000Z,784466796183220224,['1593628429555011584'],en,@jamesdoleman Watching the 1967 European Cup Final always cheers me up https://t.co/m9tzlD2tLw,1593628429555011584
2022-11-18T15:31:25.000Z,784466796183220224,['1593627947113615363'],en,"@UPS your driver has done it again. That’s the 3rd time in the last few months. No attempt to deliver. I watched him do it. We have a video doorbell and he didn’t use it. Just put “Sorry we missed you” card thru.
 
I know it’s a tough job but this guy needs some re-training.",1593627947113615363
2022-11-16T19:34:00.000Z,784466796183220224,['1592964217896054784'],en,@Natasha_Walter @Hepworthclare Time for a Suffragettes for Independence movement?,1592964217896054784
2022-11-15T09:23:14.000Z,784466796183220224,['1592448129269641216'],en,"@ruth_wishart I’m not following it or watching any games.

I’ve been to three previous World Cups.

This one is tainted beyond measure.",1592448129269641216
2022-11-14T22:51:01.000Z,784466796183220224,['1592289023594483712'],en,@SteveBarclay @theRCN That’s not your utmost then is it?,1592289023594483712
2022-11-14T22:49:12.000Z,784466796183220224,['1592288565731692544'],en,@GerryHassan Rather low rent and perhaps an appropriate metaphor for the current landscape.,1592288565731692544
