author_id,id,lang,edit_history_tweet_ids,created_at,text
1589033186071298049,1595183295142285313,en,['1595183295142285313'],2022-11-22T22:31:49.000Z,"RT @AM_Saleeem: If we can raised N1.5m in 24hours, we can raise N5m in another 48hours!

Mention those you think can donate to the cause, l…"
1589033186071298049,1595183033153454080,in,['1595183033153454080'],2022-11-22T22:30:46.000Z,RT @real_sarkinwaka: Gaskiya wannanne abun da muka rasa kenan a arewa ko da yaushe muna ganin kokarinka na shiga matasa da kuma taimaka mus…
1589033186071298049,1595182968796053506,en,['1595182968796053506'],2022-11-22T22:30:31.000Z,RT @whitenigerian: Honestly this is what you call togetherness ❤️
1589033186071298049,1595182828785999878,en,['1595182828785999878'],2022-11-22T22:29:58.000Z,RT @ProfIsaPantami: On our way to Gombe Airport with @MKKyari the Group CEO of NNPC as President @MBuhari supervises the first oil drilling…
1589033186071298049,1595182486971355136,en,['1595182486971355136'],2022-11-22T22:28:36.000Z,"RT @Magana_abdulll1: Brand New Mercedes-Benz S650 Maybach(2020)

Price: $196,000 only🙂

Location: Abuja!!! https://t.co/90coaBatlf"
1589033186071298049,1595182469753585665,en,['1595182469753585665'],2022-11-22T22:28:32.000Z,RT @goal: Where will Cristiano Ronaldo go next? 🤔 https://t.co/mg7nPktnfo
1589033186071298049,1595136244018995200,en,['1595136244018995200'],2022-11-22T19:24:51.000Z,@officialdeezell Ameen yah Allah
1589033186071298049,1595136056407752704,qam,['1595136056407752704'],2022-11-22T19:24:06.000Z,@Officialmcpepe1 @the_zamanidata
1589033186071298049,1595135549589049344,en,['1595135549589049344'],2022-11-22T19:22:05.000Z,@CaptJamyl Ameen yah Allah
1589033186071298049,1595135511227961345,en,['1595135511227961345'],2022-11-22T19:21:56.000Z,"RT @CaptJamyl: Nothing beats togetherness. The cooperation by my brothers &amp; sisters is just amazing. Together humanity wins more. 

When I…"
1589033186071298049,1595133792951627776,en,['1595133792951627776'],2022-11-22T19:15:07.000Z,"@CaptJamyl @officialdeezell I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/LWKVUP385j"
1589033186071298049,1595133692136939520,en,['1595133692136939520'],2022-11-22T19:14:43.000Z,"@CaptJamyl I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/SwDs7UCZrP"
1589033186071298049,1595133452742905856,en,['1595133452742905856'],2022-11-22T19:13:45.000Z,"@CaptJamyl @real_sarkinwaka I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/opQbFxyTYo"
1589033186071298049,1595133353849937922,en,['1595133353849937922'],2022-11-22T19:13:22.000Z,"@CaptJamyl I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/kaeKWktSyK"
1589033186071298049,1595133243791405059,en,['1595133243791405059'],2022-11-22T19:12:56.000Z,"@CaptJamyl @Rahma_sadau I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/O5aoeKEQd0"
1589033186071298049,1595132839691157504,en,['1595132839691157504'],2022-11-22T19:11:19.000Z,"@CaptJamyl I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/HiYuaVdU6g"
1589033186071298049,1595132556621455360,en,['1595132556621455360'],2022-11-22T19:10:12.000Z,"@CaptJamyl @whitenigerian I'm a Data vendor and I also make cable subscription and lots more 
Location 📍: Kaduna state 
With the little I will have from this giveaway will go a long way in improving my side hustle.  Thank you. https://t.co/QrYLKDP1ph"
1589033186071298049,1594944937078181888,en,['1594944937078181888'],2022-11-22T06:44:40.000Z,"RT @sugakhay: Twïtter is fun when we fôllow one another, drop your handleś now👇"
1589033186071298049,1594944595582128129,en,['1594944595582128129'],2022-11-22T06:43:18.000Z,RT @ESPNUK: Cristiano Ronaldo on the response to his recent interview 🗣 https://t.co/OuXGY4jebr
