text,lang,id,author_id,edit_history_tweet_ids,created_at,geo
"📺 Watch Live Stream | World Cup 2022

⚽️ 🇲🇫 France vs Australia 🇦🇺

▶️Live Link⤵️

🔴➤HD : https://t.co/6fv99OPM7s

🔴➤SD : https://t.co/6fv99OPM7s

#FRAAUS

#FIFAWorldCup

⤵️en1⤵️",en,1595146369496498199,3127449109,['1595146369496498199'],2022-11-22T20:05:05.000Z,
"📺Watch Live Stream

⚽️ 🇲🇫 France vs Australia 🇦🇺

▶️Live Link⤵️

🔴➤ https://t.co/6fv99OPM7s

#FRAAUS

#Qatar2022

Exclusive: Secret meeting earns Wallabies pre-World Cup coup against hosts France - Fox Sports",en,1595134404514516992,3127449109,['1595134404514516992'],2022-11-22T19:17:32.000Z,
"📺 Watch Live Stream | World Cup 2022

⚽️ 🇲🇽 Mexico vs Poland 🇮🇩

▶️Live Link⤵️

🔴➤HD : https://t.co/S95Mhj4xCR

🔴➤SD : https://t.co/S95Mhj4xCR

#MEXPOL

#FIFAWorldCup #Qatar2022

⤵️en1⤵️",en,1595094261598457859,3127449109,['1595094261598457859'],2022-11-22T16:38:02.000Z,
"📺 Watch Live Stream | World Cup 2022

⚽️ 🇦🇷 Argentina vs Saudi Arabia 🇸🇦

▶️Live Link⤵️

🔴➤HD : https://t.co/gqXbv3IvsM

🔴➤SD : https://t.co/gqXbv3IvsM

#ARGSAU #ARGKSA

#WorldCup2022

⤵️😿⤵️",en,1595000756788408324,3127449109,['1595000756788408324'],2022-11-22T10:26:28.000Z,
"📺 Watch Live Stream | World Cup 2022

⚽️ USA vs Wales

▶️Live Link⤵️

🔴➤HD : https://t.co/uoZhTUclLs

🔴➤SD : https://t.co/uoZhTUclLs

#USAWAL #USMNT #FIFAWorldCup

⤵️en1⤵️",en,1594793506630934528,3127449109,['1594793506630934528'],2022-11-21T20:42:56.000Z,
"📺 Watch Live Stream | World Cup 2022

⚽️ USA vs Wales

▶️Live Link⤵️

🔴➤HD : https://t.co/uoZhTUclLs

🔴➤SD : https://t.co/uoZhTUclLs

#USAWAL #USMNT #FIFAWorldCup

⤵️EN1⤵️",en,1594774015645814784,3127449109,['1594774015645814784'],2022-11-21T19:25:29.000Z,
"📺 Watch Live Stream - World Cup 2022

⚽️ Qatar vs Ecuador

▶️Live Link⤵️

🔴➤ Link : https://t.co/dFmNimiZpk

#FIFAWorldCup #Qatar2022

World Cup 2022 LIVE: Messi MISSES Argentina training, Qatar vs Ecuador build-up, alcohol BAN, England    - The Sun",en,1594378750615064576,3127449109,['1594378750615064576'],2022-11-20T17:14:50.000Z,
"Watch Live Stream #Boxing Fight Night

🥊  Floyd Mayweather vs Deji Olatunji

⭕ Link HD: https://t.co/Yw4tzqXsbw

⭕ Link SD: https://t.co/Yw4tzqXsbw

#MayweatherDeji

➤EN.1➤",en,1591911925021118467,3127449109,['1591911925021118467'],2022-11-13T21:52:33.000Z,
"Watch Live Stream #Boxing Fight Night

🥊  Floyd Mayweather vs Deji Olatunji

🔗⭕ Link HD: https://t.co/Yw4tzqY014

🔗⭕ Link SD: https://t.co/Yw4tzqY014

#MayweatherDeji

➤En1➤",en,1591904347491033088,3127449109,['1591904347491033088'],2022-11-13T21:22:27.000Z,
"Watch Now Live Stream 🏎️ Formula1

🏎️ Sao Paulo Grand Prix 2022

⭕𝐋𝐈𝐕𝐄► : https://t.co/PImjsI3Tzc

⭕𝐋𝐈𝐕𝐄► : https://t.co/PImjsI3Tzc

#SãoPauloGP 

RACE HIGHLIGHTS: Watch all the action from a thrilling Sao Paulo Grand Prix at Interlagos | Formula 1® - Formula 1",en,1591852881594155008,3127449109,['1591852881594155008'],2022-11-13T17:57:56.000Z,
