text,lang,id,author_id,edit_history_tweet_ids,created_at,geo
RT @GoodPoliticGuy: yea that sums it up https://t.co/Q2pFCWSnwx,en,1595191633783697409,845397940348710912,['1595191633783697409'],2022-11-22T23:04:57.000Z,
@bettycrackerfl Going to the local deluxe casino for the holiday buffet. 🥧🍗🦞🍽,en,1595190558930391040,845397940348710912,['1595190558930391040'],2022-11-22T23:00:41.000Z,
This should come from their retirement fund or from insurance the union has to pay for. Not taxpayer $ or there is truly no accountability. https://t.co/Zx6aPmCaLU,en,1595179073705496579,845397940348710912,['1595179073705496579'],2022-11-22T22:15:02.000Z,{'place_id': '00d889e2088c9eac'}
RT @RevDaniel: I think it’s strange that the evangelical culture which invented Purity Balls at which girls would promise their virginity t…,en,1595178663427067907,845397940348710912,['1595178663427067907'],2022-11-22T22:13:25.000Z,
"RT @imillhiser: The reason why I mock reporters who engage in Bothsiderism is that, in 2016, many political outlets decided to balance thei…",en,1595178426088165376,845397940348710912,['1595178426088165376'],2022-11-22T22:12:28.000Z,
"RT @McuJohn: ""If you're going to keep mining the spice on Arrakis, you need to sign this google doc to be extremely hardcore"" -Duke Leto At…",en,1595157573069479937,845397940348710912,['1595157573069479937'],2022-11-22T20:49:36.000Z,
@ParkerMolloy I love the special touch resemblances of Vincent Price and Peter Lorre both typecast as creepy/horror actors and both at least bi.,en,1595148625151422464,845397940348710912,['1595148625151422464'],2022-11-22T20:14:03.000Z,{'place_id': '00d889e2088c9eac'}
RT @nhannahjones: My daughter's middle school had a drag story hour a few weeks ago. The performer discussed her journey &amp; my child and hus…,en,1595146929293635584,845397940348710912,['1595146929293635584'],2022-11-22T20:07:18.000Z,
@sweatyandgay I dub this 'Elonification'- destroying your hold on reality/credibility by poorly curating those that surround you,en,1595146620278276099,845397940348710912,['1595146620278276099'],2022-11-22T20:06:05.000Z,{'place_id': '00d889e2088c9eac'}
@erik_even Perhaps it was just loneliness at first? I'm not a master of the Canon.,en,1595145232450203649,845397940348710912,['1595145232450203649'],2022-11-22T20:00:34.000Z,{'place_id': '00d889e2088c9eac'}
@sweatyandgay This is what happens when you surround yourself with people who are only there because you're good looking.,en,1595143948951228418,845397940348710912,['1595143948951228418'],2022-11-22T19:55:28.000Z,
@samthielman Exactly because this is really about them the whole time.,en,1595141989456281600,845397940348710912,['1595141989456281600'],2022-11-22T19:47:41.000Z,{'place_id': '00d889e2088c9eac'}
"@ParkerMolloy People develop very keen intuition when their survival depends on it. Black people, the abused, and LGBT+s among others don't need to be told. 
Mainstream people just don't understand.",en,1595140771602399232,845397940348710912,['1595140771602399232'],2022-11-22T19:42:50.000Z,{'place_id': '00d889e2088c9eac'}
RT @BrianSimsPA: My parents are both retired Lt. Colonels in the Army. They met during the Vietnam War. He’d been drafted. She enlisted. I’…,en,1595139759546200064,845397940348710912,['1595139759546200064'],2022-11-22T19:38:49.000Z,
Same 💛 https://t.co/aaDjEE4lPp,en,1595138020671619073,845397940348710912,['1595138020671619073'],2022-11-22T19:31:55.000Z,{'place_id': '00d889e2088c9eac'}
@arkardo The hardest and finest steel is made by putting it through the hottest furnace. Keep going. ✊,en,1595137072633106432,845397940348710912,['1595137072633106432'],2022-11-22T19:28:08.000Z,{'place_id': '00d889e2088c9eac'}
@eric_lang I can relate to this. I'm a game designer and recently played a terrible horror game made by horror fans who were clearly not game developers. Me and my gamer friends just giggled endlessly at the ludicrous impacts of the lack of playtesting. 🤣 (in the spirit of good humor),en,1595135890997006336,845397940348710912,['1595135890997006336'],2022-11-22T19:23:27.000Z,
"@TashaRobinson According to my android many other apps have the same perms including IG,FB messenger, Chrome, gmail, etc unless I'm reading this wrong. Also Drive stuff can be restored for 30 days i think. Just saying.",en,1595134510760615936,845397940348710912,['1595134510760615936'],2022-11-22T19:17:58.000Z,{'place_id': '00d889e2088c9eac'}
"@TheRyanMcRae Same. I'm not interested in Cameron's vanity project inspired by Marvel's stomping of his box office records. The moment's passed so hard, trees have grown up through the cracks.",en,1595130008057839617,845397940348710912,['1595130008057839617'],2022-11-22T19:00:04.000Z,{'place_id': '00d889e2088c9eac'}
@LDNPeter Congrats,en,1595127717372268545,845397940348710912,['1595127717372268545'],2022-11-22T18:50:58.000Z,
"@PonchoRebound This does help a lot but imo Catan is terrible and id rather just disassociate. 
If you like it though, awesome I'm glad you do. Savor that joy.",en,1595124313841360896,845397940348710912,['1595124313841360896'],2022-11-22T18:37:27.000Z,{'place_id': '00d889e2088c9eac'}
RT @JoshuaPHilll: There’s a lot of reasons cops don’t stop attacks like the one in Colorado Springs. One is that they don’t want to. https:…,en,1594969109909114880,845397940348710912,['1594969109909114880'],2022-11-22T08:20:43.000Z,
RT @TheNeedling: Young Man Invited to Apply for Cashier Position After Performance at Self-checkout: https://t.co/u66eFZlKJs https://t.co/h…,en,1594962165345447939,845397940348710912,['1594962165345447939'],2022-11-22T07:53:07.000Z,
