lang,id,author_id,edit_history_tweet_ids,created_at,text
tr,1595189661227520002,700107876820512768,['1595189661227520002'],2022-11-22T22:57:07.000Z,"RT @firatdemirgok: 9 - Gelelim günümüz tartışmasına. 

İsmailağa Cemaati - Hanefi- Mâturîdî ağırlıklı hocaların olduğu Nakşibendi - Bağdadi…"
tr,1595189600712118272,700107876820512768,['1595189600712118272'],2022-11-22T22:56:52.000Z,RT @firatdemirgok: 5 - Sahih Buhari ve Sahih Müslim olmak üzere Hadis kaynaklarında geçen Başıboş Sokak Köpekleri ile ilgili hadisi yorumsu…
en,1595187628755894272,700107876820512768,['1595187628755894272'],2022-11-22T22:49:02.000Z,"RT @DrEliDavid: Reporters are not allowed to ask Fauci inconvenient questions 🤡

https://t.co/2GoiySTkxK"
tr,1595184095876759553,700107876820512768,['1595184095876759553'],2022-11-22T22:35:00.000Z,"RT @Jarnac_: Bu yalan ve provokasyondur. Köpekler sahipli köpek değil, insanları korkuya sevk etmeye çalışıyorlar. Belediyeye ait küpeli kö…"
tr,1595183317556645890,700107876820512768,['1595183317556645890'],2022-11-22T22:31:54.000Z,RT @devrimkocak: Kanun sahipsiz hayvanı ayrı güçten düşmüş hayvanı ayrı tanımlamış ve yerel yönetime hem sahipsiz hayvanları hem de güçten…
tr,1595142204909318144,700107876820512768,['1595142204909318144'],2022-11-22T19:48:32.000Z,"RT @kopekmagduru: Dur nereye gidiyorsun daha köpeklerin öldürdüğü, yaraladığı insanlar için davalar açılacak.  Yargılanacaksınız
#KöpekKanu…"
tr,1595141592557703170,700107876820512768,['1595141592557703170'],2022-11-22T19:46:06.000Z,"@dogtrain_ Icazetci basiboscular herhalde yargilanirlarsa kurtulmak icin bu kadar sacma dusunuyor, davraniyorlar! Baska sebep bulamiyorum!"
tr,1595139921282760704,700107876820512768,['1595139921282760704'],2022-11-22T19:39:28.000Z,"@qujunil Asi onayi bile baska ismin uzerine, onaylanan Comirnaty, uygulanan Biontech! Neden?"
tr,1595139158485651457,700107876820512768,['1595139158485651457'],2022-11-22T19:36:26.000Z,"@lontabi @ismailbsr_ Basibos kopekler, siginmacilar, kacaklar gibi hayatimizi inanilmaz etkileyen problemler sessizce buyutulmus, kimse farkina varamamis!"
tr,1595137886159925248,700107876820512768,['1595137886159925248'],2022-11-22T19:31:22.000Z,"@RTErdogan @dbdevletbahceli @MevlutCavusoglu Oyuncularda Turk oldugu soylenince arastirdim, yapimci Suriyeli; bize ihanetleri hic bitmedi bunlarin! https://t.co/cEvtzi2GZa"
tr,1595135652328534016,700107876820512768,['1595135652328534016'],2022-11-22T19:22:30.000Z,"@cambriem @RTErdogan @dbdevletbahceli @MevlutCavusoglu Tarihi carpitan filmde Turkler varmis 😳! Yedi duvel bize soykirim uyguladi, uc kurus icin bize iftira eden bu filmde oynayanlari boykot edelim!"
en,1595134198574370819,700107876820512768,['1595134198574370819'],2022-11-22T19:16:43.000Z,RT @hodgetwins: Fired for his skin color.
en,1595134109961314304,700107876820512768,['1595134109961314304'],2022-11-22T19:16:22.000Z,RT @elonmusk: @DineshDSouza Correct
en,1595134094165176321,700107876820512768,['1595134094165176321'],2022-11-22T19:16:18.000Z,RT @DineshDSouza: We don’t hear much about Democrats and leftists being let back on Twitter. Why? Because they were never kicked off in the…
tr,1595133334539374592,700107876820512768,['1595133334539374592'],2022-11-22T19:13:17.000Z,"RT @_ercanozcelik: Bugün Kocaeli'nde bir işimiz vardı.
Acıkınca bir büfe-kafe işletmesine yöneldik ama tost, döner ve sandviç hazırlanan te…"
tr,1595133239408365569,700107876820512768,['1595133239408365569'],2022-11-22T19:12:55.000Z,"RT @mustafaonsel: Hasan Karataş, henüz 5 yaşındaydı.
Ayşenur Alkan 22 yaşındaydı. Öğretmendi.
""İntikam zamanı"" diyerek sivil hedeflere sald…"
tr,1595132393727614976,700107876820512768,['1595132393727614976'],2022-11-22T19:09:33.000Z,RT @okiracoglu: Yerleşim yerinin içinde kaldırımın ortasına kilolarca çiğ et dökmenin hayvanseverlik olarak pazarlandığı tek ülke Türkiye'd…
tr,1595131829031690240,700107876820512768,['1595131829031690240'],2022-11-22T19:07:18.000Z,"@gulbintosun @yavuzagiraliog Medeni dunya basibos kopekcileri affetmez; gercek hayvanseverler kopekleri sahiplenir, sokakta vahsilesip birbirlerini, diger hayvanlari, insanlari parcalamasini hic affetmez, saldiran sahipli kopegi bile uyutur, sahibine ceza verir, tazminat odetir!"
en,1595130651396538368,700107876820512768,['1595130651396538368'],2022-11-22T19:02:38.000Z,RT @ANTlWOKE: ❌❌ BREAKING: According to media reports George Soros has died earlier today aged 92 in Hungary https://t.co/Mzw3FJERTN
qam,1595130459515916288,700107876820512768,['1595130459515916288'],2022-11-22T19:01:52.000Z,@RTErdogan @dbdevletbahceli https://t.co/yVyDnl6OJp
tr,1595129715857448961,700107876820512768,['1595129715857448961'],2022-11-22T18:58:54.000Z,"@alyen1st Bu ilkel seyler niye bizim ulkemize gonderiliyor, kimle isbirligi yaptilarsa oraya gitsinler, sapik kulturlu tas devri adamlari!"
tr,1595128517502521344,700107876820512768,['1595128517502521344'],2022-11-22T18:54:09.000Z,RT @FethiAslan1453: Mustafa Erçetin(10) kuduzdan öldüğünde bile vakayı #dezenformasyon ile tag'lar açarak yalanlayan köpekçilerin başıboş k…
en,1595128470027530241,700107876820512768,['1595128470027530241'],2022-11-22T18:53:57.000Z,"RT @XAVIAERD: So Joe Biden is sending ANOTHER $4.5 BILLION to Ukraine—

We have a homeless epidemic

Businesses are still destroyed from lo…"
