edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595135231409131520'],502827003,es,RT @IrisZancho: @EduNorte_ La mujer del alcalde es comunal!,1595135231409131520,2022-11-22T19:20:50.000Z
['1595134806287056896'],502827003,en,"RT @PicardTips: Picard management tip: When you're threatened with catastrophe, it's rational to try a risky maneuver.",1595134806287056896,2022-11-22T19:19:08.000Z
['1595134767229734913'],502827003,es,"RT @hildajav: Me gustan los ositos alfileteros de mi mamá, son tan vudú https://t.co/uyiRFvX5rU",1595134767229734913,2022-11-22T19:18:59.000Z
['1595134756601364480'],502827003,es,RT @TakiTakos: Nunca me lo había pasado tan bien viéndoos jugar a pokemon x),1595134756601364480,2022-11-22T19:18:56.000Z
['1595134658907635713'],502827003,pt,"RT @PeliDeTarde: Coido que, sen contar co follow de Eric Roberts, a mención da @TVGalicia é o momento máis importante da historia de Peli d…",1595134658907635713,2022-11-22T19:18:33.000Z
['1595134578142105600'],502827003,es,RT @Afiag: Muy interesante este diseño para una misión de exploración a Venus con el objetivo de encontrar indicios de vida venusina en las…,1595134578142105600,2022-11-22T19:18:14.000Z
['1595134510378545152'],502827003,en,RT @nicomuhly: The winner of “most chaotic portmanteau” goes to…. https://t.co/W4m5UC3xsZ,1595134510378545152,2022-11-22T19:17:58.000Z
['1595134462802931713'],502827003,es,"RT @SMedraut: Me estoy acordando de un vampiro que jugué que secuestraba a Toreadores del Sabbath que sabían coser y dibujar, los sometía a…",1595134462802931713,2022-11-22T19:17:46.000Z
['1595134398223245313'],502827003,ca,"RT @Akmaiaskia: Ets ""mare de cinc catalans"", podries haver pensat en els recursos escassos abans de tenir-los.",1595134398223245313,2022-11-22T19:17:31.000Z
['1595134250331738112'],502827003,es,"RT @rincongarrapato: Me lo acaban de pasar por Whatsapp, llevo media hora riéndome. https://t.co/K8Q9IRjQn5",1595134250331738112,2022-11-22T19:16:56.000Z
['1595134202055303168'],502827003,es,"RT @chabi13trl: Lo paso francamente mal cuando el compa de curro que se pasa diariamente por dónde estoy yo solo me habla de coches, motos,…",1595134202055303168,2022-11-22T19:16:44.000Z
['1595134153837592576'],502827003,zxx,RT @SpaceLiminalBot: https://t.co/5xL94qQSOt,1595134153837592576,2022-11-22T19:16:33.000Z
['1595134101451071488'],502827003,zxx,RT @nocontextfooty: https://t.co/uCqe2Ez3UH,1595134101451071488,2022-11-22T19:16:20.000Z
['1595134045146345473'],502827003,en,"RT @lqfacts: I'm surprised that so many people don't know this.
https://t.co/7Xfbth9WuL https://t.co/YTQmkeZBYe",1595134045146345473,2022-11-22T19:16:07.000Z
['1595134013978836999'],502827003,en,"RT @zillowgonewild: Taylor Swift’s former townhouse rental on Cornelia Street is back on the market for rent for an easy $45,000 a month. h…",1595134013978836999,2022-11-22T19:15:59.000Z
['1595133872790212609'],502827003,zxx,RT @yoloswagstudios: https://t.co/aosqOttifw,1595133872790212609,2022-11-22T19:15:26.000Z
['1595133686953168897'],502827003,es,"RT @Neinbert: ""He podido dejar de trabajar con mi padre"" y ""no me han regalado nada"" en la misma frase. Los pijos son así, tienen metida la…",1595133686953168897,2022-11-22T19:14:41.000Z
['1595133507558584320'],502827003,en,RT @16pxl: gonna have a holiday sale in my shop starting friday 🥰🌈✨ https://t.co/GjWhtmBqgU,1595133507558584320,2022-11-22T19:13:59.000Z
['1595133441863192576'],502827003,es,RT @MichakunGomez: @d_prieto @brunny_troll ¿Crowdfunding para una mesa de estas? Aduanas se frota las manos https://t.co/UCTCmsJTlL,1595133441863192576,2022-11-22T19:13:43.000Z
['1595073680513859585'],502827003,zxx,RT @Nosolorol: https://t.co/heZNZH6eDd,1595073680513859585,2022-11-22T15:16:15.000Z
['1595073557733720067'],502827003,es,"RT @menhdel: Uhm, veamos que red social elijo: en la que te pueden robar hasta los riñones, la que tengo que estudiar para entenderla, la q…",1595073557733720067,2022-11-22T15:15:45.000Z
