author_id,lang,id,created_at,edit_history_tweet_ids,text
1374494849685065734,en,1595134414270263296,2022-11-22T19:17:35.000Z,['1595134414270263296'],@avgmilfloverr Yeezy nation 🆙
1374494849685065734,en,1595114880440291328,2022-11-22T17:59:57.000Z,['1595114880440291328'],"RT @BallsackSports: Ladies and gents, we are back on ESPN again 😭😭😭

Cred:@seanrossschmidt https://t.co/djWCsHgKVI"
1374494849685065734,en,1594879100120076288,2022-11-22T02:23:03.000Z,['1594879100120076288'],RT @hanssvmera: Austin Reaves ran into them baddies sitting courtside and turned into 2016 Steph 😭😭😭 https://t.co/CLFlVLm5I8
1374494849685065734,en,1594769493816971264,2022-11-21T19:07:31.000Z,['1594769493816971264'],@avgmilfloverr Why did you put this on my timeline https://t.co/juMfbszy4L
1374494849685065734,en,1594578946657591296,2022-11-21T06:30:21.000Z,['1594578946657591296'],RT @ArouWolf: @misslattesart Dawg.... https://t.co/QOUPjCsw91
1374494849685065734,qme,1594544536960860160,2022-11-21T04:13:37.000Z,['1594544536960860160'],RT @rosoramic: @kkbutterfly27xx @wildtiktokss https://t.co/GiH6K8E3h4
1374494849685065734,und,1594499581076680704,2022-11-21T01:14:59.000Z,['1594499581076680704'],RT @_cortesv: @nocontextfooty ☠️ https://t.co/vv2OmlKcHM
1374494849685065734,en,1594483132954132480,2022-11-21T00:09:37.000Z,['1594483132954132480'],RT @Alphiixy: Arson https://t.co/8bDVixTGBe
1374494849685065734,en,1594416202058649600,2022-11-20T19:43:40.000Z,['1594416202058649600'],@avgmilfloverr Of course I will
1374494849685065734,es,1594401297913872385,2022-11-20T18:44:26.000Z,['1594401297913872385'],RT @Edgarparedes26: EL VAR DE QATAR https://t.co/nL4zNsn6xQ
1374494849685065734,en,1594394495919218693,2022-11-20T18:17:24.000Z,['1594394495919218693'],RT @MaudsValentine: @AbsoluteAndro @HugoBedward @hyxpk I like my tapes duct
1374494849685065734,en,1594364205796192256,2022-11-20T16:17:03.000Z,['1594364205796192256'],@avgmilfloverr Watch evangelion 😵‍💫😵‍💫
1374494849685065734,en,1594170232117284866,2022-11-20T03:26:16.000Z,['1594170232117284866'],"RT @plainrocktweets: No store was selling posters, just used a vinyl like some suggested. Thanks! https://t.co/tjpoTeTAFE"
1374494849685065734,qme,1593999575680884737,2022-11-19T16:08:08.000Z,['1593999575680884737'],RT @MoruRed: @OOCWesternR34 https://t.co/i2KAHOferO
1374494849685065734,en,1593268998292094978,2022-11-17T15:45:05.000Z,['1593268998292094978'],RT @DaktoCeeDee: @TheNBACentral @JakeLFischer Jae Crowder https://t.co/hFqUht2vvK
1374494849685065734,en,1593243210255839234,2022-11-17T14:02:37.000Z,['1593243210255839234'],@yunggravy Shut the fuck up
1374494849685065734,en,1592919561200107520,2022-11-16T16:36:33.000Z,['1592919561200107520'],@Suns @PlayAtGila @warriors @FootprintCNTR @BALLYSPORTSAZ @AZSports @az_mejor Idk how y’all do it with these graphics but they’re craaaazy
1374494849685065734,und,1592884455643189248,2022-11-16T14:17:03.000Z,['1592884455643189248'],@abanplaces @Quadeca quadicka assgate reference??
1374494849685065734,zxx,1592741288947785728,2022-11-16T04:48:09.000Z,['1592741288947785728'],RT @wildtiktokss: https://t.co/O2mhRMBPYE
1374494849685065734,qme,1592683955337121792,2022-11-16T01:00:20.000Z,['1592683955337121792'],@DrakeTheroux https://t.co/aXFklvQssc
1374494849685065734,qme,1592657021744328704,2022-11-15T23:13:18.000Z,['1592657021744328704'],RT @ThunderFanIsaac: @TheNBACentral @balldontstop https://t.co/fT0cTzwcbu
1374494849685065734,qme,1592604345425883136,2022-11-15T19:43:59.000Z,['1592604345425883136'],RT @NaRWay_: @breaking_frames https://t.co/biUHj5YHV0
1374494849685065734,en,1592300069528961024,2022-11-14T23:34:54.000Z,['1592300069528961024'],@Suns @BannerHealth This mf Chris Paul refuses to work old ahh escaped from a retirement home
1374494849685065734,en,1591982201872453634,2022-11-14T02:31:49.000Z,['1591982201872453634'],@king3thzn VERY COOL ART !!!! THIS SHIT BOMB
1374494849685065734,en,1591526314447884289,2022-11-12T20:20:17.000Z,['1591526314447884289'],@Quackity @Quadeca You better plug this shit and make it mainstream mr
1374494849685065734,qme,1591338120687292417,2022-11-12T07:52:28.000Z,['1591338120687292417'],RT @HadleyInc: @theneedledrop https://t.co/rlKQr12g0g
1374494849685065734,en,1591112993261359104,2022-11-11T16:57:53.000Z,['1591112993261359104'],"RT @currypistonn: NBA Chips out now!👀

https://t.co/y5GDlj5OLq https://t.co/adtjyD1sQQ"
1374494849685065734,en,1591002759490572289,2022-11-11T09:39:51.000Z,['1591002759490572289'],"everybody gotta check out the new quadeca album. idmthy, i didn't mean to haunt you, all of that twitter reactions stuff. listen to it. it's amazing. true soulful music."
1374494849685065734,en,1591000268497620993,2022-11-11T09:29:58.000Z,['1591000268497620993'],"RT @ObamaNoHoes: @Quadeca her: you gotta be the greatest album ever made if you think we’re fucking 🤦‍♀️🤦‍♀️
my dumbass: https://t.co/lHc6g…"
1374494849685065734,en,1590754620086751238,2022-11-10T17:13:50.000Z,['1590754620086751238'],@NanetJr @Suns @PayPal @Wainright24 That’s the girl that recognized him in the NBA players my gf knows tweet
1374494849685065734,en,1590347285007040512,2022-11-09T14:15:14.000Z,['1590347285007040512'],RT @zXenim: @cocksources Kyrie's gonna hit bro with the Holocross
1374494849685065734,qme,1590012195156680704,2022-11-08T16:03:42.000Z,['1590012195156680704'],RT @hydraflood: @TheNBACentral https://t.co/oDm7qb3SjE
1374494849685065734,zxx,1589487672271450112,2022-11-07T05:19:26.000Z,['1589487672271450112'],RT @boygrrI: https://t.co/QVmSjNVPBJ
1374494849685065734,qme,1589378507620356097,2022-11-06T22:05:40.000Z,['1589378507620356097'],RT @polofapalot: @uglyboyWRLDD @scrit_ https://t.co/ZCLbu24cna
1374494849685065734,qme,1589273308897619968,2022-11-06T15:07:38.000Z,['1589273308897619968'],RT @Rob0killa: @jonathansboobs1 @anythingbott https://t.co/3QDm6HpyTx
1374494849685065734,zxx,1589039682201202688,2022-11-05T23:39:17.000Z,['1589039682201202688'],RT @ribosoma_42: https://t.co/U9b69Uy2jI
1374494849685065734,en,1588940169193099264,2022-11-05T17:03:52.000Z,['1588940169193099264'],@DeepVoiceDanny @richbrian The voice of Quandale Dingle
1374494849685065734,es,1588838146581536768,2022-11-05T10:18:27.000Z,['1588838146581536768'],RT @manuhhgarcia: @AnsiChan Creo que tratan de decirte que te vistas haci https://t.co/uQbC7G9vd4
1374494849685065734,und,1588836474878689280,2022-11-05T10:11:49.000Z,['1588836474878689280'],RT @Leobernabe2: @AnsiChan Xd https://t.co/wBvlIvc7YO
1374494849685065734,en,1588819349670096896,2022-11-05T09:03:46.000Z,['1588819349670096896'],Aye no zodiacs but this is literally what’s happening to me wtfffff how does bro know https://t.co/6jwJg4Lgmd
1374494849685065734,en,1588350078644674560,2022-11-04T01:59:03.000Z,['1588350078644674560'],RT @zoduuz: @wowthatshiphop Most unseirous nigga of all time https://t.co/gfM8eXHBkh
1374494849685065734,tl,1588349874562797568,2022-11-04T01:58:14.000Z,['1588349874562797568'],RT @jansqueezy: @wowthatshiphop yoo ahahaha https://t.co/1u9ULpclTe
