edit_history_tweet_ids,lang,created_at,author_id,id,text
['1597080262113775616'],en,2022-11-28T04:09:41.000Z,3238426689,1597080262113775616,"体育 𝐯𝐚𝐫𝐢𝐚𝐛𝐥𝐲 𝐚𝐫𝐞. 𝐀𝐮𝐧𝐭 𝐏𝐞𝐧𝐞𝐥𝐨𝐩𝐞 𝐬𝐚𝐲𝐬 𝐬𝐨, 𝐚𝐧𝐝 𝐬𝐡𝐞 𝐨𝐮𝐠𝐡𝐭 𝐭𝐨 𝐤𝐧𝐨𝐰.""  https://t.co/yLdKd4iKBH"
['1597079840795959296'],en,2022-11-28T04:08:01.000Z,3238426689,1597079840795959296,#世界杯竞猜   was very conducive  https://t.co/Lb5zzOlEjt
['1597079431029215232'],en,2022-11-28T04:06:23.000Z,3238426689,1597079431029215232,#世界杯竞猜   keel at will. Don't  https://t.co/Lb5zzOlEjt
['1597079100874555392'],en,2022-11-28T04:05:04.000Z,3238426689,1597079100874555392,"#世界杯竞猜   city, although some  https://t.co/Lb5zzOlEjt"
['1597078839363895297'],en,2022-11-28T04:04:02.000Z,3238426689,1597078839363895297,#世界杯竞猜   two looked at each  https://t.co/Lb5zzOlEjt
['1597078534207389696'],fi,2022-11-28T04:02:49.000Z,3238426689,1597078534207389696,#世界杯竞猜   seeds. These Xu Qingqing  https://t.co/Lb5zzOlEjt
['1597077749016821761'],en,2022-11-28T03:59:42.000Z,3238426689,1597077749016821761,d been made to take down notes on the subject      https://t.co/vk5IrCNvN8
['1597077259763912704'],en,2022-11-28T03:57:45.000Z,3238426689,1597077259763912704,"#世界杯竞猜   a tone that was poisoned,  https://t.co/Lb5zzOlEjt"
['1597076843844186113'],en,2022-11-28T03:56:06.000Z,3238426689,1597076843844186113,#世界杯竞猜   when the senior sister  https://t.co/Lb5zzOlEjt
['1597076332596207616'],en,2022-11-28T03:54:04.000Z,3238426689,1597076332596207616,#世界杯竞猜   the monitoring has  https://t.co/Lb5zzOlEjt
['1597075885261103104'],en,2022-11-28T03:52:17.000Z,3238426689,1597075885261103104,#世界杯竞猜   they can't find out  https://t.co/Lb5zzOlEjt
['1597075494331191297'],en,2022-11-28T03:50:44.000Z,3238426689,1597075494331191297,#世界杯竞猜   condition. She is  https://t.co/Lb5zzO43rV
['1597075134552023041'],en,2022-11-28T03:49:18.000Z,3238426689,1597075134552023041,"#世界杯竞猜   the news, he slammed  https://t.co/Lb5zzOlEjt"
['1597074846835359744'],en,2022-11-28T03:48:10.000Z,3238426689,1597074846835359744,#世界杯竞猜   the thunder spell  https://t.co/Lb5zzOlEjt
['1597074327077154816'],en,2022-11-28T03:46:06.000Z,3238426689,1597074327077154816,"#世界杯竞猜   precious, if you want  https://t.co/Lb5zzOlEjt"
['1597073867939397633'],en,2022-11-28T03:44:16.000Z,3238426689,1597073867939397633,"体育  “𝐂𝐨𝐦𝐞 𝐛𝐚𝐜𝐤 𝐚 𝐟𝐚𝐦𝐨𝐮𝐬 𝐩𝐚𝐢𝐧𝐭𝐞𝐫, 𝐑𝐮𝐞. 𝐊𝐞𝐞𝐩 𝐲𝐨𝐮𝐫 𝐡𝐞𝐚𝐝 𝐜𝐥𝐞𝐚𝐫  https://t.co/yLdKd419K9"
['1597073486534434816'],en,2022-11-28T03:42:46.000Z,3238426689,1597073486534434816,#世界杯竞猜   and the long-distance  https://t.co/Lb5zzOlEjt
['1597073038444417025'],en,2022-11-28T03:40:59.000Z,3238426689,1597073038444417025,#世界杯竞猜   at the beginning was  https://t.co/Lb5zzOlEjt
['1597072619047571456'],en,2022-11-28T03:39:19.000Z,3238426689,1597072619047571456,"#世界杯竞猜   monks haunting there,  https://t.co/Lb5zzOlEjt"
['1597072120198078464'],en,2022-11-28T03:37:20.000Z,3238426689,1597072120198078464,#世界杯竞猜   on it directly to keep  https://t.co/Lb5zzO43rV
['1597070956375117824'],en,2022-11-28T03:32:42.000Z,3238426689,1597070956375117824,#世界杯竞猜   on the Internet and  https://t.co/Lb5zzOlEjt
['1597070479377936385'],en,2022-11-28T03:30:49.000Z,3238426689,1597070479377936385,#世界杯竞猜   them to the place where  https://t.co/Lb5zzOlEjt
['1597070186024148992'],en,2022-11-28T03:29:39.000Z,3238426689,1597070186024148992,"#世界杯竞猜   life, and hoped that  https://t.co/Lb5zzO43rV"
['1597069779227271168'],en,2022-11-28T03:28:02.000Z,3238426689,1597069779227271168,体育  𝐢𝐧 𝐚 𝐜𝐡𝐚𝐢𝐫 𝐥𝐢𝐬𝐭𝐥𝐞𝐬𝐬𝐥𝐲 𝐞𝐧𝐨𝐮𝐠𝐡. 𝐒𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐢𝐧 𝐡𝐞𝐫 𝐦𝐚𝐧𝐧𝐞𝐫 𝐰𝐨𝐮𝐥𝐝  https://t.co/yLdKd41HzH
['1597069216196485123'],en,2022-11-28T03:25:47.000Z,3238426689,1597069216196485123,#世界杯竞猜   soon. Although the  https://t.co/Lb5zzO4Bht
['1597068703283101696'],en,2022-11-28T03:23:45.000Z,3238426689,1597068703283101696,"#世界杯竞猜   paused for a while,  https://t.co/Lb5zzOlEjt"
['1597068281675857921'],en,2022-11-28T03:22:05.000Z,3238426689,1597068281675857921,"ht in dissecting12 his ignorance, and showing everybody     https://t.co/vk5IrCNvN8"
['1597068009985564672'],en,2022-11-28T03:21:00.000Z,3238426689,1597068009985564672,#世界杯竞猜   like they were only  https://t.co/Lb5zzOlEjt
['1597067598679900160'],en,2022-11-28T03:19:22.000Z,3238426689,1597067598679900160,"体育 𝐏𝐚𝐭𝐢𝐞𝐧𝐜𝐞 𝐢𝐧𝐯𝐚𝐫𝐢𝐚𝐛𝐥𝐲 𝐬𝐚𝐭 𝐚𝐭 𝐭𝐡𝐞 𝐟𝐨𝐨𝐭, 𝐌𝐢𝐬𝐬 𝐃𝐞𝐥𝐢𝐜𝐢𝐚 𝐰𝐚𝐧  https://t.co/yLdKd41HzH"
['1597067056238690304'],tl,2022-11-28T03:17:12.000Z,3238426689,1597067056238690304,#世界杯竞猜   of the leader Li Zhengyang.  https://t.co/Lb5zzO43rV
['1597066352530903041'],en,2022-11-28T03:14:25.000Z,3238426689,1597066352530903041,"#世界杯竞猜   met some great friends,  https://t.co/Lb5zzOlEjt"
['1597065912741670913'],en,2022-11-28T03:12:40.000Z,3238426689,1597065912741670913,#世界杯竞猜   If the movement is  https://t.co/Lb5zzO4Bht
['1597065597371961344'],fr,2022-11-28T03:11:25.000Z,3238426689,1597065597371961344,"#世界杯竞猜   sentence, Qu Baimo  https://t.co/Lb5zzO4Bht"
['1597065047351738369'],en,2022-11-28T03:09:13.000Z,3238426689,1597065047351738369,#世界杯竞猜   the new master who  https://t.co/Lb5zzO43rV
['1597064822142734345'],und,2022-11-28T03:08:20.000Z,3238426689,1597064822142734345,"#世界杯竞猜   try it first."" Xu Qingqing  https://t.co/Lb5zzO43rV"
['1597064402624479233'],en,2022-11-28T03:06:40.000Z,3238426689,1597064402624479233,#世界杯竞猜   hard feather needles  https://t.co/Lb5zzO4Bht
['1597064063716319233'],en,2022-11-28T03:05:19.000Z,3238426689,1597064063716319233,"#世界杯竞猜   building. Alas, I  https://t.co/Lb5zzO4Bht"
['1597063686975373314'],en,2022-11-28T03:03:49.000Z,3238426689,1597063686975373314,"体育 𝐚𝐫𝐦 𝐲𝐨𝐮 𝐠𝐚𝐯𝐞 𝐦𝐞, 𝐚𝐧𝐝 𝐡𝐨𝐰 𝐰𝐞 𝐭𝐚𝐥𝐤𝐞𝐝 𝐨𝐟 𝐠𝐞𝐧𝐭𝐥𝐞 𝐠  https://t.co/yLdKd419K9"
['1597063390597464065'],und,2022-11-28T03:02:38.000Z,3238426689,1597063390597464065,#世界杯竞猜   ordinary. Li Qingchen  https://t.co/Lb5zzO43rV
['1597062955627151360'],en,2022-11-28T03:00:55.000Z,3238426689,1597062955627151360,#世界杯竞猜   the butterfly corpses  https://t.co/Lb5zzO43rV
['1597062641117450240'],en,2022-11-28T02:59:40.000Z,3238426689,1597062641117450240,"man to help me; I thought he could do it, and I bel     https://t.co/vk5IrD5F1g"
['1597062087850614784'],en,2022-11-28T02:57:28.000Z,3238426689,1597062087850614784,体育  𝐆𝐞𝐨𝐫𝐠𝐞 𝐆𝐨𝐝𝐨𝐥𝐩𝐡𝐢𝐧 𝐝𝐢𝐝 𝐧𝐨𝐭 𝐫𝐞𝐥𝐞𝐚𝐬𝐞 𝐌𝐚𝐫𝐢𝐚; 𝐡𝐞 𝐬𝐢𝐦𝐩𝐥𝐲 𝐥𝐢𝐟𝐭𝐞𝐝  https://t.co/yLdKd4iKBH
['1597061619716042755'],en,2022-11-28T02:55:36.000Z,3238426689,1597061619716042755,#世界杯竞猜   just a temporary stronghold  https://t.co/Lb5zzOlEjt
