created_at,edit_history_tweet_ids,text,id,lang,author_id
2022-11-28T04:11:36.000Z,['1597080744186507266'],RT @TheFFFanatics3: Immunize him from the field https://t.co/SyXgG9EaVI,1597080744186507266,en,18445181
2022-11-28T04:11:30.000Z,['1597080719066820611'],"RT @lukesawhook: Christian Watson has 95 yards and a touchdown on 3 catches…
 https://t.co/AyweFtK6c5",1597080719066820611,en,18445181
2022-11-28T03:43:01.000Z,['1597073550439247874'],"RT @PointsBetUSA: Going to close my eyes and see Jason Garrett staring into my soul tonight

https://t.co/gpuILzH55Q",1597073550439247874,en,18445181
2022-11-28T03:27:16.000Z,['1597069586327031808'],@carissajanuary 😂😂😂😂😂,1597069586327031808,und,18445181
2022-11-28T03:22:50.000Z,['1597068471388737537'],@tomrollman @MySportsUpdate @Mosesbreed Jalen Carter from Georgia gonna be real nice,1597068471388737537,en,18445181
2022-11-28T03:21:59.000Z,['1597068260163608576'],RT @Mr_FadedGlory: @MySportsUpdate @JoshCashman_ This really might be the biggest fleece since Herschel Walker,1597068260163608576,en,18445181
2022-11-28T03:21:30.000Z,['1597068134653243392'],RT @MySportsUpdate: The #Seahawks currently have the No. 3 overall pick in next year's draft via the Russell Wilson trade.,1597068134653243392,en,18445181
2022-11-28T03:19:14.000Z,['1597067566060797954'],@carissajanuary Dammit Derek,1597067566060797954,de,18445181
2022-11-28T03:18:08.000Z,['1597067290025263105'],"@carissajanuary Lmao for someone with so many glass windows, she and her husband throw a lot of stones. Idiots.",1597067290025263105,en,18445181
2022-11-28T03:17:02.000Z,['1597067011817091073'],@carissajanuary I’m glad women have something they can feel similar to what we suffer 😂,1597067011817091073,en,18445181
2022-11-28T03:00:24.000Z,['1597062827201925120'],I see some bozo with their own problems talking a lot of shit but that’s all they do.,1597062827201925120,en,18445181
2022-11-27T23:09:44.000Z,['1597004778189787137'],"RT @EricNMoody: Mike White’s press conference:
https://t.co/0HDhscH3RR",1597004778189787137,en,18445181
2022-11-27T23:06:31.000Z,['1597003966747115520'],"RT @SeahawkNerd: The #Seahawks currently hold the third overall pick in the 2023 draft, via the #Broncos. https://t.co/WgO6KTbfoJ",1597003966747115520,en,18445181
2022-11-27T23:06:18.000Z,['1597003911705296896'],RT @PetersenWill: There’s a real chance the Broncos get the No. 2 overall pick in the 2023 NFL Draft… And have to send it to Seattle.,1597003911705296896,en,18445181
2022-11-27T22:15:10.000Z,['1596991046747316224'],"RT @bat_aaron: @edsbs “It was the least we could do.” - Dan Snyder misunderstanding the meaning of the phrase

I am simultaneously angry, s…",1596991046747316224,en,18445181
2022-11-27T22:14:47.000Z,['1596990946956414976'],RT @edsbs: the franchise absolutely doing the least at all times,1596990946956414976,en,18445181
2022-11-27T22:13:44.000Z,['1596990683495436288'],"RT @edsbs: Again, follow your dreams, because unqualified idiots are paid to do things they shouldn't be doing every day, why not you",1596990683495436288,en,18445181
2022-11-27T22:08:24.000Z,['1596989344094752771'],RT @sportscronkite: How it started:     How it’s going: https://t.co/xO7C3YrS0n,1596989344094752771,en,18445181
2022-11-27T21:57:09.000Z,['1596986511198916608'],RT @gregbwells: @Sam4TR https://t.co/fCN2vy1dxO,1596986511198916608,qme,18445181
2022-11-27T21:14:24.000Z,['1596975752813346816'],"RT @JeremyHawkes: Well, I’m not sure I’ll ever pick out a more lucrative question while running a press conference. That was electric. 

Th…",1596975752813346816,en,18445181
2022-11-27T21:03:34.000Z,['1596973026847109120'],RT @JoeBidenWon: @EricMMatheny https://t.co/nz5R5n2AHE,1596973026847109120,qme,18445181
2022-11-27T20:56:51.000Z,['1596971337272426496'],RT @Brashnotboring: @DailyBroncos Broncos fans are about to find out real quick they got fleeced in a trade.,1596971337272426496,en,18445181
2022-11-27T20:55:27.000Z,['1596970983944261632'],https://t.co/KNf6i5SXt2 https://t.co/p8ZZai3xJx,1596970983944261632,zxx,18445181
2022-11-27T20:54:56.000Z,['1596970854990372864'],https://t.co/JSYSXvGqpw https://t.co/jeNbxNjj25,1596970854990372864,zxx,18445181
2022-11-27T20:22:42.000Z,['1596962743940427776'],"RT @ChrisVannini: During Kenny Dillingham's press conference, a booster stood up and said he'll donate $1 million to Arizona State's collec…",1596962743940427776,en,18445181
2022-11-27T20:22:31.000Z,['1596962697920532480'],"RT @ChrisVannini: Kenny Dillingham on ASU: ""We need everybody in this room to get involved. We need the valley behind us.""

His pitch is to…",1596962697920532480,en,18445181
2022-11-27T20:20:15.000Z,['1596962126887014400'],"RT @ASUFootball: Sun Devil nation, please welcome ASU graduate Kenny Dillingham back to the desert. 

Welcome home Coach!

#ForksUp #O2V ht…",1596962126887014400,en,18445181
2022-11-27T19:21:38.000Z,['1596947375192707073'],RT @JentinkTodd_JR: Sam Darnold is out dueling Russell Wilson. Yes you read that correctly folks.,1596947375192707073,en,18445181
2022-11-27T19:20:33.000Z,['1596947102705537024'],"RT @FanDuel: Russell Wilson: ""Broncos Country, Lets Ride"" 

the ride: https://t.co/HWDQ4GN9LT",1596947102705537024,en,18445181
2022-11-27T19:19:23.000Z,['1596946807887888384'],So is this still not russ’ fault?,1596946807887888384,en,18445181
2022-11-27T18:58:15.000Z,['1596941490600964096'],Coaches that might get you 10 wins if you’re lucky. I love trying something new with a young coach that knows the state of Arizona  high school football and described ASU as his dream job. #ForksUp https://t.co/nOdHJW3llH,1596941490600964096,en,18445181
2022-11-27T18:58:11.000Z,['1596941471810478081'],"Shown some promise every few years and scored a lot of points (meh). Over the years, the coaches hired have been anywhere between somewhat promising (Todd Graham), to living in the past (Dennis erickson) to straight up weird (Herm Edwards). A bunch of above average middle aged",1596941471810478081,en,18445181
2022-11-27T18:58:10.000Z,['1596941469923041286'],"Absolutely pumped @ASUFootball next coach is @KennyDillingham. Unfortunately since I started diligently watching ASU football, the program has been described as a sleeping giant. Despite with all the things going for it, they haven’t woken up yet. Shared a pac-12 championship,",1596941469923041286,en,18445181
2022-11-27T18:41:14.000Z,['1596937206664671232'],"RT @DevilsDigest: An emotional Kenny Dillingham: ""This is home. This place is special."" https://t.co/Gz3gOCmSBI",1596937206664671232,en,18445181
2022-11-27T18:41:04.000Z,['1596937165141049345'],"RT @ralphamsden: An example of how on top of AZ Kenny Dillingham is and has been.

Arizona State currently has three scholarship offers out…",1596937165141049345,en,18445181
2022-11-27T18:40:56.000Z,['1596937130668097536'],RT @DevilsDigest: Kenny Dillingham just minutes before his introductory press conference https://t.co/wMcwy0un2o,1596937130668097536,en,18445181
2022-11-27T18:40:37.000Z,['1596937050607190016'],RT @Coach_Norvell: Congratulations to @KennyDillingham on the opportunity to go home and lead his Alma Mater! Great man who knows how to #W…,1596937050607190016,en,18445181
2022-11-27T18:40:24.000Z,['1596936998740426752'],"RT @oregonfootball: Thank you, @KennyDillingham! https://t.co/XFpVYGNrDh",1596936998740426752,en,18445181
2022-11-27T18:40:17.000Z,['1596936967635472384'],RT @MattBarrie: Kenny Dillingham is 1-0 after his introductory press conference. The emotion and passion were real. And he knew what @Devil…,1596936967635472384,en,18445181
2022-11-27T18:38:54.000Z,['1596936618396770304'],RT @KennyDillingham: #Boom #JustGotBetter http://t.co/HzxN00tTd9,1596936618396770304,qme,18445181
