edit_history_tweet_ids,created_at,id,author_id,lang,text
['1596962477907972096'],2022-11-27T20:21:39.000Z,1596962477907972096,245203793,en,"@CoriLynn77 @Vyan1 I’ve watched many videos on this, and I thought it through. If I put myself in her shoes, I would expect to have been shot before this. FAFO.  It’s basic math."
['1596917057957699585'],2022-11-27T17:21:10.000Z,1596917057957699585,245203793,en,"@historyinmemes If by politically correct, you mean trying to convince the public That war is good and soldiers aren’t human. Then I guess he nailed that one."
['1596542479599554560'],2022-11-26T16:32:44.000Z,1596542479599554560,245203793,qme,@DLgodlessbitch https://t.co/01AENDsmJm
['1596350522344484864'],2022-11-26T03:49:57.000Z,1596350522344484864,245203793,en,@irony_dies Where are they now?
['1595993915475173376'],2022-11-25T04:12:56.000Z,1595993915475173376,245203793,qme,@Q__talk https://t.co/815lh22see
['1595834253719506944'],2022-11-24T17:38:29.000Z,1595834253719506944,245203793,en,@patriottakes Bad elementary school play from the 80’s. And never grew beyond it.
['1595656856252260352'],2022-11-24T05:53:35.000Z,1595656856252260352,245203793,qht,#Thread #Russia #goprussia #terrorism #GOP https://t.co/ag1yge60KR
['1595655178841370624'],2022-11-24T05:46:55.000Z,1595655178841370624,245203793,qme,@cenkpesos @Timcast https://t.co/RORLNpUeys
['1595648533004111872'],2022-11-24T05:20:30.000Z,1595648533004111872,245203793,und,@TomCottonAR 100% 💩
['1595647903128641537'],2022-11-24T05:18:00.000Z,1595647903128641537,245203793,en,"@chadloder When American incels turn the knobs for Saudi money, anything is possible."
['1595635861470646273'],2022-11-24T04:30:09.000Z,1595635861470646273,245203793,qme,@JonnyJayFive @chadloder @richiexdagger @Timcast @MattWalshBlog @benshapiro @bennyjohnson @JackPosobiec @TPostMillennial @nypost https://t.co/PKGLsHAfWS
['1595583942077591553'],2022-11-24T01:03:50.000Z,1595583942077591553,245203793,en,"@TomJChicago I would like to think so, but I’m not so sure. High probability that Don’s got dirt on him."
['1595582991644127233'],2022-11-24T01:00:04.000Z,1595582991644127233,245203793,en,"@benshapiro Says the fake intellectual hack who talks at 2x speed. Give the world a break, Mickey Mouse, and just go away."
['1595541363893805057'],2022-11-23T22:14:39.000Z,1595541363893805057,245203793,en,@davenewworld_2 @elonmusk @chadloder NGO knows. 💩 (Elon) and 💩 (ngo) had a meeting.
['1595518616015077376'],2022-11-23T20:44:16.000Z,1595518616015077376,245203793,en,@thejackhopkins Is he in town yet?
['1595511346191532033'],2022-11-23T20:15:22.000Z,1595511346191532033,245203793,qht,#tradingplaces #gop #tedcruzgaylover #LindseyGraham #tedcruz #HershelWalker #FIFAWorldCup https://t.co/xUlt9J7aub
['1595508550759239681'],2022-11-23T20:04:16.000Z,1595508550759239681,245203793,en,@JennaEllisEsq This the word of your lord? https://t.co/UKvo4PMsBK
['1595502435820150784'],2022-11-23T19:39:58.000Z,1595502435820150784,245203793,en,"@Stevebackagai @MaccaFan1 @patriottakes My bad, Schon wrote most but not all."
['1595498977062895617'],2022-11-23T19:26:13.000Z,1595498977062895617,245203793,en,@MaccaFan1 @patriottakes Neil schon the song writer of journey doesn’t. A hired hand that his 💩 doesn’t care. Entire bands are not on the same page politically. Especially after decades being together.
['1595481086267895808'],2022-11-23T18:15:08.000Z,1595481086267895808,245203793,qht,#USA #Americans https://t.co/b6srH8Aa9d
['1595446122591289349'],2022-11-23T15:56:12.000Z,1595446122591289349,245203793,en,@mikepompeo You are a domestic terrorist.
['1595431464057049088'],2022-11-23T14:57:57.000Z,1595431464057049088,245203793,en,It’s the free box in the middle of the card. #GOPDomesticTerrorists https://t.co/pJXKQYQhgk
['1595430289378930688'],2022-11-23T14:53:17.000Z,1595430289378930688,245203793,en,@oilnaturesgift @georgehahn So does everyone else on that list.
['1595426169628737542'],2022-11-23T14:36:55.000Z,1595426169628737542,245203793,en,@georgehahn Slam dunk win for the dems
['1595425686679756801'],2022-11-23T14:34:59.000Z,1595425686679756801,245203793,en,@ResisterSis20 Great minds
['1595286069800357888'],2022-11-23T05:20:12.000Z,1595286069800357888,245203793,en,@Esqueer_ For a better world https://t.co/cHU8mBwIjr
['1595222987325652992'],2022-11-23T01:09:32.000Z,1595222987325652992,245203793,es,@patriottakes 7 layer cabal?!?
['1595220515823579136'],2022-11-23T00:59:43.000Z,1595220515823579136,245203793,en,@KurtSchlichter Such a stupid little hypocrite. Delete your account.. ain’t nobody got time for your hate.
['1595205401880195072'],2022-11-22T23:59:39.000Z,1595205401880195072,245203793,en,@TomFitton Unforced errors are a beauty https://t.co/MMQFOp2NHU
['1595145804809142272'],2022-11-22T20:02:50.000Z,1595145804809142272,245203793,en,@KariLake Is this supposed to make that 💩 look good?! OH sh!t! It doesn’t..hahaha
['1595072035750805504'],2022-11-22T15:09:42.000Z,1595072035750805504,245203793,en,"@DLgodlessbitch Pre-drump. They been there for years, just needed a national leader."
['1594909266049404928'],2022-11-22T04:22:55.000Z,1594909266049404928,245203793,eu,@georgehahn Boogeyman!!!!
['1594504925349785601'],2022-11-21T01:36:13.000Z,1594504925349785601,245203793,en,"@richardmarx Republicans pick a fight over the stupidest shit. If they had a choice between a dead/alive child, and their guns, we know what they would choose."
['1594439550570418176'],2022-11-20T21:16:26.000Z,1594439550570418176,245203793,en,@ToriatheistTori Everyone
['1594198116965658631'],2022-11-20T05:17:04.000Z,1594198116965658631,245203793,en,"@joe_c_giles @hugolowell They burn money, it’s nothing for them. They won’t miss it."
['1594196438497783810'],2022-11-20T05:10:24.000Z,1594196438497783810,245203793,en,@TeaPainUSA @ReallyAmerican1 Don’t give him power. Ignore him.
['1594187457364623360'],2022-11-20T04:34:43.000Z,1594187457364623360,245203793,qme,@TristanSnell https://t.co/QNxcG31Oa8
['1594168583608627200'],2022-11-20T03:19:43.000Z,1594168583608627200,245203793,en,@sandibachom I’m not slowing down for the car wreck. I don’t need to look.
['1594159041722585088'],2022-11-20T02:41:48.000Z,1594159041722585088,245203793,en,@sandibachom That’s the plan https://t.co/LIzdmBKqNV
['1594100530657128449'],2022-11-19T22:49:18.000Z,1594100530657128449,245203793,en,@PalmerReport DeSantis is a turtle. He has no backbone and has no pool outside of the south.
['1594077563781287938'],2022-11-19T21:18:02.000Z,1594077563781287938,245203793,en,@AylingLindsay Looks like a really nice day. They must have some really really boring lives.
['1594054048658837505'],2022-11-19T19:44:35.000Z,1594054048658837505,245203793,en,"@jimrosecircus1 His wife took the picture, he built the ramp. They have no kids, no skin in the game. They’re just enjoying the free entertainment"
['1594052125654646784'],2022-11-19T19:36:57.000Z,1594052125654646784,245203793,en,@JewishResister History? So she’s admitting the Bible is BS. Biology? So she understands evolution. She understands science? No I don’t think she understands that either   😉
['1593996197504524288'],2022-11-19T15:54:43.000Z,1593996197504524288,245203793,en,@Nteligent1 @patriottakes For the… https://t.co/09cnRjw677
['1593981593181638656'],2022-11-19T14:56:41.000Z,1593981593181638656,245203793,en,"@patriottakes She will back either one, she has no backbone. She’ll do what’s best for her career"
['1593794345618247681'],2022-11-19T02:32:37.000Z,1593794345618247681,245203793,en,@AmoneyResists I blocked him months ago.
['1593452934544601090'],2022-11-18T03:55:59.000Z,1593452934544601090,245203793,qme,#elon #TwitterDown #twitter #TwitterTakeover https://t.co/I86SgEvIQe
['1593390295156039680'],2022-11-17T23:47:04.000Z,1593390295156039680,245203793,qht,#HunterBiden #sleepyjoe #TrumpAnnouncement https://t.co/wf2q8MD5JN
['1593108063405641729'],2022-11-17T05:05:35.000Z,1593108063405641729,245203793,en,@patriottakes was he the one who had sex with a nurse in the hospital while his wife was in labor?
['1593004539128721408'],2022-11-16T22:14:13.000Z,1593004539128721408,245203793,en,@burgessev Did they just vote against legalizing dancing the jitterbug?
['1592977976282738688'],2022-11-16T20:28:40.000Z,1592977976282738688,245203793,en,@WalshFreedom Sorry Joe. You live closeted. Florida man is not running to be president. He’s doing speeches to stay out of prison and make money. If he gets all the way to the end of 2023 he’ll finish third at best. Come on.
['1592947365589454849'],2022-11-16T18:27:02.000Z,1592947365589454849,245203793,en,"@thejackhopkins He’s here to stay out of prison and make money, prove me wrong."
['1592887055528652800'],2022-11-16T14:27:23.000Z,1592887055528652800,245203793,en,@WalshFreedom They created the monster
['1592736580837728257'],2022-11-16T04:29:27.000Z,1592736580837728257,245203793,qht,#TrumpAnnouncement https://t.co/FHWjqLD4LI
